model,price,age_08_04,mfg_month,mfg_year,km,fuel_type,hp,met_color,color,automatic,cc,doors,cylinders,gears,quarterly_tax,weight,mfr_guarantee,bovag_guarantee,guarantee_period,abs,airbag_1,airbag_2,airco,automatic_airco,boardcomputer,cd_player,central_lock,powered_windows,power_steering,radio,mistlamps,sport_model,backseat_divider,metallic_rim,radio_cassette,parking_assistant,tow_bar
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,7,2001,22865,Petrol,110,1,Silver,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,4,2001,22780,Petrol,86,1,Green,0,1300,5,4,5,69,1035,1,1,3,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,10,2001,21904,Petrol,97,0,Blue,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,4,2001,21651,Petrol,97,0,Green,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,8,2001,21500,Petrol,110,1,Red,0,1600,5,4,5,69,1030,1,0,12,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,1,2001,21027,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,6,2001,18500,Petrol,110,0,Red,0,1600,4,4,5,69,1030,0,0,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,10,2001,18000,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,5,2001,17051,Petrol,97,0,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,12,2001,16512,Petrol,97,1,Grey,0,1400,5,4,5,19,1085,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,5,2001,16325,Petrol,110,1,Silver,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,7,2001,16000,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,6,2001,12000,Petrol,110,1,Green,0,1600,5,4,5,85,1075,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,2,2001,10000,Petrol,97,1,Blue,0,1400,5,4,5,85,1060,0,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,4,2000,216000,Diesel,69,0,White,0,1900,3,4,5,185,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,6,2000,198167,Diesel,69,0,Red,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,4,2000,176000,Diesel,69,0,Blue,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,3,2000,174139,Diesel,72,1,Blue,0,2000,4,4,5,185,1100,0,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,12,2000,174000,Diesel,69,1,Silver,0,1900,5,4,5,185,1095,0,0,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,2,2000,150000,CNG,110,1,Blue,0,1600,3,4,5,72,1075,0,0,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,3,2000,149329,Diesel,72,1,Red,0,2000,5,4,5,185,1135,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,6,2000,146736,Petrol,110,1,Silver,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,4,2000,143513,Diesel,69,0,Grey,0,1900,5,4,5,185,1140,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,9,2000,142130,CNG,110,0,Red,0,1600,5,4,5,197,1119,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,9,2000,140700,Diesel,69,1,Grey,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,3,2000,138394,Diesel,69,1,Silver,0,1900,4,4,5,185,1095,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,2,2000,137000,Diesel,72,1,Blue,0,2000,5,4,5,185,1135,0,0,3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,5,2000,135258,Diesel,69,1,Grey,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,8,2000,131364,Petrol,110,1,Black,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.8D Stationwagen,4450,56,1,2000,129155,Diesel,69,0,White,0,1800,5,4,5,64,1110,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,7,2000,126110,Petrol,110,0,Black,0,1600,3,4,5,85,1055,0,1,3,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,9,2000,119742,Petrol,110,1,Blue,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0
TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,4,2000,117913,Diesel,69,1,Blue,0,1900,5,4,5,64,1110,0,1,3,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,10,2000,117430,Diesel,90,1,Blue,0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,2,2000,117175,Petrol,110,1,Green,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,3,2000,115558,Petrol,110,1,Blue,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,2000,115113,Petrol,97,1,Grey,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,3,2000,115046,Diesel,69,1,Blue,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 2.0D 4/5-Doors,5150,56,1,2000,113997,Diesel,72,1,Green,0,2000,5,4,5,64,1135,0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,8,2000,107859,Petrol,97,0,Blue,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,5,2000,104805,Petrol,97,1,Black,0,1400,3,4,5,69,1025,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,3,2000,103454,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,6,2000,103018,Diesel,69,0,White,0,1900,5,4,5,185,1140,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,10,2000,102352,Petrol,110,1,Red,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,7,2000,102030,Petrol,97,1,Green,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,3,2000,101352,Petrol,110,0,Red,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,7,2000,99865,Petrol,110,1,Red,0,1600,4,4,5,69,1035,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,5,2000,99323,Petrol,110,1,Black,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,9,2000,98100,Diesel,69,1,Grey,0,1900,5,4,5,185,1140,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,6,2000,98040,Petrol,110,0,Grey,0,1600,5,4,5,85,1080,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,8,2000,97600,Petrol,110,1,Silver,0,1600,3,4,5,69,1045,0,1,6,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,2,2000,97234,Petrol,110,0,Blue,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,6,2000,96135,Diesel,72,0,Black,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,3,2000,96100,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,2,2000,94401,Diesel,72,0,Red,0,2000,3,4,5,185,1115,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,2,2000,94122,Petrol,86,1,Blue,0,1300,3,4,5,69,1015,0,1,3,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,8,2000,91340,Petrol,110,1,Blue,0,1600,3,4,5,85,1055,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,4,2000,90200,Petrol,97,0,White,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,4,2000,90097,Diesel,69,1,Red,0,1900,5,4,5,185,1140,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,9,2000,89049,Petrol,97,1,Black,0,1400,5,4,5,85,1060,0,1,12,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,5,2000,89000,Petrol,110,0,Grey,0,1600,5,4,5,85,1075,0,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,12,2000,87274,Petrol,110,1,Grey,0,1600,3,4,5,69,1040,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,8,2000,86221,Petrol,110,0,Grey,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,3,2000,84598,Petrol,110,0,Red,0,1600,5,4,5,19,1075,0,1,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,7,2000,83567,Petrol,110,0,Green,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,7,2000,83106,Petrol,110,1,Silver,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,7,2000,82805,Petrol,110,1,Green,0,1600,3,4,5,69,1040,1,1,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,7,2000,82735,Petrol,97,1,Black,0,1400,3,4,5,69,1030,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,3,2000,81905,Petrol,110,1,Green,0,1600,5,4,5,19,1105,0,1,6,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,8,2000,80320,Petrol,110,1,Silver,1,1600,3,4,5,85,1070,1,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,8,2000,80090,Petrol,97,1,Silver,0,1400,3,4,5,69,1030,0,1,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,4,2000,79800,Petrol,110,0,Red,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,10,2000,78785,CNG,110,1,Black,0,1600,5,4,5,197,1119,1,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,9,2000,78600,Petrol,110,1,Blue,0,1600,5,4,5,85,1075,0,1,3,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,2,2000,77780,Petrol,110,0,Red,0,1600,3,4,5,69,1040,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,8,2000,77648,Petrol,110,0,Red,0,1600,4,4,5,69,1030,1,1,3,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,3,2000,77270,Petrol,110,1,Blue,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,7,2000,76167,Petrol,97,1,Blue,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,11,2000,75249,Petrol,110,1,Red,0,1600,4,4,5,69,1035,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,3,2000,75231,Petrol,110,1,Grey,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,9,2000,75045,Petrol,110,1,Silver,0,1600,3,4,6,85,1055,0,0,6,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,7,2000,74849,Petrol,110,1,Red,1,1600,4,4,5,85,1060,1,1,3,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,2,2000,74715,Petrol,110,1,Grey,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,10995,49,8,2000,74656,Diesel,69,0,Silver,0,1900,3,4,5,185,1105,1,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,1,2000,74500,Petrol,97,0,Grey,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,8,2000,74494,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 4/5-Doors,10500,50,7,2000,73634,Petrol,110,0,Blue,0,1587,5,4,5,85,1075,0,0,6,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,10,2000,73403,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,8,2000,73175,Petrol,97,1,Silver,0,1400,3,4,5,69,1030,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,5,2000,73000,Petrol,110,0,Grey,0,1600,3,4,5,85,1055,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,7,2000,72242,Petrol,110,0,Blue,1,1600,3,4,5,85,1070,1,1,3,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,4,2000,72000,Petrol,97,1,Green,0,1400,3,4,5,69,1025,0,0,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,3,2000,71725,Petrol,110,1,Blue,0,1600,4,4,5,69,1035,0,1,3,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,3,2000,71276,Petrol,110,0,Green,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,8695,50,7,2000,70440,Diesel,69,1,Green,0,1900,3,4,5,185,1105,0,1,6,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,4,2000,70239,Petrol,110,0,Blue,0,1600,3,4,5,69,1040,0,1,3,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,2,2000,69813,Petrol,97,1,Silver,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1
TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,8,2000,69659,Petrol,86,0,Red,0,1300,3,4,6,69,1025,0,1,3,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,11,2000,69574,Petrol,97,0,Blue,0,1400,5,4,5,85,1065,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8750,47,10,2000,69000,Diesel,69,1,Blue,0,1900,5,4,5,185,1140,0,1,3,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,8,2000,68565,Petrol,110,1,Blue,0,1600,4,4,5,69,1030,0,1,3,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,11450,55,2,2000,68520,Diesel,72,1,Red,0,2000,3,4,5,185,1115,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,11,2000,68414,Petrol,97,0,Red,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,1,2000,66777,Petrol,110,0,Red,0,1600,5,4,5,85,1090,1,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,5,2000,66527,Petrol,110,1,Blue,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,3,2000,66063,Petrol,110,1,Black,0,1600,5,4,5,85,1090,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,7,2000,65471,Petrol,97,1,Green,0,1400,5,4,5,85,1060,0,1,3,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,1,2000,65400,Petrol,97,1,Silver,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,5,2000,65170,Petrol,97,1,Grey,0,1400,3,4,5,69,1025,1,1,3,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,1,2000,65000,Petrol,110,1,Silver,0,1600,5,4,5,19,1075,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,9,2000,64193,Petrol,110,1,Grey,0,1600,3,4,5,69,1040,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,54,3,2000,64000,Petrol,97,1,Blue,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10250,54,3,2000,63792,Petrol,110,1,Green,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,9930,53,4,2000,63635,Petrol,110,1,Blue,0,1600,4,4,5,69,1035,0,1,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
