Rank,Song,Artist,Year,Lyrics,Source
25,honey im good,andy grammer,2015,nah nah honey im good i could have another but i probably should not ive got somebody at homeverse 1 its been a long night here and a long night there and these long long legs are danm near everywhere hold up now you look good i will not lie but if you ask where im staying tonight i gotta be like oh baby no baby you got me all wrong baby my babys already got all of my lovechorus so nah nah honey im good i could have another but i probably should not ive got somebody at home and if i stay i might not leave alone no honey im good i could have another but i probably should not ive got to bid you adieu to another i will stay true oo oo i will stay true who who i will stay trueverse 2 now better men than me have failed drinking from that unholy grail now check it out ive got her and she got me and youve got that butt but i kindly gotta be like oh baby no baby you got me all wrong baby my babys already got all of my lovechorus so nah nah honey im good i could have another but i probably should not ive got somebody at home and if i stay i might not leave alone no honey im good i could have another but i probably should not ive got to bid you adieu to another i will stay true oo oo i will stay true who who i will stay truebridge oh im sure ya sure ya will make somebodys night but oh i assure ya assure ya it sure as hells not mineoh no honey im good i could have another but i probably should not ive got somebody at home and if i stay i might not leave alone no honey im good i could have another but i probably should not ive got to bid you adieu to another i will stay truechorus no no honey im good i could have another but i probably should not ive got somebody at home and if i stay i might not leave alone no honey im good i could have another but i probably should not ive got to bid you adieu to another i will stay true true ooo oooi will stay true x4 oh whoa oh,1
26,im not the only one,sam smith,2015,you and me we made a vow for better or for worse i cant believe you let me down but the proofs in a way it hurtsfor months on end ive had my doubts denying every tear i wish this would be over now but i know that i still need you hereyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only oneyouve been so unavailable now sadly i know why your heart is unobtainable even though lord knows you kept mineyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only onei have loved you for many years maybe i am just not enough youve made me realize my deepest fear by lying and tearing us upyou say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only one you say im crazy cause you dont think i know what youve done but when you call me baby i know im not the only one i know im not the only one i know im not the only one and i know and i know and i know and i know and i know and i know know i know im not the only one,1
27,good for you,selena gomez featuring aap rocky,2015,im on my 14 carats im 14 carat doing it up like midas now you say i got a touch so good so good make you never wanna leave so dont so dontgonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to your heart beatingcause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for you    meaning  byjamesg   editor    good for you is the lead single by american singer selena gomezs second studio album revival 2015 it features rapper asap rocky who cowrote the track    see all   im on my marquise diamonds im a marquise diamond could even make that tiffany jealous you say i give it to you hard so bad so bad make you never wanna leave i wont i wontgonna wear that dress you like skintight do my hair up real real nice and syncopate my skin to how youre breathingcause i just wanna look good for you good for you i just wanna look good for you good for you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for youtrust me i can take you there trust me i can take you there trust me i trust me i trust me ihold on take a minute love cause i aint trying to mess your image up like we mess around in triple cuffs stumble round town pull your zipper up pants sag like i dont give a i aint trying to mess your fitness up and i aint trying to get you into stuff but the way you touchin on me in the club rubbin on my miniature john hancock the signature any time i hit it know she feelin for it through and any time we get up always end up on the news aint worried bout no press and aint worried bout the next chick they love the way you dress and aint got shit up on you jackpot hit the jackpot just met a bad miss without the ass shots you look good girl you know you did good dont you you look good girl bet it feel good dont iti just wanna look good for you good for you baby let me be good to you good to you let me show you how proud i am to be yours leave this dress a mess on the floor and still look good for you good for youtrust me i trust me i trust me i,1
28,all about that bass,meghan trainor,2015,because you know im all about that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bassyeah its pretty clear i aint no size two but i can shake it shake it like im supposed to do cause i got that boom boom that all the boys chase all the right junk in all the right places i see the magazines working that photoshop we know that shit aint real come on now make it stop if you got beauty beauty just raise em up cause every inch of you is perfect from the bottom to the top yeah my momma she told me dont worry about your size she says boys they like a little more booty to hold at night you know i wont be no stickfigure silicone barbie doll so if thats whats youre into then go ahead and move along    meaning  byamandah   editor    are you a phish fan the jamrockers have a song called contact that listeners claim trainor ripped off for all about that bass the cascading melody is    see all   because you know im all about that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bassim bringing booty back go ahead and tell them skinny bitches hey no im just playing i know you think youre fat but im here to tell you that every inch of you is perfect from the bottom to the top yeah my momma she told me dont worry about your size she says boys they like a little more booty to hold at night you know i wont be no stickfigure silicone barbie dollso if thats whats youre into then go ahead and move alongbecause you know im all about that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bassbecause you know im all about that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bassbecause you know im all about that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass no treble im all bout that bass bout that bass,1
29,style,taylor swift,2015,midnight you come and pick me up no headlights long drive could end in burning flames or paradise fade into view oh its been a while since i have even heard from you heard from you i should just tell you to leave cause i know exactly where it leads but i watch it go round and round each timeyou got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down we come back every time cause we never go out of style we never go out of style youve got that long hair slick back white tshirt and i got that good girl faith and a tight little skirt and when we go crashing down we come back every time cause we never go out of style we never go out of styleso it goes he cant keep his wild eyes on the road takes me home lights are off hes taking off his coat hm yeah i say ive heard that youve been out and about with some other girl some other girl he says what youve heard is true but i cant stop thinking about you and i i said ive been there too a few timescause you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down we come back every time cause we never go out of style we never go out of style youve got that long hair slick back white tshirt and i got that good girl faith and a tight little skirt a tight little skirt and when we go crashing down we come back every time cause we never go we never go out of style we never go out of styletake me home just take me home yeah just take me home ohout of style you got that james dean daydream look in your eye and i got that red lip classic thing that you like and when we go crashing down we come back every time cause we never go out of style we never go out of style,1
30,hotline bling,drake,2015,you used to call me on my you used to you used to you used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thingever since i left the city you got a reputation for yourself now everybody knows and i feel left out girl you got me down you got me stressed out cause ever since i left the city you started wearing less and goin out more glasses of champagne out on the dance floor hangin with some girls ive never seen beforeyou used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thingever since i left the city you you you you and me we just dont get along you make me feel like i did you wrong going places where you dont belong ever since i left the city you you got exactly what you asked for running out of pages in your passport hanging with some girls ive never seen beforeyou used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thingthese days all i do is wonder if you bendin over backwards for someone else wonder if your rollin backwoods for someone else doing things i taught you gettin nasty for someone else you dont need no one else you dont need nobody else no why you never alone why you always touching road used to always stay at home be a good girl you was in the zone you should just be yourself right now youre someone elseyou used to call me on my cell phone late night when you need my love call me on my cell phone late night when you need my love i know when that hotline bling that can only mean one thing i know when that hotline bling that can only mean one thingever since i left the city,1
31,hey mama,david guetta featuring nicki minaj bebe rexha and afrojack,2015,be my woman girl imma be your man be my woman girl ill be your manyes i be your woman yes i be your baby yes i be whatever that you tell me when you ready yes i be your girl forever your lady you aint never gotta worry im down for you babybest believe that when you need that ill provide that you will always have it ill be on deck keep it in check when you need that imma let you have ityou beatin drum like dum di di dey i love the dirty rhythm you play i wanna hear you calling my name like hey mama mama hey mama mama hey banging the drum like dum di di dey i know you want it in the worst way i wanna hear you calling my name like hey mama mama hey mama mama heybe my woman girl imma be your man be my woman girl ill be your manyes i do the cooking yes i do the cleaning yes i keep the nana real sweet for your eating yes you be the boss yes i be respecting whatever that you tell me cause its game you be spittingbest believe that when you need that ill provide that you will always have it ill be on deck keep it in check when you need that imma let you have ityou beatin my drum like dum di di dey i love the dirty rhythm you play i wanna hear you calling my name like hey mama mama hey mama mama hey banging the drum like dum di di dey i know you want it in the worst way i wanna hear you calling my name like hey mama mama hey mama mama heybe my woman girl imma be your man be my woman girl ill be your manwhole crew got the juice your dick game the truth my screams is the proof them other dudes get the deuce i might speed in the coupe leaving this interview it aint nothin new i been f*ckin with you none of them bitches aint taking you just tell them to make a u make a u huh that how it be i come first like debuts huh so baby when you need that give me that word im no good ill be bad for my babyso i make sure that hes getting his share so i make sure that his baby take care so i make sure mama toes on my knees keep him please rub him down be a lady and a freakyou beatin my drum like dum di di dey i love the dirty rhythm you play i wanna hear you calling my name like hey mama mama hey mama mama hey banging the drum like dum di di dey i know you want it in the worst way i wanna hear you calling my name like hey mama mama mama hey mama mama heybe my woman girl imma be your man be my woman girl ill be your man,1
32,gdfr,flo rida featuring sage the gemini and lookas,2015,i know what you came here to see if youre a freak then ya coming home with me and i know what you came here to do now bust it open let me see you get loose its going down for real its going down for real its going down for realyour girl just kissed a girl i do bi chicks shake for a shake im throwing these emirates in the sky spinning this assalamu alaykum peace to money i love my beaches south beaches surfboard and high tide i could just roll up cause im swoll up so that birthday cake get a cobra buggati for real im cold bruh that autobiography rover got the key to my city its over its no thots only anna kournikovas i said rackets ratchets hold up i said rackets ratchets hold upi know what you came here to see if youre a freak then ya coming home with me and i know what you came here to do now bust it open let me see you get loose its going down for real its going down for real and they already know me its going down for realits going down further than femurs girls get wetter than katrina yeah my girl you never seen her cause my tints by limousines my touch is the midas we deplus your man to minus my team blowing on that slam make you coughcough thats bronchitis put your hands up its a stick up no more makeup get that ass on the floor ladies put your lipstick up double entendre double entendre while youre hating i get money then i double up tonkersi know what you came here to see if youre a freak then ya coming home with me and i know what you came here to do now bust it open let me see you get loose its going down for real its going down for real its going down for real its going down for real its going down for reallift it drop it shake it pop it lift it drop it shake it pop it lift it drop it shake it pop it lift it drop it shake itits going down for real its going down for real its going down for real its going down for real its going down for real,1
33,what do you mean,justin bieber,2015,what do you mean ooh when you nod your head yesbut you wanna say no what do you mean hey when you dont want me to move but you tell me to go what do you mean oh what do you mean said were running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean    memory  byamandah   editor      we can now add kanye west to the list of beliebers    see all   youre so indecisive of what im saying trying to catch the beat make up your heart dont know if youre happy or complainingdont want for us to end where do i start first you wanna go to the left and you want to turn right wanna argue all day making love all nightfirst you up and youre down and then betweenoh i really want to know what do you mean oohwhen you nod your head yes but you wanna say no what do you mean hey when you dont want me to move but you tell me to go what do you mean oh what do you mean said were running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean youre overprotective when im leaving trying to compromise but i cant win you wanna make a point but you keep preaching you had me from the start wont let this end first you wanna go to the left then you want to turn right wanna argue all day make love all night first you up and youre down then youre between oh i really want to know what do you mean ooh when you nod your head yes but you wanna say no what do you mean oh what do you mean hey when you dont want me to move but you tell me to go what do you mean i wanna know oh what do you mean ooh said youre running out of time what do you mean ah baby oh oh oh what do you meanbetter make up your mind what do you mean ooh when you nod your head yes but you wanna say no what do you mean youre so confusing baby hey when you dont want me to move but you tell me to go what do you mean oh what do you mean said were running out of time what do you mean oh oh oh what do you mean better make up your mind what do you mean,1
34,photograph,ed sheeran,2015,loving can hurt loving can hurt sometimes but its the only thing that i know when it gets hard you know it can get hard sometimes it is the only thing that makes us feel alivewe keep this love in a photograph we made these memories for ourselves where our eyes are never closing hearts are never broken and times forever frozen stillso you can keep me inside the pocket of your ripped jeans holding me closer til our eyes meet you wont ever be alone wait for me to come homeloving can heal loving can mend your soul and its the only thing that i know know i swear it will get easier remember that with every piece of you hm and its the only thing we take with us when we diehm we keep this love in this photograph we made these memories for ourselves where our eyes are never closing hearts were never broken and times forever frozen stillso you can keep me inside the pocket of your ripped jeans holding me closer til our eyes meet you wont ever be aloneand if you hurt me thats okay baby only words bleed inside these pages you just hold me and i wont ever let you go wait for me to come home wait for me to come home wait for me to come home wait for me to come homeyou can fit me inside the necklace you got when you were sixteen next to your heartbeat where i should be keep it deep within your souland if you hurt me well thats okay baby only words bleed inside these pages you just hold me and i wont ever let you gowhen im away i will remember how you kissed me under the lamppost back on sixth street hearing you whisper through the phone wait for me to come home,1
35,hello,adele,2015,hello its me i was wondering if after all these years youd like to meet to go over everything they say that times supposed to heal ya but i aint done much healinghello can you hear me im in california dreaming about who we used to be when we were younger and free ive forgotten how it felt before the world fell at our feettheres such a difference between us and a million mileshello from the other side i mustve called a thousand times to tell you im sorry for everything that ive done but when i call you never seem to be home    meaning  byjamesg   editor    another popular parody this time by saturday night live showing us how adeles hello is able to keep a family from fighting at thanksgiving    see all   hello from the outside at least i can say that ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymorehello how are you its so typical of me to talk about myself im sorry i hope that youre well did you ever make it out of that town where nothing ever happenedits no secret that the both of us are running out of timeso hello from the other side other side i mustve called a thousand times thousand times to tell you im sorry for everything that ive done but when i call you never seem to be homehello from the outside outside at least i can say that ive tried ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymoreoh anymore oh anymore oh anymore anymorehello from the other side other side i mustve called a thousand times thousand times to tell you im sorry for everything that ive done but when i call you never seem to be homehello from the outside outside at least i can say that ive tried ive tried to tell you im sorry for breaking your heart but it dont matter it clearly doesnt tear you apart anymore,1
36,stitches,shawn mendes,2015,i thought that ive been hurt before but no ones ever left me quite this sore your words cut deeper than a knife now i need someone to breathe me back to lifegot a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move onyou watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitchesjust like a moth drawn to a flame oh you lured me in i couldnt sense the pain your bitter heart cold to the touch now im gonna reap what i sew im left seeing red on my own  memory  byalicimusic     i just love him so much he just means so much to me hes an inspiration to me and my music ear xd    see all   got a feeling that im going under but i know that ill make it out alive if i quit calling you my lover move onyou watch me bleed until i cant breathe im shaking falling onto my knees and now that im without your kisses ill be needing stitches im tripping over myself im aching begging you to come help and now that im without your kisses ill be needing stitchesneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head needle and the thread gonna wind up deadneedle and the thread gotta get you out of my head get you out of my headyou watch me bleed until i cant breathe im shaking falling onto my knees falling on my knees and now that im without your kisses ill be needing stitches and ill be needing stitches im tripping over myself im aching begging you to come help begging baby please and now that im without your kisses ill be needing stitchesand now that im without your kisses ill be needing stitches and now that im without your kisses ill be needing stitches,1
37,talking body,tove lo,2015,bed stay in bed the feeling of your skin locked in my head smoke smoke me broke i dont care im down for what you wantday drunk into the night wanna keep you here cause you dry my tears yeah summer lovin and fights how it is for us and its all becausenow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onlove give me love anything you want ill give it up lips lips i kiss bite me while i taste your fingertipsday drunk into the night wanna keep you here cause you dry my tears yeah summer lovin and fights how it is for us and its all becausenow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onbodies our baby making bodies we just use for fun bodies lets use them up til every little piece is gone lets go on and on and on lets go on and on lets gonow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and onnow if were talking body put it on me if you love me right we f*ck for life on and on and onnow if were talking body you got a perfect one so put it on me swear it wont take you long if you love me right we f*ck for life on and on and on,1
38,jealous,nick jonas,2015,i dont like the way hes looking at you im starting to think you want him too am i crazy have i lost ya even though i know you love me cant help iti turn my chin music up and im puffing my chest im getting ready to face you you can call me obsessed its not your fault that they hover i mean no disrespect its my right to be hellish i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealousi wish you didnt have to post it all i wish youd save a little bit just for me protective or possessive yeah call it passive or aggressivei turn my cheek music up and im puffing my chest im getting ready to face you you can call me obsessed its not your fault that they hover i mean no disrespect its my right to be hellish i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealousyoure the only one invited i said theres no one else for you cause you know i get excited yeah when you get jealous tooi turn my cheek music up and im puffing my chest im turning ready to face you you can call me obsessed its not your fault that they hover i mean no disrespect its my right to be hellish i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealouscause youre too sexy beautiful and everybody wants a taste thats why thats why i still get jealousoh thats why i still get jealous oh thats why i still get jealous,1
39,time of our lives,pitbull and neyo,2015,i knew my rent was gon be later bout a week ago i work my ass off but i still cant pay it though but i got just enough to get up in this club have me a good time before my time is up hey lets get it nowooh i want the time of my life oh baby ooh give me the time of my life neyo lets get it lets get it nowthis is the last 20 i got but imma have a good time ballin or out tell the barteneder line up some shots cause imma get loose tonight shes on fire shes so hot im no liar she burn up the spot look like mariah i took another shot told her drop drop drop drop it like its hot dirty talk dirty dance she a freaky girl and im a freaky man she on the rebound broke up with her ex and im like rodman ready on deck i told her i wanna ride out and she said yes we didnt go to church but i got blessedi knew my rent was gon be later bout a week ago i work my ass off but i still cant pay it though but i got just enough to get up in this club have me a good time before my time is up hey lets get it nowooh i want the time of my life oh baby ooh give me the time of my life lets get it nowtonight imma lose my mind better get yours cause im gonna get mine party every night like my last mommy know the drill shake that ass go ahead baby let me see what you got you know you got the biggest booty in this spot and i just wanna see that thing drop from the back to the front to the top you know me im off in the cut always like a squirrel looking for a nut this isnt for show im not talking bout luck im not talking bout love im talking bout lust now lets get loose have some fun forget about bills and the first of the month its my night your night our night lets turn it upi knew my rent was gon be later bout a week ago i work my ass off but i still cant pay it though but i got just enough to get up in this club have me a good time before my time is up hey lets get it nowooh i want the time of my life oh baby ooh give me the time of my life hey hey hey lets get it noweverybody goin through somethin everybody goin through somethin said everybody goin through somethin everybody goin through somethin say you might as well roll it up pour it up drink it up throw it up tonight i said everybody goin through somethin everybody goin through somethin said everybody goin through somethin everybody goin through somethin say you might as well roll it up pour it up drink it up throw it up tonightthis is for anybody going through tough times believe it been there done that but everyday above ground is a great day remember thati knew my rent was gon be later bout a week ago i work my ass off but i still cant pay it though but i got just enough to get up in this club have me a good time before my time is up hey lets get it nowooh i want the time of my life oh baby ooh give me the time of my life hey hey hey lets get it now,1
40,locked away,r city featuring adam levine,2015,if i got locked away and we lost it all today tell me honestly would you still love me the same if i showed you my flaws if i couldnt be strong tell me honestly would you still love me the sameright about now if a judge for life me would you stay by my side or is you gonna say goodbye can you tell me right now if i couldnt buy you the fancy things in life shawty would it be alright come on show me that you are downnow tell me would you really ride for me baby tell me would you die for me would you spend your whole life with me would you be there to always hold me down tell me would you really cry for me baby dont lie to me if i didnt have anything i wanna know would you stick around    meaning  byjamesg   editor    locked away is a song by r city featuring adam levine lead singer of band maroon 5 released on june 29 2015 r city is a songritingproduction duo from    see all   if i got locked away and we lost it all today tell me honestly would you still love me the same if i showed you my flaws if i couldnt be strong tell me honestly would you still love me the samelets get it diddlydongdongdongdang all i want is somebody real who dont need much a girl i know that i can trust to be here when money low if i did not have nothing else to give but love would that even be enough girl meh need fi knownow tell me would you really ride for me baby tell me would you die for me would you spend your whole life with me would you be there to always hold me down tell me would you really cry for me baby dont lie to me if i didnt have anything i wanna know would you stick aroundif i got locked away and we lost it all today tell me honestly would you still love me the same if i showed you my flaws if i couldnt be strong tell me honestly would you still love me the sametell me tell me would you want me tell me tell me would you call me if you knew i wasnt balling cause i need a girl whos always by my side tell me tell me do you need me tell me tell me do you love me or is you just tryna play me cause i need a girl to hold me down for lifeif i got locked away and we lost it all today tell me honestly would you still love me the same if i showed you my flaws if i couldnt be strong tell me honestly would you still love me the sameif i got locked away and we lost it all today tell me honestly would you still love me the same if i showed you my flaws if i couldnt be strong tell me honestly would you still love me the same would you still love me the samewould you still love me the same,1
41,somebody,natalie la rose featuring jeremih,2015,come on natalie la rosei wanna rock with somebody woah yeah i wanna take shot with somebody shot shot shot shot i wanna leave with somebody somebody cmon cmon and we aint gonna tell nobody we aint gonna tell nobodywalking everybody knows whats good but some gonna hate whats new we just do our favorite time to waste always playing cooland at the end of the night when our loves going out we turn down oh no we wont well never turn it down well never turn it down and when it try to make this leave we turn to say we never going homeand you know just what i wanna doi wanna rock with somebody woah yeah i wanna take shot with somebody shot shot shot shot i wanna leave with somebody somebody cmon cmon and we aint gonna tell nobody we aint gonna tell nobodywalking everybody know whats good we are only block bring us everything we think we need tonight is going up tonight is going upand at the end of the night when our loves going out we turn down oh no we wont well never turn it down well never turn it down and when it try to make this leave we turn to say we never going homei wanna rock with somebody woah yeah i wanna take shot with somebody shot shot shot shot i wanna leave with somebody somebody cmon cmon and we aint gonna tell nobody we aint gonna tell nobodyand the club like woah well be in the party in the club like woah and the club like well be in the city going down like woah and the club like woah well be in the party in the club like woah well be in the city going down like woah well be in the party in the club like woahand at the end of the night when our loves going out we turn down oh no we wont well never turn it down well never turn it down and when it try to make this leave we turn to say we never going homei wanna rock with somebody woah yeah i wanna take shot with somebody shot shot shot shot i wanna leave with somebody somebody cmon cmon and we aint gonna tell nobody we aint gonna tell nobody,1
42,fourfiveseconds,rihanna kanye west and paul mccartney,2015,produced by dallas austin mike dean  paul mccartney verse 1 rihanna i think ive had enough i might get a little drunk i say whats on my mind i might do a little time cause all of my kindness is taken for weakness hook 1 rihanna now im fourfiveseconds from wildin and we got three more days til friday im just tryna make it back home by monday mornin i swear i wish somebody would tell me ooh thats all i want verse 2 kanye west woke up an optimist sun was shinin im positive then i heard you was talkin trash hold me back im bout to spaz hook 2 rihanna and kanye yeah bout fourfiveseconds from wildin and we got three more days til friday im tryna make it back home by monday mornin i swear i wish somebody would try me ooh thats all i want bridge rihanna and i know that youre up tonight thinkin how could i be so selfish but you called bout a thousand times wondering where ive been now i know that youre up tonight thinkin how could i be so reckless but i just cant apologize i hope you can understand verse 3 kanye west if i go to jail tonight promise youll pay my bail see they want to buy my pride but that just aint up for sale see all of my kindness is taken for weakness hook 1 rihanna and kanye x2,3
43,centuries,fall out boy,2015,some legends are told some turn to dust or to gold but you will remember me remember me for centuries and just one mistake is all it will take well go down in history remember me for centuries hey yeah oh hey hey yeah remember me for centuriesmummified my teenage dreams no its nothing wrong with me the kids are all wrong the stories are off heavy metal broke my heartcome on come on and let me in the bruises on your thighs like my fingerprints and this is for tonight i thought that you would feel i never meant for you to fix yourselfsome legends are told some turn to dust or to gold but you will remember me remember me for centuries and just one mistake is all it will take well go down in history remember me for centuries hey yeah oh hey hey yeah remember me for centuriesand i cant stop til the whole world knows my name cause i was only born inside my dreams until you die for me as long as there is a light my shadows over you cause i am the opposite of amnesia and youre a cherry blossom youre about to bloom you look so pretty but youre gone so soonsome legends are told some turn to dust or to gold but you will remember me remember me for centuries and just one mistake is all it will take well go down in history remember me for centuries hey yeah oh hey hey yeah remember me for centuriesweve been here forever and heres the frozen proof i could scream forever we are the poisoned youthsome legends are told some turn to dust or to gold but you will remember me remember me for centuries and just one mistake is all it will take well go down in history remember me for centuries hey yeah oh hey hey yeah well go down in history hey yeah remember me for centuries,1
44,my way,fetty wap featuring monty,2015,baby wont you come my way got something i want to say cannot keep you out my brain but first off imma start by saying this ay all headshots if you think you could take my bitch ay and im too turnt when i shoot swear i wont miss ay bababy wont you come my way baby wont you come my way    meaning  byjamesg   editor    my way is the third single by american rapper fetty wap aka willie maxwell taken from his eponymous debut studio album fetty wap 2015 the song was    see all   babababy this is something you should know i dont ever chase no hoes i spotted you you had that glow watch me pull out all this dough take you where you want to go flexing on your ex i know he aint ever take you out barely even left your house how dare that nigga run his mouth when his pockets in a drought the last single he put out didnt even make it out and he dumb as hell and i swear his ass dont think ay if he disrespect two shots and i wont blink ay never really cared what the f*ck these niggas think ay i got deep pockets and i swear my shits on sink ay and he mad as f*ck big zoowap all she sing ay and he mad as f*ck big zoowap in her dreams ay well he mad as f*ck when they sex she scream for me ay big zoowap what these niggas should be aybaby wont you come my way got something i want to say cannot keep you out my brain but first off imma start by saying this ay all headshots if you think you could take my bitch ay and im too turnt when i shoot swear i wont miss ay bababy wont you come my way baby wont you come my waybaby girl you can stay the night till the morn all this ice on my arm what you like what you want and i might put you on bitch its mine cant you see and i rock seventeen all these knots in my jeans me and zoo turnin up got your boo in the cut and she sue cause its looking like the roof going up counting all this bread i dont talk to feds try and take my bitch you gonna take two to the head cause baby you the baddest all this money imma cash it and im swervin all in traffic while im trapping out the mansion and im moving through the tristate do twohundred on the highway and im swerving in my i8 baby you should come my way squad,1
45,take your time,sam hunt,2015,i dont know if you were looking at me or not you probably smile like that all the time and i dont mean to bother you but i couldnt just walk by and not say hiand i know your name cause everybody in here knows your name and youre not looking for anything right now so i dont wanna come on strong but dont get me wrong your eyes are so intimidating my heart is pounding but its just a conversation no girl im not gonna waste it you dont know me i dont know you but i want toand i dont wanna steal your freedom i dont wanna change your mind i dont have to make you love me i just want to take your timei dont wanna wreck your friday i aint gonna waste my lines i dont have to take your heart i just wanna take your timeand i know it starts with hello and the next thing you know youre trying to be nice and some guys getting too close trying to pick you up trying to get you drunkand im sure one of your friends is about to come over here cause shes supposed to save you from random guys that talk too much and wanna stay too long its the same old song and dance but i think you know it wellyou could have rolled your eyes told me to go to hell could have walked away but youre still here and im still here come on lets see where it goesi dont wanna steal your freedom i dont wanna change your mind i dont have to make you love me i just wanna take your timei dont have to meet your mother we dont have to cross that line i dont wanna steal your covers i just wanna take your timewoah i dont wanna go home with you woah i just wanna be alone with youi dont wanna steal your freedom i dont wanna change your mind i dont have to make you love me i just wanna take your timeand i dont wanna blow your phone up i just wanna blow your mind i dont have to take your heart i just wanna take your timeno i aint gotta call you baby and i aint gotta call you mine i dont have to take your heart i just wanna take your time ooh,1
46,animals,maroon 5,2015,baby im preying on you tonight hunt you down eat you alive just like animals animals like animalsmalsmaybe you think that you can hide i can smell your scent for miles just like animals animals like animalsmals baby imso what you trying to do to me its like we cant stop were enemies but we get along when im inside you eh youre like a drug thats killing me i cut you out entirely but i get so high when im inside youyeah you can start over you can run free you can find other fish in the sea you can pretend its meant to be but you cant stay away from me i can still hear you making that sound taking me down rolling on the ground you can pretend that it was me but no ohbaby im preying on you tonight hunt you down eat you alive just like animals animals like animalsmaybe you think that you can hide i can smell your scent for miles just like animals animals like animalsmals baby imso if i run its not enough youre still in my head forever stuck so you can do what you wanna do eh i love your lies ill eat em up but dont deny the animal that comes alive when im inside youyeah you can start over you can run free you can find other fish in the sea you can pretend its meant to be but you cant stay away from me i can still hear you making that sound taking me down rolling on the ground you can pretend that it was me but no ohbaby im preying on you tonight hunt you down eat you alive just like animals animals like animalsmalsmaybe you think that you can hide i can smell your scent for miles just like animals animals like animalsmals baby imdont tell no lie lie lie lie you cant deny ny ny ny the beast inside side side side yeah yeah yeahno girl dont lie lie lie lie no girl dont lie you cant deny ny ny ny you cant deny the beast inside side side side yeah yeah yeahyo whoa whoa just like animals animals like animalsmals just like animals yeah animals yeah like animalsmals yeah owbaby im preying on you tonight hunt you down eat you alive just like animals animals like animalsmalsmaybe you think that you can hide i can smell your scent for miles just like animals animals like animalsmals baby imdont tell no lie lie lie lie you cant deny ny ny ny the beast inside side side side yeah yeah yeahno girl dont lie lie lie lie no girl dont lie you cant deny ny ny ny you cant deny the beast inside side side side yeah yeah yeah,1
