"ID","Churned","Age","Married","Cust_years","Churned_contacts"
"1068",1,21,1,5,0
"1069",0,40,0,4,1
"1070",0,34,1,3,2
"1071",0,38,0,2,1
"1072",0,38,0,2,1
"1073",0,28,1,3,1
"1074",1,22,0,2,2
"1075",1,35,0,6,3
"1076",0,60,0,3,2
"1077",0,30,0,2,2
"1078",0,49,1,2,0
"1079",0,36,1,1,1
"1080",0,42,0,3,2
"1081",0,19,0,5,2
"1082",1,36,1,3,3
"1083",1,30,1,4,3
"1084",0,36,0,3,1
"1085",0,48,0,4,1
"1086",0,61,1,2,2
"1087",1,28,0,5,1
"1088",0,30,0,3,1
"1089",0,27,0,3,2
"1090",0,60,1,3,2
"1091",0,59,1,2,2
"1092",0,53,0,3,3
"1093",0,45,1,3,3
"1094",0,40,0,3,1
"1095",0,34,1,3,1
"1096",0,51,1,3,0
"1097",0,30,0,3,0
"1098",0,60,0,5,1
"1099",0,27,1,2,2
"1100",1,36,1,3,2
"1101",0,55,0,2,1
"1102",1,29,0,3,2
"1103",0,42,1,4,2
"1104",0,31,1,3,3
"1105",0,24,0,2,1
"1106",0,61,0,3,1
"1107",0,63,1,3,1
"1108",1,51,0,4,0
"1109",0,45,1,3,0
"1110",0,40,0,1,2
"1111",0,52,0,4,3
"1112",0,57,1,3,0
"1113",0,37,1,3,2
"1114",0,57,0,3,0
"1115",1,41,0,3,3
"1116",0,63,0,4,0
"1117",1,21,0,3,1
"1118",0,44,1,4,3
"1119",1,41,0,4,3
"1120",0,48,0,4,3
"1121",0,62,0,6,1
"1122",0,39,1,5,2
"1123",0,47,1,2,1
"1124",0,24,1,3,0
"1125",0,22,1,2,3
"1126",1,27,1,4,1
"1127",0,36,1,4,2
"1128",1,26,1,2,1
"1129",0,36,0,2,3
"1130",0,54,0,4,1
"1131",0,44,0,3,2
"1132",0,22,0,4,2
"1133",0,63,0,4,3
"1134",0,52,0,2,2
"1135",0,27,0,2,1
"1136",1,33,0,1,2
"1137",0,64,0,2,0
"1138",0,57,1,3,2
"1139",0,23,0,3,0
"1140",1,23,0,5,2
"1141",0,28,0,3,1
"1142",0,65,1,2,2
"1143",1,23,0,2,3
"1144",0,58,1,3,1
"1145",0,35,0,3,1
"1146",1,28,1,3,1
"1147",0,50,0,4,3
"1148",0,30,1,5,2
"1149",1,30,0,3,1
"1150",1,19,1,3,1
"1151",0,36,1,3,2
"1152",0,40,0,3,3
"1153",0,34,0,6,1
"1154",0,43,1,2,1
"1155",0,52,0,3,1
"1156",0,34,1,3,3
"1157",0,34,0,4,3
"1158",0,31,1,2,2
"1159",0,32,1,1,0
"1160",0,29,0,1,3
"1161",1,30,0,3,1
"1162",0,49,0,2,3
"1163",0,54,0,3,1
"1164",1,29,0,3,1
"1165",1,27,0,2,2
"1166",1,28,0,6,3
"1167",0,37,1,2,1
"1168",0,60,1,5,3
"1169",1,29,1,3,2
"1170",0,48,0,6,0
"1171",0,62,1,2,2
"1172",0,52,0,3,2
"1173",1,20,0,3,1
"1174",0,45,1,3,1
"1175",0,61,0,5,1
"1176",0,22,0,4,3
"1177",0,55,1,3,3
"1178",0,49,1,2,1
"1179",0,43,1,2,2
"1180",0,42,1,3,1
"1181",0,31,0,1,0
"1182",0,57,0,3,2
"1183",1,21,0,2,3
"1184",1,21,1,3,2
"1185",0,32,1,3,0
"1186",1,30,1,3,0
"1187",1,55,1,3,1
"1188",1,25,1,3,2
"1189",0,51,0,3,3
"1190",0,28,1,2,2
"1191",0,52,0,4,3
"1192",0,41,1,3,0
"1193",0,56,1,3,2
"1194",1,20,0,3,2
"1195",0,40,1,3,3
"1196",0,60,1,2,3
"1197",0,34,1,6,1
"1198",0,28,0,4,2
"1199",0,42,0,5,2
"1200",1,25,0,3,3
"1201",0,56,1,4,1
"1202",0,48,1,4,2
"1203",0,39,1,3,1
"1204",0,23,0,4,0
"1205",0,34,0,2,2
"1206",1,30,1,5,1
"1207",0,53,0,4,0
"1208",1,30,0,2,2
"1209",0,64,0,3,2
"1210",0,29,1,3,3
"1211",0,40,1,4,1
"1212",0,42,1,3,3
"1213",0,64,0,2,3
"1214",0,61,1,4,3
"1215",1,23,0,4,1
"1216",0,45,0,4,0
"1217",0,34,1,3,0
"1218",0,37,0,2,2
"1219",0,62,1,3,0
"1220",0,58,0,2,1
"1221",0,59,0,2,3
"1222",0,40,0,3,2
"1223",0,56,0,2,2
"1224",0,25,0,3,3
"1225",0,24,1,6,1
"1226",0,52,0,5,2
"1227",1,35,1,3,3
"1228",1,34,0,6,2
"1229",0,49,1,5,2
"1230",0,61,1,3,0
"1231",0,53,1,2,1
"1232",0,64,0,4,1
"1233",0,53,1,3,2
"1234",1,23,1,2,2
"1235",1,30,0,2,2
"1236",0,43,0,4,1
"1237",1,21,0,3,1
"1238",1,39,1,3,1
"1239",0,62,1,3,1
"1240",0,31,0,2,2
"1241",0,64,0,2,2
"1242",0,27,1,5,1
"1243",1,23,1,3,1
"1244",0,20,1,4,0
"1245",0,50,0,4,2
"1246",1,31,1,3,1
"1247",0,52,1,4,3
"1248",0,33,1,3,3
"1249",0,30,0,3,1
"1250",0,57,1,3,2
"1251",0,47,0,2,2
"1252",1,21,1,2,3
"1253",0,64,0,3,2
"1254",0,58,1,2,0
"1255",0,35,1,3,1
"1256",0,56,1,3,2
"1257",0,59,1,5,2
"1258",0,29,1,3,0
"1259",0,56,0,1,1
"1260",0,47,0,5,2
"1261",1,33,1,6,1
"1262",0,39,0,3,2
"1263",0,43,0,5,2
"1264",0,48,1,4,1
"1265",0,25,0,2,1
"1266",0,41,1,2,1
"1267",1,23,0,2,0
"1268",0,32,0,3,3
"1269",1,21,1,3,1
"1270",1,48,0,3,2
"1271",0,60,0,3,1
"1272",0,51,0,6,1
"1273",1,26,1,2,1
"1274",0,45,1,4,2
"1275",1,24,0,3,3
"1276",1,32,1,3,3
"1277",0,44,1,3,1
"1278",1,25,1,4,1
"1279",0,64,0,4,0
"1280",0,57,0,4,0
"1281",0,62,0,2,2
"1282",0,48,0,5,2
"1283",0,50,0,4,0
"1284",1,19,0,2,1
"1285",0,21,1,1,2
"1286",1,28,1,3,3
"1287",0,64,0,4,3
"1288",0,43,0,4,3
"1289",0,53,0,5,3
"1290",0,32,1,2,0
"1291",0,35,0,2,1
"1292",1,25,0,3,2
"1293",0,54,1,3,2
"1294",0,37,0,2,1
"1295",1,25,1,3,1
"1296",0,45,0,3,2
"1297",0,64,0,4,3
"1298",0,58,0,3,1
"1299",1,19,0,2,2
"1300",1,27,0,6,2
"1301",0,32,0,2,2
"1302",0,32,0,3,1
"1303",0,35,0,3,3
"1304",0,61,1,2,3
"1305",0,27,1,3,0
"1306",0,46,0,3,1
"1307",0,29,1,3,2
"1308",0,23,1,2,1
"1309",0,25,0,5,2
"1310",0,38,0,2,0
"1311",1,23,0,3,2
"1312",0,65,1,3,1
"1313",0,62,1,2,2
"1314",0,44,1,2,2
"1315",0,48,1,6,3
"1316",0,30,1,3,2
"1317",1,19,1,4,2
"1318",0,39,0,4,2
"1319",1,24,0,2,2
"1320",0,49,1,4,3
"1321",0,36,0,2,0
"1322",0,54,0,4,3
"1323",1,27,1,1,3
"1324",0,43,1,3,2
"1325",0,28,1,3,2
"1326",0,33,1,4,2
"1327",1,19,0,3,1
"1328",0,24,0,2,0
"1329",0,41,1,3,1
"1330",0,55,0,5,2
"1331",1,20,1,3,0
"1332",1,52,1,3,1
"1333",0,41,0,4,1
"1334",1,22,1,3,1
"1335",0,62,0,2,2
"1336",0,63,0,3,1
"1337",0,53,0,2,2
"1338",0,64,1,3,1
"1339",0,49,1,3,2
"1340",0,18,0,2,3
"1341",0,38,0,3,0
"1342",0,64,1,2,1
"1343",0,48,1,4,3
"1344",1,21,1,4,1
"1345",0,39,1,2,1
"1346",0,58,0,2,1
"1347",0,45,1,2,2
"1348",1,27,0,3,2
"1349",0,62,1,3,1
"1350",0,64,0,3,0
"1351",0,47,0,3,2
"1352",0,49,1,4,1
"1353",0,36,0,2,0
"1354",1,21,0,3,0
"1355",0,40,1,4,0
"1356",1,22,0,3,2
"1357",0,42,1,2,0
"1358",0,37,1,3,2
"1359",1,46,1,2,1
"1360",0,36,1,2,2
"1361",0,48,1,2,2
"1362",1,22,1,2,2
"1363",0,49,0,1,1
"1364",1,30,1,6,2
"1365",0,59,1,2,2
"1366",1,24,1,4,2
"1367",1,24,0,2,2
"1368",0,48,0,2,3
"1369",0,36,0,3,2
"1370",0,35,0,5,1
"1371",0,54,1,3,0
"1372",0,51,1,2,2
"1373",1,22,0,2,2
"1374",0,34,0,5,1
"1375",0,51,0,4,3
"1376",0,37,0,3,2
"1377",0,49,1,5,1
"1378",0,63,1,3,2
"1379",0,42,1,3,3
"1380",0,48,0,3,2
"1381",0,61,0,2,3
"1382",1,32,1,5,0
"1383",0,34,1,4,3
"1384",1,23,1,4,1
"1385",1,46,0,2,2
"1386",1,27,0,3,1
"1387",1,23,1,1,1
"1388",0,65,0,4,2
"1389",1,34,1,4,0
"1390",0,53,1,2,2
"1391",1,38,0,2,0
"1392",1,26,1,3,1
"1393",0,37,1,3,1
"1394",0,29,0,2,2
"1395",0,36,0,4,1
"1396",1,19,0,3,2
"1397",0,55,0,5,3
"1398",0,33,1,2,1
"1399",0,27,1,5,3
"1400",0,38,1,2,2
"1401",0,22,0,2,2
"1402",0,53,1,3,2
"1403",0,54,0,2,2
"1404",0,49,0,3,0
"1405",0,61,1,2,1
"1406",0,59,1,5,2
"1407",0,63,1,3,1
"1408",1,25,0,3,2
"1409",0,38,0,1,3
"1410",1,24,1,3,1
"1411",1,34,0,3,2
"1412",0,34,1,2,1
"1413",0,32,1,3,1
"1414",0,40,1,4,1
"1415",0,52,1,5,2
"1416",0,58,0,3,0
"1417",0,62,0,4,1
"1418",0,33,1,4,3
"1419",0,30,0,2,2
"1420",1,39,1,3,3
"1421",0,45,0,2,1
"1422",0,52,1,2,1
"1423",0,55,0,3,0
"1424",0,50,1,4,3
"1425",0,29,1,2,1
"1426",0,31,0,4,1
"1427",0,28,0,2,1
"1428",0,39,1,2,1
"1429",0,33,1,3,0
"1430",0,34,1,4,2
"1431",0,45,1,3,1
"1432",0,31,0,5,1
"1433",0,51,1,3,1
"1434",1,24,0,1,2
"1435",0,46,1,3,3
"1436",0,31,1,4,1
"1437",0,39,0,3,2
"1438",0,42,0,4,3
"1439",0,48,1,3,2
"1440",1,20,1,3,2
"1441",0,33,0,3,1
"1442",0,41,1,3,0
"1443",0,49,1,2,1
"1444",0,31,0,5,2
"1445",0,51,0,4,1
"1446",0,38,0,3,1
"1447",0,42,0,4,2
"1448",0,46,1,3,0
"1449",0,41,0,2,1
"1450",0,57,1,4,0
"1451",1,28,0,2,2
"1452",0,40,0,4,3
"1453",0,44,1,3,2
"1454",1,25,1,6,2
"1455",0,63,0,2,3
"1456",1,20,0,2,1
"1457",0,31,1,3,2
"1458",0,47,0,2,2
"1459",0,46,0,3,2
"1460",0,42,0,4,1
"1461",0,31,1,2,0
"1462",0,65,1,2,1
"1463",0,52,1,4,1
"1464",0,57,0,2,2
"1465",1,30,0,4,2
"1466",0,59,1,4,1
"1467",0,62,0,2,1
"1468",0,56,1,4,2
"1469",1,24,0,4,2
"1470",0,40,1,3,1
"1471",0,48,0,3,2
"1472",1,22,0,7,0
"1473",0,42,1,2,1
"1474",0,52,0,6,3
"1475",0,34,0,5,2
"1476",0,56,1,4,1
"1477",0,35,0,2,1
"1478",1,20,0,4,2
"1479",1,26,1,5,3
"1480",0,48,0,3,2
"1481",0,43,1,3,2
"1482",1,23,1,4,2
"1483",0,20,0,3,3
"1484",0,53,0,4,0
"1485",0,42,1,4,3
"1486",0,56,1,2,0
"1487",0,59,1,4,3
"1488",1,25,0,4,2
"1489",0,44,0,3,1
"1490",0,41,0,3,1
"1491",0,39,1,4,0
"1492",0,36,0,3,1
"1493",0,65,1,5,3
"1494",0,42,0,2,0
"1495",0,65,1,3,1
"1496",1,30,1,2,2
"1497",0,64,1,4,2
"1498",0,59,0,1,1
"1499",0,61,1,5,1
"1500",1,21,1,4,0
"1501",0,53,0,4,2
"1502",0,57,0,3,2
"1503",0,60,0,4,2
"1504",0,43,1,3,0
"1505",0,28,1,3,2
"1506",0,33,1,2,1
"1507",0,40,0,3,2
"1508",0,51,0,4,2
"1509",0,36,0,3,1
"1510",0,62,1,3,2
"1511",0,36,1,3,2
"1512",0,26,1,3,2
"1513",0,58,1,4,1
"1514",0,29,0,1,2
"1515",0,47,1,3,1
"1516",0,34,1,3,1
"1517",0,49,0,3,1
"1518",0,57,0,3,1
"1519",0,39,1,3,2
"1520",0,38,0,3,2
"1521",0,37,1,2,1
"1522",0,41,1,3,2
"1523",0,49,1,2,3
"1524",0,63,0,4,2
"1525",0,43,0,6,2
"1526",0,45,0,2,2
"1527",1,29,1,5,2
"1528",0,56,0,3,1
"1529",0,56,0,5,1
"1530",0,43,1,3,0
"1531",0,40,1,3,2
"1532",0,23,1,2,1
"1533",0,43,1,4,1
"1534",0,32,0,2,2
"1535",0,27,0,3,1
"1536",0,23,1,4,3
"1537",1,20,0,2,0
"1538",0,35,1,3,2
"1539",1,26,1,2,2
"1540",0,58,0,3,2
"1541",1,21,0,4,2
"1542",0,33,0,3,0
"1543",0,51,0,3,2
"1544",0,45,1,3,2
"1545",0,27,1,4,1
"1546",0,43,1,4,1
"1547",0,42,0,2,1
"1548",1,29,0,3,1
"1549",0,38,1,3,0
"1550",0,38,0,4,1
"1551",1,20,1,2,2
"1552",0,56,0,6,1
"1553",0,35,0,6,1
"1554",0,65,1,4,1
"1555",0,46,1,3,1
"1556",0,46,0,3,1
"1557",0,22,0,5,1
"1558",0,59,1,3,1
"1559",1,20,1,3,1
"1560",0,49,1,6,1
"1561",0,37,0,3,1
"1562",0,40,0,5,1
"1563",0,42,0,2,1
"1564",0,47,0,3,3
"1565",0,19,1,3,0
"1566",0,57,1,4,2
"1567",0,58,1,2,1
"1568",0,19,0,2,1
"1569",0,32,1,4,2
"1570",0,18,0,4,0
"1571",0,60,1,2,2
"1572",0,53,1,3,2
"1573",0,51,0,4,2
"1574",0,47,1,3,2
"1575",0,31,1,3,2
"1576",1,24,1,2,0
"1577",0,41,0,4,1
"1578",0,34,0,3,1
"1579",1,31,1,2,1
"1580",0,29,1,4,2
"1581",0,40,1,2,3
"1582",0,26,0,4,1
"1583",0,25,0,4,1
"1584",0,58,1,4,2
"1585",1,37,1,3,2
"1586",0,50,0,2,3
"1587",0,48,0,4,2
"1588",0,58,0,3,1
"1589",0,42,1,4,1
"1590",0,50,1,4,2
"1591",0,44,0,3,3
"1592",0,47,1,2,1
"1593",0,55,0,2,0
"1594",0,60,0,2,2
"1595",0,49,0,3,1
"1596",0,31,1,4,2
"1597",0,39,1,2,1
"1598",1,37,0,3,2
"1599",0,29,1,3,2
"1600",1,33,1,6,2
"1601",0,63,1,3,2
"1602",1,24,0,4,0
"1603",0,36,1,3,0
"1604",1,33,1,2,1
"1605",1,26,1,2,3
"1606",0,42,0,2,2
"1607",0,42,0,2,2
"1608",0,63,1,3,2
"1609",0,50,0,2,2
"1610",0,36,1,5,2
"1611",0,65,1,5,2
"1612",0,47,1,3,1
"1613",0,56,1,3,1
"1614",0,25,1,4,0
"1615",1,26,0,2,1
"1616",0,63,1,6,2
"1617",0,56,1,2,1
"1618",0,49,1,2,3
"1619",1,21,1,6,2
"1620",0,22,0,3,0
"1621",0,45,1,3,1
"1622",0,42,1,8,3
"1623",1,21,0,3,1
"1624",0,57,0,4,3
"1625",1,31,1,2,1
"1626",1,28,1,3,2
"1627",0,37,0,3,2
"1628",0,44,1,2,1
"1629",0,51,0,4,1
"1630",0,43,0,2,2
"1631",0,62,1,2,3
"1632",0,62,0,3,1
"1633",0,34,0,2,2
"1634",0,50,0,4,1
"1635",0,20,0,2,1
"1636",0,42,0,2,2
"1637",1,25,1,3,1
"1638",0,42,1,4,3
"1639",0,42,0,3,1
"1640",1,26,0,3,2
"1641",1,37,1,3,2
"1642",0,64,1,2,2
"1643",1,33,0,4,2
"1644",0,49,1,3,1
"1645",0,46,1,2,3
"1646",0,39,0,3,1
"1647",0,56,0,3,2
"1648",1,19,0,4,1
"1649",0,46,1,2,1
"1650",0,55,0,3,2
"1651",0,58,0,3,1
"1652",0,19,1,4,0
"1653",0,45,0,5,1
"1654",0,38,1,3,1
"1655",0,45,0,4,3
"1656",1,36,1,3,2
"1657",1,22,1,3,0
"1658",0,53,1,3,1
"1659",1,28,0,4,2
"1660",0,50,0,4,2
"1661",0,57,0,2,2
"1662",0,40,1,3,1
"1663",0,42,1,3,2
"1664",1,31,1,3,2
"1665",0,49,1,3,3
"1666",0,57,0,2,1
"1667",0,31,1,5,0
"1668",1,25,0,3,3
"1669",1,30,0,4,0
"1670",1,20,1,3,2
"1671",0,18,0,6,1
"1672",0,37,0,4,2
"1673",0,50,1,4,2
"1674",1,30,1,3,1
"1675",0,61,0,2,1
"1676",0,53,1,2,2
"1677",0,42,1,2,1
"1678",0,54,1,3,3
"1679",0,43,1,5,2
"1680",0,64,0,2,1
"1681",0,61,0,5,2
"1682",0,32,1,2,2
"1683",0,58,0,3,2
"1684",0,48,1,4,1
"1685",0,47,0,3,2
"1686",0,50,0,5,2
"1687",1,18,0,5,2
"1688",0,49,0,2,0
"1689",0,46,1,2,1
"1690",0,50,1,5,0
"1691",0,40,0,3,3
"1692",0,49,0,2,1
"1693",0,38,1,3,1
"1694",1,19,1,2,2
"1695",0,26,1,4,0
"1696",0,50,0,3,1
"1697",0,47,1,3,0
"1698",0,62,1,3,1
"1699",0,38,1,3,2
"1700",0,32,1,3,1
"1701",0,39,1,2,3
"1702",0,41,0,2,1
"1703",0,21,0,4,1
"1704",0,41,1,3,0
"1705",0,38,0,5,2
"1706",0,31,1,2,2
"1707",0,36,0,3,1
"1708",0,56,0,5,1
"1709",0,53,1,2,3
"1710",0,60,0,2,0
"1711",1,19,0,3,2
"1712",0,50,1,5,2
"1713",0,54,0,3,3
"1714",1,21,1,2,2
"1715",0,60,0,2,0
"1716",0,64,0,2,2
"1717",1,21,0,3,1
"1718",1,27,1,3,1
"1719",1,28,0,4,3
"1720",1,25,1,9,3
"1721",0,54,1,2,2
"1722",0,56,1,2,2
"1723",0,56,1,5,2
"1724",0,41,1,3,1
"1725",0,59,0,2,0
"1726",0,57,0,2,2
"1727",1,27,0,3,3
"1728",0,30,0,2,2
"1729",0,49,0,3,0
"1730",0,20,0,2,1
"1731",0,58,0,3,1
"1732",0,51,0,3,0
"1733",0,42,1,2,3
"1734",0,27,0,4,1
"1735",0,35,0,2,2
"1736",1,60,1,4,3
"1737",0,42,0,4,2
"1738",0,37,1,3,2
"1739",0,57,0,4,2
"1740",0,34,0,3,3
"1741",0,58,0,2,3
"1742",0,62,0,4,0
"1743",1,22,1,2,3
"1744",0,37,1,4,2
"1745",0,33,1,3,2
"1746",0,62,1,2,3
"1747",1,40,1,2,3
"1748",0,22,1,5,1
"1749",0,48,1,5,0
"1750",1,32,0,2,3
"1751",0,19,1,3,1
"1752",0,23,0,2,2
"1753",0,33,0,3,1
"1754",0,63,1,2,1
"1755",1,32,1,3,2
"1756",1,34,0,3,2
"1757",0,30,0,4,2
"1758",0,37,0,3,0
"1759",0,32,0,4,2
"1760",1,32,1,2,2
"1761",1,29,1,2,2
"1762",0,49,1,6,0
"1763",1,24,1,2,1
"1764",0,39,0,4,1
"1765",0,47,1,4,1
"1766",0,43,0,2,2
"1767",0,37,1,3,0
"1768",0,36,0,5,2
"1769",0,41,1,2,2
"1770",0,65,1,6,2
"1771",0,51,0,3,2
"1772",0,61,1,2,0
"1773",0,52,1,2,2
"1774",0,36,1,2,2
"1775",0,53,1,2,1
"1776",0,51,0,2,3
"1777",0,36,0,4,0
"1778",1,19,0,2,2
"1779",0,41,0,3,0
"1780",1,23,0,2,0
"1781",0,43,1,3,1
"1782",0,34,1,5,2
"1783",0,52,0,2,1
"1784",0,32,1,4,0
"1785",0,52,1,2,2
"1786",0,58,0,3,1
"1787",1,25,1,3,2
"1788",0,42,0,4,1
"1789",0,55,0,2,3
"1790",1,31,1,3,2
"1791",0,51,0,6,2
"1792",1,39,0,2,0
"1793",0,55,1,3,3
"1794",0,61,1,4,2
"1795",1,21,1,4,3
"1796",0,34,0,4,2
"1797",0,38,1,2,3
"1798",0,41,0,3,1
"1799",0,57,1,2,2
"1800",0,37,0,3,1
"1801",1,39,1,3,1
"1802",0,48,1,4,1
"1803",0,49,1,4,2
"1804",0,61,1,2,2
"1805",1,22,0,5,1
"1806",0,45,1,2,2
"1807",0,37,1,5,2
"1808",0,47,1,3,2
"1809",0,56,0,3,2
"1810",0,51,0,2,2
"1811",1,30,1,2,3
"1812",0,28,1,1,0
"1813",1,23,0,2,2
"1814",0,26,1,3,3
"1815",0,52,0,3,1
"1816",0,58,0,3,2
"1817",1,34,1,4,2
"1818",0,33,1,2,2
"1819",0,37,1,3,2
"1820",0,51,0,3,0
"1821",1,19,0,4,3
"1822",0,45,1,4,1
"1823",0,40,1,3,0
"1824",0,49,1,3,0
"1825",0,59,0,4,1
"1826",1,24,0,2,1
"1827",1,21,0,2,3
"1828",0,55,1,4,2
"1829",0,57,1,2,1
"1830",1,27,1,2,1
"1831",0,27,1,3,2
"1832",0,55,1,4,1
"1833",0,55,0,6,1
"1834",0,40,1,5,0
"1835",1,31,1,3,2
"1836",0,46,0,2,2
"1837",0,39,1,2,1
"1838",0,43,1,2,3
"1839",0,37,1,3,0
"1840",1,32,1,3,0
"1841",1,25,0,2,2
"1842",0,43,1,2,3
"1843",1,31,0,3,1
"1844",0,51,1,3,0
"1845",0,57,0,4,2
"1846",0,59,0,3,2
"1847",0,56,1,5,1
"1848",1,34,0,4,0
"1849",1,22,1,3,1
"1850",0,63,1,4,0
"1851",0,42,1,2,3
"1852",1,26,0,2,0
"1853",0,62,0,2,1
"1854",0,61,0,2,3
"1855",0,36,0,3,0
"1856",0,51,0,4,3
"1857",0,58,1,2,3
"1858",0,44,1,2,0
"1859",0,63,0,1,1
"1860",0,50,1,2,0
"1861",0,51,0,3,2
"1862",0,58,1,5,3
"1863",1,31,0,3,2
"1864",1,27,0,2,3
"1865",1,37,1,2,2
"1866",0,63,0,3,2
"1867",0,32,1,3,1
"1868",0,34,1,3,2
"1869",0,60,0,3,3
"1870",1,28,1,2,1
"1871",0,41,0,2,3
"1872",0,40,1,6,3
"1873",0,42,1,3,0
"1874",0,59,0,2,3
"1875",0,43,1,3,1
"1876",0,41,0,2,2
"1877",0,49,1,4,3
"1878",0,46,1,3,0
"1879",0,50,1,6,1
"1880",0,55,0,4,2
"1881",0,35,1,3,1
"1882",0,56,0,6,2
"1883",0,51,1,3,3
"1884",0,48,1,3,2
"1885",0,35,0,2,3
"1886",0,63,0,2,0
"1887",1,34,0,4,3
"1888",0,33,1,2,1
"1889",0,62,0,2,2
"1890",0,47,1,2,2
"1891",1,20,1,4,1
"1892",0,52,1,7,1
"1893",0,50,0,2,2
"1894",0,60,1,3,2
"1895",1,28,0,2,2
"1896",0,49,0,3,3
"1897",0,22,1,2,1
"1898",0,43,0,7,1
"1899",0,52,1,2,2
"1900",0,60,0,3,3
"1901",0,45,1,6,3
"1902",0,63,0,4,0
"1903",0,43,0,2,2
"1904",0,55,1,2,3
"1905",0,21,0,3,1
"1906",0,64,1,3,1
"1907",0,33,0,4,1
"1908",0,50,0,2,2
"1909",1,22,1,3,1
"1910",0,21,1,4,2
"1911",0,48,0,2,2
"1912",1,26,1,3,2
"1913",0,49,0,2,2
"1914",0,59,1,2,1
"1915",1,25,1,3,1
"1916",0,50,1,4,2
"1917",0,22,1,3,1
"1918",0,36,1,5,1
"1919",0,57,0,3,0
"1920",1,29,1,4,2
"1921",0,33,0,3,0
"1922",0,49,1,3,2
"1923",0,37,0,3,1
"1924",0,35,0,2,2
"1925",0,65,1,3,0
"1926",0,51,0,3,1
"1927",0,35,0,3,2
"1928",0,58,0,4,3
"1929",0,62,0,2,1
"1930",0,63,0,2,2
"1931",1,24,1,4,3
"1932",0,57,1,3,3
"1933",0,62,1,4,1
"1934",0,24,1,5,1
"1935",0,46,0,4,0
"1936",0,33,0,2,2
"1937",0,53,0,4,1
"1938",0,41,1,8,3
"1939",0,64,1,3,0
"1940",0,53,0,5,1
"1941",1,24,0,5,2
"1942",0,60,1,3,0
"1943",0,39,1,4,3
"1944",1,27,0,2,2
"1945",0,38,0,4,1
"1946",0,64,0,3,1
"1947",0,23,0,3,3
"1948",0,45,1,2,3
"1949",0,34,0,3,2
"1950",0,43,1,6,0
"1951",0,32,1,3,2
"1952",0,26,1,5,1
"1953",0,26,1,4,0
"1954",0,48,0,3,1
"1955",1,21,1,5,3
"1956",0,45,0,3,0
"1957",0,47,1,3,2
"1958",0,38,1,2,1
"1959",0,31,1,2,3
"1960",0,26,1,3,2
"1961",0,60,1,3,3
"1962",0,21,0,3,0
"1963",1,21,1,2,1
"1964",0,51,0,4,3
"1965",0,52,0,5,1
"1966",0,59,1,4,0
"1967",1,19,0,2,3
"1968",0,60,1,2,1
"1969",0,59,1,4,2
"1970",1,37,1,3,3
"1971",0,39,1,2,1
"1972",1,22,0,3,2
"1973",0,30,1,4,1
"1974",0,58,0,3,0
"1975",0,30,0,3,0
"1976",0,61,0,4,2
"1977",0,35,1,2,1
"1978",0,34,0,2,1
"1979",0,48,0,4,1
"1980",0,37,0,4,2
"1981",1,33,1,3,2
"1982",0,50,0,2,1
"1983",0,46,1,2,0
"1984",0,54,1,1,1
"1985",0,58,0,2,0
"1986",0,58,1,3,3
"1987",0,57,0,5,0
"1988",1,23,1,3,1
"1989",1,21,1,2,2
"1990",0,46,0,5,2
"1991",1,20,0,3,1
"1992",0,36,1,3,2
"1993",0,54,1,3,3
"1994",0,24,1,5,1
"1995",0,44,1,4,2
"1996",0,48,0,7,3
"1997",0,50,1,3,2
"1998",0,40,0,2,3
"1999",1,23,0,3,1
"2000",0,42,1,3,2
"2001",0,37,1,2,1
"2002",0,45,0,2,3
"2003",0,56,0,4,2
"2004",0,63,0,3,3
"2005",0,33,1,3,2
"2006",0,35,0,3,3
"2007",0,36,1,4,2
"2008",0,48,1,2,1
"2009",0,47,1,4,0
"2010",1,21,1,3,3
"2011",1,18,0,7,0
"2012",0,63,0,3,1
"2013",0,36,0,4,1
"2014",1,22,0,2,2
"2015",0,37,1,3,1
"2016",0,51,1,2,2
"2017",0,39,1,3,0
"2018",0,42,0,2,1
"2019",0,39,1,2,1
"2020",0,51,0,6,2
"2021",0,28,1,3,1
"2022",0,27,0,3,0
"2023",0,53,1,3,1
"2024",1,18,1,2,0
"2025",1,44,1,2,3
"2026",1,20,1,2,1
"2027",0,35,1,3,1
"2028",0,60,0,4,2
"2029",0,56,1,5,2
"2030",0,51,1,3,0
"2031",0,30,0,3,3
"2032",0,31,0,4,1
"2033",0,42,1,2,1
"2034",1,30,0,5,3
"2035",0,56,0,4,1
"2036",0,48,0,3,1
"2037",0,56,1,2,0
"2038",0,55,1,5,2
"2039",1,22,0,5,1
"2040",0,63,1,3,2
"2041",0,53,1,4,1
"2042",1,23,0,2,3
"2043",0,23,0,3,1
"2044",0,64,1,1,1
"2045",0,61,1,3,3
"2046",0,47,1,4,3
"2047",0,22,1,3,0
"2048",1,31,0,3,3
"2049",1,27,0,2,2
"2050",0,59,0,1,3
"2051",0,63,0,4,2
"2052",1,29,0,2,1
"2053",0,25,0,2,1
"2054",0,56,1,3,2
"2055",0,59,0,3,2
"2056",0,41,1,3,0
"2057",0,42,0,4,2
"2058",0,42,0,3,0
"2059",0,57,1,5,3
"2060",0,46,1,6,1
"2061",0,61,0,5,1
"2062",1,33,1,8,2
"2063",0,27,1,5,2
"2064",1,20,0,4,1
