title,date,summary
If you love soccer ,"Reviewed June 15, 2018 ","I’m not a big soccer fan... however I was with someone who was. And it is a good experience to see this place! 
I would recommend! We spent almost two hour in there . That’s long for us I’m sure if you are a huge...More"
An amazing stadium,"Reviewed June 14, 2018 ","What an amazing stadium.115 years of the Barcelona F C.Even though I have never watched a whole game of Football,I couldnt help but be impressed by the stadium with all its displays and its touch sensitive screens and trophies dating back to the beginning of...More"
Interesting visit,"Reviewed June 14, 2018 ","It was interesting to visit Camp Nou and see the history of the club and its players, as well as seeing inside the stadium. Husband really loved it as he loves football. We were very disappointed however that you had to pay an awful lot...More"
A must do when in Barcelona,"Reviewed June 13, 2018 ",Visited the Camp Nou Stadium today and found the whole experience very enlightening with many displays of all the great moments in the proud history of probably the greatest football club in the world. Do not miss the chance to go and see all that...More
A true fan’s dream come true.,"Reviewed June 13, 2018 ","My subject header says it all. The club’s tour was pretty informative and interactive. My friends went crazy! Me, not so much."
Amazing ,"Reviewed June 13, 2018 ","Not much to say really apart from it's easy to find and it was better than I expected, words can't really describe it so I suggest just do it and see for yourself!

Definitely worth the money"
FC Barcelona Fan Must See,"Reviewed June 13, 2018 ","This is definitely a niche museum for the many fans of FC Barcelona. One of Europe's biggest football area, for €17 guests get to see the player tunnel, press room, locker rooms and a bit more. There's a good mixture of sports, culture, and history....More"
best after sukru saracoglu,"Reviewed June 13, 2018 ",this is the 2nd best stadium i have been in my life .. first one is of course sukru saracoglu but this one is so cool too
Wow,"Reviewed June 13, 2018 ","I am not a football fan, but since I was already in Barcelona (my first time here), and encouraged by my husband, son and brother to come here, so there I was.
It blew me away, the museum is so cool, it made me like...More"
Ok if you like football!,"Reviewed June 12, 2018 ","Make sure you go collect your tickets, if booked on here. It was interesting but only if you have knowledge of football. A lot of walking up stairs. Messi amazing footballer."
Over priced busy run down stadium.,"Reviewed June 12, 2018 ","I visited here 15 years ago and have always loved the memories but this time it was run down poorly self guided tour with way too many people for the areas with photographers wanting money every corner of the tour. 
I took my family after...More"
Really interesting ,"Reviewed June 12, 2018 ","I’m not a massive football fan but found this tour very interesting. 
The venue is vast but the tour layout makes it easy to get around although some spaces were quite congested and could’ve been opened up more.
There’s a lot of info and things...More"
Must visit for a Barca Fan,"Reviewed June 11, 2018 ",It’s fun to be around this place. The experience is great. There is a certain aura of this place.  You feel connected.  Lots and lots of merchandise available to choose from.  The stadium tour is fantastic but a bit expensive.  Loved it.
Everything is on a grand scale,"Reviewed June 11, 2018 ",A must if you are a football fan. About a 15 minutes walk from the metro station if you are visiting or on the blue hop on hop off bus tour ( would suggest the metro as the Blue bus route will take some time...More
worth a visit!,"Reviewed June 11, 2018 ",great visit to Camp Nou. Lots to see and lots of interactive things to do. Plenty photo opportunities. My fiance was a little dissapointed that he could not see the home dressing room so maybe there was the opportunity to have the football tops somewhere...More
Fabulous ,"Reviewed June 10, 2018 ",I hate football and was dreading this part of our school trip. However it was one of the highlights of our stay
Excellent,"Reviewed June 10, 2018 ","I am not much of a football fan but a visit to Camp Nou, home of Barcelona FC really is an excellent experience. Take the tour allows you into most parts of the stadium."
Brilliant to see up close,"Reviewed June 10, 2018 ","As a big football fan this was a must. You get to see all aspects of the ground, changing rooms, museum and trophies. A fantastic experience and even my non football liking partner enjoyed it."
Overpriced and boring,"Reviewed June 9, 2018 ","I would not go here again for the 'Camp Nou Experience Tour' as basically you can only visit the museum and enter some parts of the stadium. I would be happy to pay 5 Euros to experience both of these things, but paying 25 Euro...More"
Great Experience,"Reviewed June 9, 2018 ","The Camp Nou experience is a must see for any football/soccer fan. It is a chance to visit one of the great stadiums in the world, tour the museum for the history of the Barcelona FCB and walk on the field. You can also tour...More"
Awesome!,"Reviewed June 9, 2018 ","My hubby and son wanted to visit here so I and our daughter tagged along and what an experience.
Well worth a visit,amazing tour loads of time for photos,got on the pitch,Virtual experience and Audioguide was fab.Will be back!"
Loved every minute!,"Reviewed June 9, 2018 ","Visited here with my best mate on our trip to Barcelona! After forcing my mate(who isn’t a footy fan like myself) to come, he didn’t regret it one bit! We got to experience so much for a very good price! And we even were so...More"
Made me an FCB Fan!,"Reviewed June 9, 2018 ","Book online ahead of time and get the audio guide. Despite the horrible flow and poorly marked signage (we had to scan for the next number which was often behind us and required backtracking against the flow.  Camp Nou, even if you don’t change the...More"
Camp Nou : What an experience,"Reviewed June 9, 2018 ",Camp Nou is an amazing experience. Pls. bok your tickets in advance. Buy the tickets incldg Virtual Experience and Audioguide. Don't forget to get your pics clicked by the agents at the stadium. The Virtual Experience will give you a real life feel of how...More
Loved it ,"Reviewed June 8, 2018 ","I am a huge football fan and I just loved this tour it was €27 if booked on the gate but €25 if booked on line 
The tour is well planned out from seeing the huge trophy room,to the players dressing room
You see the...More"
Awesome venue for an international sports medicine  meeting in soccer,"Reviewed June 8, 2018 ",This is the second year of the Isokinectic / FIFA / Barca sports meeting medical being held in the stadium . The audience sat on the regular seats and the speakers from all over the world provide insight and innovations to help soccer players to...More
Camp nou,"Reviewed June 8, 2018 ",My partner (sport fanatic) and I (not knowing much about soccer) visited and were impressed. Can take as long  as you want! Beware lots of steps but I’m sure there are lifts somewhere.
Barcelona Visit,"Reviewed June 7, 2018 ","This is the place for any football fan to visit to see the facilities at this place, but as you would imagine it doesn't come cheap, when they add on the extra's."
Birthday ,"Reviewed June 7, 2018 ","It was a gift. And i had a great time! Alot to see that you dont see at all Times.  
Trophies was cool to see. Was real close to the pitch!"
Great tour ,"Reviewed June 7, 2018 ","This was a great tour with VR headsets & opportunity to see the changing rooms, the press area, the pitch & the history of FCB - a great place for youngsters interested in soccer & FC Barcelona"
FCB tour,"Reviewed June 6, 2018 ","Wonderful experience if given good time then it’s a half day experience. 
Lots of things to do with kids. Nice to see the rich history of the place."
Amazing Matchday Experience,"Reviewed June 6, 2018 ","We were lucky enough to attend the final game of the season, complete with trophy presentation, firework show, and of course Iniesta's farewell.

Can't wait to return, hopefully to do the museum tour next time!"
Good for a couple of hours ,"Reviewed June 6, 2018 ","Came here on a trip from Salou, I'm not into football at all but I was surprised I wasn't bored, loads to see and do had a good couple of hours."
A great tour,"Reviewed June 6, 2018 ","The tour itself was excellent, although be prepared to pay extra at every opportunity.  For example, for English commentary via ear plugs, various photo opportunities, then of course in the shop afterwards.

Felt let down by Trip Advisor, bought the tickets before we came out...More"
Més que un museu,"Reviewed June 6, 2018 ","We thoroughly enjoyed our visit to the Camp Nou Experience. Although it isn't cheap at 25 euros (book in advance online to avoid an additional 2.50 euros fee on site), there is a huge amount to see. If you prefer to just wander around and...More"
Fun place Camp Nou,"Reviewed June 6, 2018 ","We arrived at  Camp Nou via the hop on-hop off bus tour. We walked around the stadium shopping area, saw the skating rink but declined to purchase tickets to see inside the stadium. 25€ for a basic entry. The place is quite electric and the...More"
Amazing!,"Reviewed June 6, 2018 ",If you are a football fan you MUST visit CAMP NOU! It is all in the history of the club!  You will get a good tour of the stadium! The museum is great - there is so much to see!
Best stadium tour I have ever had.,"Reviewed June 6, 2018 ",I loved every minute of this football stadium tour. You get to see practically the whole stadium for as long as you want for €27.50. The staff are friendly and help answer any question. You firstly walk into the stadium and get greeted by people...More
"Too expensive , could be cheaper for children","Reviewed June 6, 2018 ","As a catalan club which only takes advertisement of unicef, the club should take less money from children and the photos of children with players should be cheaper. Every thing seems like money in the tour. Only the visitor teams dressing room"
Only for die-hards,"Reviewed June 5, 2018 ","There are great football stadiums that try to cater to every visitor. Not Camp Nou. If you don't pay for the tour, there is nothing for you to see. No information on famous past players (e.g. Ronaldinho). Only come if you know the history of...More"
Great tour,"Reviewed June 5, 2018 ",Really good tour. I thought there were lots to see and good value for money. It wasn’t to crowded either as it was very spread out.
Enjoy the stadium; skip the VR,"Reviewed June 5, 2018 ","We've enjoyed stadium tours in the past and this was no different. The museum is mostly only of interest to soccer fans, but the stadium is fun. We paid extra for the virtual reality experience and it was underwhelming - short and not particularly engaging."
Money making machine,"Reviewed June 5, 2018 ","We visited in half term with our three children and paid around £110 to get in. For your money you get to see the museum where all the trophies are, away changing room, look over stadium from sidelines/sit in directors seat and go up to...More"
Temple of football,"Reviewed June 4, 2018 ","Watched a champions league match in the  visitors supporters end, the views of players are not very good from there but the stadium itself is an experience"
Highlight of Barcelona ,"Reviewed June 4, 2018 ",Our day was made when we entered the stadium.  Very well conducted and covered most of the stadium. Hats off
What a place to be for any futbol fan! ,"Reviewed June 4, 2018 ",This is a must stop if you are a sports fan or futballer. I suggest going to a game however there are tours available. We were able to attend a game verse Malaga and it was an amazing experience from the start to end. Being...More
Stadium tour worth a visit ,"Reviewed June 4, 2018 ","If you get a chance to get to a match , the atmosphere is incredible. 
If you don’t and you just want to do the stadium tour it is well worth a visit. Great tour and you get to see the huge size of the...More"
Made my 10yrs old sons dream come true!,"Reviewed June 4, 2018 ","After booking a family holiday to Salou in May i had promised my 10yr old that we would take him to visit the stadium as he is a huge fan of Barcelona FC and loves Messi, his grandad booked the day trip through the Bus...More"
Best football stadium TOURS,"Reviewed June 4, 2018 ","I snuck off into the stadium when my mother didn't want to go, and i was so happy that i done it alone, i loved the history and how great of a building this stadium actually is. 5Star"
A must for soccer fans,"Reviewed June 3, 2018 ","Even if you are not a Barcelona fan, or even a soccer fan you must see this place. It is a beautiful soccer stadium, and the museum is full of history, trophies, and memorabilia."
Ridiculous  price,"Reviewed June 3, 2018 ","It's nice to vissit Barcelona stadium and the museum. 

But the price is ridiculous. 27€ (and 23€ for a kid) to visit the museum and a part of the stadium..... And everything is an extra, photos, grass, virtual experience.... too much!"
Great Stadium Tour,"Reviewed June 3, 2018 ","Very enjoyable Tour. Shame that what to charge you for every little detail, even having your picture taken with a pretend cup!"
Camp Nou some place,"Reviewed June 3, 2018 ",Visited Barcelona for the day and bought tickets for the tour online before we left home as was around €7 cheaper and you skip the que.walk around the trophy room and parts of the stadium at your leisure go pitch side and sit in dugout.access...More
Spoilt by the commerciality of the experience,"Reviewed June 3, 2018 ",We surprised our three football loving children with a trip to the Camp Nou on our last day of a 5 night city trip to Barca. My wife and I had been before they were born in the early 2000’s and had really enjoyed visiting...More
Tour is wothwhile,"Reviewed June 3, 2018 ","Tour is quite interesting. You can go to the field, panoramic view from the chairs and press cabins."
Great experience ,"Reviewed June 3, 2018 ",We had a tour for 25 Euro. We be seen the whole stadium from different places : 0 level ; top level; museum quite amazing and we ve made some pictures with “players “ 100 Euro gone in total plus some shopping 🤭. Nice
Amazing!!,"Reviewed June 2, 2018 ","The best 25 euros I ever spent. Amazing museum, trophy room is breathtaken, the stadium from the stands or the dug out is astonishing. I even got to lift the champions league cup! Wow! I got the 25 euro tour and I loved it, my...More"
Lasting memories,"Reviewed June 2, 2018 ","We paid for the Players' Experience tour and it was definitely worth it! Out guide Roger had lots of knowledge and was really friendly whilst remaining professional. He gave us plenty of time to wander, ask questions and take pics. The yours starts with nibbles...More"
Massive Stadium!,"Reviewed June 2, 2018 ","I was so pleased that I got to see the great ""Messi"" playing here, in a 4-2 victory! The stadium is of course hugh, and was nearly full when I went to the game. Of course there will be little delays, but my friends and...More"
Birthday Treat,"Reviewed June 1, 2018 ","It is what it is an iconic Football Stadium, both my boys 15 & 23 loved it, to see all the memorabilia, the trophies, walk through the tunnel sit in the dug out & then look through the three storey shop, it’s what the guys...More"
Messi-merising...All the Way...,"Reviewed June 1, 2018 ","My dream come true to witness the kingdom of Messi..The place where he spelt magic for years.
Goose bumps when I saw the players room, press room, commentators box...Whooowwww...Swept of my feet...

A Panoramic Pic and a Selfie with the Golden Boot is a Tick...More"
Soccer fan?  Go,"Reviewed June 1, 2018 ","My brother went to the game barcelona-Real Madrid with 90000 other friends. He made a  bucket list stop.  He said, the seats are not made for fat Americans"
Historical ,"Reviewed June 1, 2018 ",This tour was everything expected and some more. Not even a fan of fútbol but the history is captivating. Very organized also
Great experience,"Reviewed June 1, 2018 ","Visited during May 2018 for the tour. Done at your own pace and full of history about a great club. The views of the pitch are also very impressive. Overall its not the best tour ""experience"" I have had (I would put Madrid, San Siro...More"
Great stadium,"Reviewed June 1, 2018 ",Even if you are not a football fan it is a great place to visit as it is one of the nicest and largest stadiums we have seen. We liked reading about the history of the football club and stadium in the small museum and...More
A sporting venue not to be missed,"Reviewed June 1, 2018 ",The ground and the champions exhibition is a wonderful experience if you are a football fan well worth a visit just hop on the bus
beautiful football stadium,"Reviewed June 1, 2018 ",It was a fantastic morning for us when we visited the Camp Nou the official stadium of famous team Barcelona. You can see all the trophies and pictures of their famous victories and can take pictures. Entering to this stadium is a great experience.
Interesting but herded like sheep,"Reviewed June 1, 2018 ","Nice to visit, great to see, good to be in same places as Messi, Iniesta etc, but overall felt that it was just a grab as much money from the tourists as possible experience.

Maybe it’s a victim of it’s own success, it was very...More"
Enjoyable visit,"Reviewed June 1, 2018 ","Booked this as a surprise for our 10 year old son and we all thoroughly enjoyed it.
Only a 2 min walk from nearest metro station and well set out with cafes etc before you even go in.

The tickets are priced at 25 euros...More"
Great Memories,"Reviewed May 31, 2018 ","It was wonderful experience, my boys were so so happy when we reached there. The museum is awesome, and we all liked it."
Barcelona’s golden eye ,"Reviewed May 31, 2018 ",I went to Camp Nou with my husband as every football enthusiast wants to. It was a really good experience to see all the trophies and football history of the club! It is a massive stadium however is extremely packed with people viewing the stadium...More
Great Tour Walked Along Side of the Field ,"Reviewed May 31, 2018 ",Visited at the beginning of April 2017. I have visited other stadiums in the USA but this one was one of the most beautifully designed to date. The museum aspect of the tour before the main stadium tour was very educational. The tour itself was...More
Visit only to see a match,"Reviewed May 31, 2018 ",It only made sense to go there if there is a match (if it is one of the first rounds of the Copa del Rey is the cheapest way to do it). Normally it is very windy and maybe cold at night.
Amazing Experience!,"Reviewed May 31, 2018 ","Attended Camp Nou and watched Iniesta's last game. Great atmosphere, lovely area, amazing stadium. People are friendly and polite. You always feel safe. Great facilities all around the stadium.
Will come back to do the actual tour! Gracies, Visca Barça!
Tuve la oportunidad de ir...More"
Filled with history,"Reviewed May 31, 2018 ",A fantastic football stadium. The tour isn't quite as impressive as those in Madrid but still lots to see. Skip the virtual reality part because it isn't worth the extra 5 euros
Great tour,"Reviewed May 30, 2018 ","Very interesting tour, done at your own pace. A very informative look around the museum & good look around the ground itself."
Good Tour,"Reviewed May 30, 2018 ","I'm not a big soccer fan, but it was my cousins birthday and he wanted to go. We had a great time and he was able to finally visit the stadium since he is a Barça fan."
Lovely Stadium,"Reviewed May 30, 2018 ",My son is a huge Barcelona fan and managed to drag us to go and see Camp Nou. I'm not really a big soccer fan but I was pleasantly surprised by the stadium. The tour was great and I had a wonderful time walking around...More
Great tour ,"Reviewed May 29, 2018 ","You can’t visit Barcelona without seeing what must be one of the best stadiums in Europe.  The tour starts in the trophy room which as you can imagine is packed with silverware and other memorabilia including boots worn by the likes of Messi, Iniesta and...More"
FC Barcelona and Messi fun,"Reviewed May 29, 2018 ","We spent a 4 nights vacation in Catalugna / Barcelona and we had a splendid stay.Visiting stadium Camp Nou and also a match were top of our expetations, we enjoyed visiting museum very much, also athmosfere in full stadion during a match were amaizing ..."
Hop on hop off stop,"Reviewed May 29, 2018 ","Not a huge soccer fan!, but decided it was the thing to do,,,, wow was I blown away, it was the most organised place, we went for the basic tour, around €20 I think, and we got to see everything, no rush, no huge lines,...More"
Stadium Tour,"Reviewed May 29, 2018 ",This has got to be one of the best stadiums in the world. I recommend anybody to do the stadium tour of Barcelona.
Great visit,"Reviewed May 29, 2018 ","While not avid soccer fans it was still a good visit.
Skip the tour and walk on your own.
Avoid the VR part whichbis dated."
Lots of Fun,"Reviewed May 28, 2018 ","I'm sure the brochure tells it all - the press box, the players ""bench"", the magnificent trophy room, sitting in the spectator seats, such of great photo ops.  If you're a soccer fan, its well worth the cost, and you get to see it when...More"
What a stadium!,"Reviewed May 28, 2018 ","I recently went to Camp Nou, it is a real experience you get to see the actual stadium, experience the press box, the visual experience (3D), the museum. Is a bit of a hike but well worth it if you are a Barca fan."
Cool football stadium,"Reviewed May 28, 2018 ","I went to see the last match of the Season with Barca - the only thing needed is the roof over the stands, if it had been raining i would have got wet."
Fulfilling dreams,"Reviewed May 28, 2018 ","My husband, who is a huge fan, was thrilled to visit Camp Nou and experience the museum, stadium tour, and the megastore. It was definitely the highlight of our trip midweek; but attending a game on Sunday was the icing on the cake! If you...More"
Unique experience ,"Reviewed May 28, 2018 ",Going to Barcelona and not going to Camp Nou is a crime. Doors open @9:30 am. Try to be there as earliest as possible to beat the crowd. We were there at 10:30 and it was getting busy fast. They have LOTS of groups and...More
Best football museum ever,"Reviewed May 28, 2018 ","It is a very nice museum, though they only want to make money out of it and they almost force you to buy photos which are very expensive (photo provided below)

The exhibition is unbelievable, you can learn the full history of the club and...More"
A Pilgrimage to my favorite team ,"Reviewed May 28, 2018 ","Nice museum “, well kept facility and plenty of souvenirs. Impressive home of Champions. The tour is worth it with discounts for the aged."
Awesome,"Reviewed May 28, 2018 ","Took the grandchildren to watch barca vs legones amazing ground, amazing game, messi hat trick well worth a visit for the footballing fraternity."
a Great Experience even for non-fans of Football,"Reviewed May 28, 2018 ","It was a perfect tour including history, culture and sports.
New camp is really more than a simple club, because it's part of Catalan people's life.
You'll find interesting things to see so I suggest not to miss it."
Awesome,"Reviewed May 27, 2018 ","This is a must see..... Get a headset for 5 euros as you walk in, as it give you lots of info whilst walking around. 
Only get to see the guest dressing room which is disappointing and they need to add a hospitality box to...More"
If you are a football fan - go. If you are not a fan - go anyway!,"Reviewed May 27, 2018 ","A fun experience of energy at the least. A lifetime memory at it’s best if you attend a great game. Even if your not a fan, the energy and excitement of the event is a great experience.Dress warm in the cold season. If you can’t...More"
WOW🙌🏻,"Reviewed May 27, 2018 ",If you are a fan of FC Barcelona.. there you go😬 amazing museum with all those cups and gifts🤦🏻‍♀️🤗
Forca Barca! Thrilling experience Barca v Real Sociedad,"Reviewed May 27, 2018 ",Attending a FC Barcelona game was at the top of our priority list on our trip to Barcelona. We were very lucky that Barcelona were Champions of La Liga and it was Andres Iniesta's last game for the club so there was a carnival like...More
Worth a visit but expensive extras,"Reviewed May 26, 2018 ",If you are into football this is worth visiting. A fantastic stadium tour but lots of stairs to climb. The souvenir photos are expensive and a little “cheesy” but overall a good visit. Allow a couple of hours to fully experience this venue
Nice experience ,"Reviewed May 26, 2018 ",Not at all a football fan. So nothing great about this place for me. Just a casual walking tour but should visit.
Goalllllll!,"Reviewed May 26, 2018 ",My oldest is a big Futbol fan. I was pleasantly surprised how good an experience touring the FC Barcelona facility was. They allow you to experience everything from the locker room to the press box. Well worth the time.
Who wants to look at an empty soccer stadium?,"Reviewed May 26, 2018 ","This is a stop on the City Bus tour, but what is there to see that can't be seen from the bus? I have a photo to show I was there, but I had no reason to go inside an empty stadium."
Busy Museum - Giant But Old Stadium,"Reviewed May 26, 2018 ","Before coming to Barcelona visiting the stadium was on my Dad's wish list. Booking tickets before hand was easy, just go on FCB Website and pick a day and time (there is no need to use an agency for this). We got there on a...More"
Great Feel,"Reviewed May 26, 2018 ",Felt really great considering that do not have much enthu or knowledge of the game. You get a  really nice feel and enjoyed my visit. The ground and facilities just look great.  Lovely experience seeing all the great players awards and amazing stuff.
A must see even if not a soccer afficionado!,"Reviewed May 26, 2018 ","It is easy to get to on the metro, just take 3 from Catalonye plaza toward the university,and get off at the university.
A tip; walk into a university bldg. on your way to the stadium tor clean bathroom and .50 cent water from the...More"
Incredible place! ,"Reviewed May 25, 2018 ",As a football fan I really wanted to visit Camp Nou anyway but I would recommend this to anyone. The tour is well worth the money and there’s so much to see. The tour took a good 2 hours. It’s very well organised even though...More
A bit disappointing...,"Reviewed May 25, 2018 ","I guess I was expecting more....there are not enough places to sit. Even though we'd pre-booked, the line was long. It's not accessible to those who can't walk up and down a zillion stairs."
A trip for my boyfriend ,"Reviewed May 25, 2018 ",As someone who couldn’t be less interested in football this was a good day out. We had been on the open top bus that dropped us right outside. Tickets are pricey but as are all football stadiums. Wear comfy shoes as there are lots of...More
MUST DO,"Reviewed May 25, 2018 ","Absolute must do for any football fan, need i say anymore.

Although as impressive as the Nou Camp is, I personally didnt think much to do the Stadium tour. 
If you get chance to watch a game, definately do that over a tour."
Group Visit to La Liga Game,"Reviewed May 24, 2018 ","Group of 12 of us attended the final home game of the La Liga season, Iniestas' final game for the club..what a day!

The stadium is phenomenal! Atmosphere is brilliant!

Don't be put off by being sat up at the back. Our seats were the...More"
What a great place to watch football,"Reviewed May 24, 2018 ","Wether you are a supporter of Barcelona or not you cannot fail to be impressed by this 1000,000 seater stadium. This is a well oiled machine to take your money. If you suffer from vertigo this is not a visit for you. 
I have never...More"
STUNNING!!,"Reviewed May 24, 2018 ","I completed my dream, visiting the Nou Camp is literally checked on bucket list! I've always been a HUGE fan, I love the club, what it represents and the players that make it special.

Loved the Tour area, loved the field, loved the view, i...More"
"Big stadium, but empty when I visited","Reviewed May 24, 2018 ","It's a nice stadium. But it's still just a stadium. So if you wanna watch a football match, you can do it here."
AMAZING!,"Reviewed May 23, 2018 ",My 14 year old son has been a Barca fan for years so for his birthday I bought him tickets to the last game of the season and it was worth every penny and more. The atmosphere was AMAZING and blew us both away (must...More
Amazing ,"Reviewed May 23, 2018 ",I travelled from Ireland to watch the last game of the season and iniestas last game and it was amazing :))) the atmosphere was one of the best I’ve ever been to and the send of for Andres was unbelievable and absolute credit to the...More
First football match ,"Reviewed May 22, 2018 ","Whilst on my placement year in Barcelona, going to Camp Nou for my first football match was on my list of things to do. 
I was not disappointed. The atmosphere was incredible. The stadium is very impressive. The game was great. Food is expensive but...More"
Camp Nou Barcelona,"Reviewed May 22, 2018 ","A great tour of a magnificent stadium and museum and not only for football fans. We booked online and visited early morning, reasonable crowds but plenty of time to wander round the museum. Huge megastore for all things Barcelona."
Fantastic Stadium Tour,"Reviewed May 22, 2018 ","Visited here during our stay in Barcelona as my husband is a massive football fan.
We went about 10.30am and it was already starting to get busy which did mean some parts of the tour were quite crowded but overall it was still a fantastic...More"
Full Wi-Fi signal,"Reviewed May 21, 2018 ","I was in the ""el classico"" in 6.5.18 (2-2)
And i had better Wi-Fi then at home.
Great game great stadium"
Camp experience,"Reviewed May 21, 2018 ","Was staying resort side, decided to go into Barcelona via the train from Malgrat de mar, 6min walk from Maripins hotel,

As i am also a Real fan of FC Barcelona, the experience was great, it wasn't booked through your guide, we just decided to...More"
Championship League Game,"Reviewed May 21, 2018 ",Viewed a great UEFA championship league game here. Barca v. Roma. Easy access into and finding our seat was fairly easy although markings inside the stadium are lacking a bit and very strangely built staircases making exiting a bit difficult at the end of the...More
Laliga finals. ,"Reviewed May 21, 2018 ",We went at the stadium to watch the match as It was Iniesta’s last match. Truly Camp Nou was exceptionally beautiful.. ♥️ All the people chanting the songs and roaring for messi was so energetic!! Home sweet home always ♥️visca Barca
"Interesting, but CROWDED!!","Reviewed May 21, 2018 ","A terrific opportunity to see the stadium from the inside-out.  The trophy cases and historical artifacts are almost overwhelming in their scope and breadth.  

That said, we went during the ""off season"" for tourism in Barcelona - at the end of October - and the...More"
Barca!,"Reviewed May 20, 2018 ",Super excited to have been here!   Wonderful experience to see football here.    Definitely a cultural experience
"Great energy, amazing game ","Reviewed May 20, 2018 ","I was invited to watch the game Barca with Real Madrid, at camp nou. 
Incredible game and overall experience. 
90 k people cheering, singing, and a  stadium full of colors. 

Huge merchandise store. 

Loved it."
AMAZING!,"Reviewed May 20, 2018 ","Being a football fan, when i booked this i could not wait, to visit one of footballs most iconic grounds. The tour takes you through the museum where there is literally everything, messis golden boots. suarez final kits. EVERYTHING. we took out 1 year old...More"
Love it even though I do am not a soccer fan,"Reviewed May 20, 2018 ",This is a beautiful soccer field.  If you a soccer fan; please to and see it.  I felt in love and went to the store and bought a coffee cup and a jersey for my son.
A great experience!,"Reviewed May 20, 2018 ","It is a must-do if you're in Madrid. The tour takes you on the very rich history of the football team, and the history of football in Europe generally.  Indeed a worthwhile experience."
Pretty cool,"Reviewed May 20, 2018 ","Cool stadium to visit if you're a soccer or sports fan, and a nice option of something to do that is different from a lot of the other museums you typically visit in Barcelona. Google maps made it easy to figure out taking the bus...More"
My boys loved it,"Reviewed May 20, 2018 ","Was very impressed by the stadium & tour

When you arrive they take your picture and super impose players so they are in the picture with you, these cost €21 each. You are able to see all the trophy’s that BFC has won and some...More"
Best place for football lovers ,"Reviewed May 20, 2018 ",Even if you are a fan of another club you have to visit Camp Nou it's the best place to visit as a football fan. Just try it you won't lose anything you will have more experience
Definitely worth a visit for all football fans,"Reviewed May 20, 2018 ","We arrived at the stadium more than an hour early for the tour, but was allowed to enter early which was great. After collecting our audio tour speaker we headed off to the museum. The museum is full of the many trophies won by the...More"
A must whilst visiting!,"Reviewed May 20, 2018 ","You can’t really visit Barcelona and not go to Camp Nou, even if you’re not much of a football fan! Fun tour, would recommend."
Said to be the largest soccer stadium in europe,"Reviewed May 19, 2018 ","Best experience of my life, I've always loved FC Barcelona. When you come in at the entrance you would see all those big pictures, drawing of the players. Such a big excitement. They have got the barcelona boutique where they sell fc barcelona kit. You...More"
Camp Nou Experience ,"Reviewed May 19, 2018 ","Spent 5 unforgettable hours in here on May 19th. 
My guided museum and stadium tour was great thanks to Tatyana, while team’s store presented great selection of Barça’s collections, some items of which my family and I will enjoy for long time."
Sportive experience ,"Reviewed May 19, 2018 ","For all who lov sports and who dont, you will really enjoy this place
Walking through the stadium and taking photos in the place while also visiting the museum to have a look at the team players clothes, shoes, balls..

Its a Must visit place"
A Heaven for football enthusiasts!!,"Reviewed May 18, 2018 ","Not being a football lover myself , I visited it just like any other sightseeing place.. but we saw groups of young kids coming and screaming in excitement as soon as they entered the place.. they kept clicking pictures of every small thing and were...More"
chelsea fan,"Reviewed May 18, 2018 ","its amazing and good value, if you love football its a must see. Drop off the bus tours to get there they stop at this location"
Unforgettable experience!!,"Reviewed May 18, 2018 ","Till I visited this place with my family.. I wasn’t a Bacra fan. But now I am!! A deadly one!! A crazzy one!! 

My kids asked me to book tickets in advance of a match between Barca and Villarreal on 9th May 2018. And I...More"
A must see,"Reviewed May 18, 2018 ",Great if your a footie fan or not.you get to go round most of the ground and you can take as many photos as you wish.your not aloud on the pitch but you do get access to the dugouts which is close to the pitch.easy...More
Cool experience!,"Reviewed May 18, 2018 ","Even if you’re not a huge soccer fan, I still recommend to experience Camp Nou. The history and the spirit of all the fans make it great!"
Fantastic Tour,"Reviewed May 17, 2018 ","We were in Barcelona for the El Classico and wanted a more in-depth look at the stadium and the museum.

This was excellent, great access to the stadium my grandson loved it, museum is amazing loads of trophies on display and Messi corner is fantastic...More"
Great place to go,"Reviewed May 17, 2018 ",Very well organized. Clean and a great place to spend some time. A little bit expencive if you travel with a family.
Got to be done!,"Reviewed May 16, 2018 ","A Mecca for any football fan......go and enjoy the tour. The interactive video wall is something special...revisit some of Barca's greatest players, many of whom you forgot about!!"
What can I say about the largest stadium in Europe and home of one of the biggest teams of all times?,"Reviewed May 15, 2018 ","The activities are enormous,starting from the entry of the stadium to the end of the visit tour.You can explore F.C Barcelona history,individual players trophies,visit everything on and in the stadium.Price is just justifiable cause this is not a simple stadium tour but you can be...More"
Camp nou,"Reviewed May 15, 2018 ","Took my husband on a trip to Camp Nou, we did the tour which was amazing and well worth the money, took in a game the next day, amazing and a must see, even for non football fans"
El classico amazing,"Reviewed May 15, 2018 ","It’s just hard to even describe the experience there. We was watching el Classico in the highest row in center. It was amazing. Even tho you would not care about football, the atmosphere is just touching. 
Everything went so easily. Full stadium but no lining...More"
A MUST SEE for any football fan,"Reviewed May 15, 2018 ","The trophy cabinet is something else and the steps down the tunnel onto the pitch is brilliant. Really loved it. Special tip though, DON'T pay a fortune for the photos, tell the cashier its too expensive and they'll offer you an online photo album download...More"
