Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
1,8,0,,,white,1,1,0
1,54,0,0,,white,1,0,0
0,5,0,,,white,1,0,0
0,46,0,0,,other,0,1,1
1,58,1,175,50,white,1,1,0
0,58,0,18,29,white,1,0,0
0,51,0,0,40,white,1,1,0
1,80,1,0,,white,1,1,0
1,66,0,25,50,other,1,1,1
0,50,1,40,40,black,1,1,1
0,63,1,0,,white,1,1,0
1,30,0,48.8,60,white,1,0,0
0,50,1,10,40,white,1,0,0
0,16,0,0,,black,1,0,0
1,59,0,24,40,other,1,1,0
0,48,1,68,40,black,0,1,1
0,54,0,1.1,4,white,1,1,0
0,29,1,48,40,white,1,1,0
0,28,1,0,12,white,1,1,0
0,11,0,,,white,1,1,0
0,14,0,,,white,1,1,0
1,16,0,0.5,12,white,1,1,0
0,6,0,,,black,1,1,0
1,43,0,382,50,white,1,1,0
1,38,0,60,45,other,1,1,1
0,4,0,,,white,1,1,0
0,0,0,,,asian,1,1,0
0,58,1,17,30,white,1,1,0
0,33,0,0,,other,0,0,1
1,17,0,10.8,30,white,1,1,0
1,33,1,53,45,white,1,1,0
1,39,0,0,,black,1,0,0
0,41,0,29,40,white,1,1,0
0,34,1,68,41,white,1,1,0
1,41,0,16,40,other,1,1,0
1,36,1,102,15,white,1,1,0
0,51,0,0,,black,1,1,0
0,61,0,80,40,black,1,1,0
1,94,0,0,,white,1,1,0
0,38,0,7.5,39,white,1,1,0
0,54,1,3,13,white,1,1,0
0,24,0,36,41,white,1,1,0
1,20,0,10,30,other,1,0,1
1,15,0,0,,black,1,1,0
0,49,1,40,40,white,1,1,0
1,18,0,0,,white,1,1,0
0,54,0,85,40,white,1,1,0
0,42,1,10,25,white,1,1,0
0,31,1,75,60,white,0,1,0
0,6,0,,,other,1,1,1
1,82,1,0,,white,1,1,0
0,88,0,0,,white,1,1,0
0,61,0,0,,white,1,0,0
0,24,0,9.5,20,white,1,1,0
0,15,0,0,,other,1,1,1
0,76,1,0,,white,1,1,0
0,64,0,0,,white,1,1,0
1,2,0,,,white,1,1,0
0,0,0,,,white,1,1,0
1,1,0,,,white,1,1,0
1,12,0,,,white,1,1,0
0,40,0,45,40,white,0,0,1
0,26,1,28,80,white,1,1,0
1,83,1,0,,white,1,1,0
0,54,1,12,24,white,1,1,0
0,22,0,12,40,white,1,1,0
1,53,1,86,40,black,1,1,0
1,54,1,0,,white,1,1,0
0,48,1,27.5,40,white,1,1,0
1,43,1,100,45,white,1,1,0
0,66,1,0,,white,1,1,0
1,58,1,70,40,white,1,1,0
1,75,1,0,,white,1,1,0
1,14,0,,,white,1,1,0
1,66,1,24.5,15,white,1,1,0
0,74,1,0,,white,1,1,0
0,74,0,13,35,black,1,1,0
1,38,1,0,60,white,1,1,0
1,69,1,0,,white,1,1,0
0,85,0,0,,black,1,1,0
0,61,1,108,40,white,1,1,0
0,33,1,0,,white,1,1,0
0,38,1,17.7,30,other,0,0,1
1,68,0,0,,white,1,1,1
1,21,1,2.5,30,white,1,0,0
1,26,0,0,60,white,1,0,0
0,17,0,0,,white,1,1,0
1,69,0,0,,white,1,1,0
0,36,1,97,40,white,1,1,0
0,28,0,80,45,white,1,1,0
0,44,1,0,,white,1,0,0
0,24,0,24,40,other,1,1,1
1,56,0,1.2,40,black,1,0,0
1,65,1,0,,asian,1,1,1
0,32,0,14.4,23,black,1,0,0
1,22,1,8.4,40,white,1,1,0
0,57,0,84,40,white,1,1,0
1,45,1,24,40,white,1,1,0
0,84,0,0,,white,1,1,0
1,43,1,18.7,40,white,0,1,1
0,42,1,4,10,white,1,1,0
0,82,0,0,,white,1,1,0
0,41,0,4.7,40,other,1,1,0
1,45,1,24,40,white,1,1,0
0,50,1,20.9,40,white,0,1,1
0,42,0,65,40,white,1,1,0
0,77,1,0,,white,1,1,0
0,93,1,0,,black,1,1,0
0,66,1,17.4,22,white,1,1,0
0,19,0,3.6,15,asian,1,1,0
1,15,0,0,,other,1,1,1
0,50,1,19.5,32,white,1,1,0
1,3,0,,,black,1,1,0
0,37,1,51,40,asian,1,1,1
1,40,1,50,40,white,1,1,0
0,53,1,12,40,white,1,1,0
0,67,1,0,,white,1,1,0
0,33,0,38,40,white,1,1,0
1,61,1,46,45,white,1,1,0
0,41,1,0,,white,1,0,0
0,50,0,54,40,white,1,1,0
1,44,1,12,60,asian,0,0,1
1,71,1,0,,white,1,1,0
1,29,1,66,53,white,1,1,0
0,57,1,0,,white,0,1,1
0,29,1,0,,white,1,1,0
0,89,1,0,,white,1,1,0
0,10,0,,,black,1,1,0
1,17,0,2,32,white,1,1,0
0,56,1,10.6,25,white,1,1,0
1,14,0,,,white,1,1,0
0,22,0,20,40,white,1,1,0
0,45,0,77,60,white,1,1,0
0,54,1,40,36,asian,1,0,1
1,9,0,,,white,1,1,0
1,43,1,35,50,white,1,1,0
1,27,0,160,50,white,1,1,0
1,9,0,,,white,1,0,0
1,2,0,,,white,1,1,0
0,43,0,36,40,white,1,1,0
0,4,0,,,white,1,1,0
1,61,0,0,,white,1,1,0
0,66,1,0,,white,1,1,0
1,24,0,20,20,white,1,1,0
1,37,0,103,40,white,1,1,1
0,59,1,0,,other,1,1,0
0,79,0,0,,white,1,1,0
1,5,0,,,white,1,1,0
1,69,1,0,,black,1,1,0
0,38,0,0,,black,1,1,0
1,76,1,0,,white,1,1,0
0,51,0,23,25,white,1,1,0
0,8,0,,,black,1,1,0
0,77,0,0,,white,1,1,0
0,50,0,0,,asian,1,1,1
0,64,1,0,,white,0,0,1
0,87,0,0,,white,1,1,0
0,70,1,0,,white,1,1,0
0,45,0,25,40,white,1,1,0
0,46,1,98,40,white,1,1,0
1,22,0,0,,other,0,0,1
0,78,1,0,,white,1,1,0
1,8,0,,,black,1,1,0
1,60,1,0,84,white,1,1,0
0,11,0,,,black,1,1,0
1,60,0,0,20,white,1,1,0
1,8,0,,,black,1,0,0
1,21,0,25,40,white,1,1,0
1,16,0,0,,white,1,1,0
0,69,0,0,,black,1,1,0
1,39,1,0,,other,0,0,1
1,18,0,3.8,40,white,1,1,0
1,58,1,0,,black,1,1,0
0,64,1,0,,white,1,1,1
0,12,0,,,other,1,1,1
0,40,1,0,,white,1,1,1
1,15,0,0,,white,1,1,0
1,35,0,70,50,white,1,0,0
0,55,1,0,,white,1,1,0
0,53,1,0,,white,1,0,0
0,33,1,0,,white,1,1,0
1,64,1,0,,white,1,1,0
0,38,1,18,24,white,1,1,0
1,8,0,,,black,1,0,0
0,2,0,,,white,1,1,0
1,68,1,15.6,40,white,0,1,1
1,61,1,0,,white,1,1,0
1,30,0,25,40,other,0,0,1
0,20,0,1,15,white,1,0,1
1,63,0,0,,white,1,1,0
1,53,0,49.4,60,white,1,1,0
1,13,0,,,asian,1,1,0
0,51,1,22,40,white,1,1,0
1,12,0,,,white,1,1,0
0,46,0,33,40,white,1,1,0
1,50,0,21.9,40,white,1,1,0
0,45,0,42,32,white,1,1,0
1,35,0,70,72,white,1,1,0
0,50,1,6,40,white,1,0,0
0,35,0,0,,white,1,1,0
1,5,0,,,white,1,1,0
1,30,0,74,37,white,1,0,0
0,3,0,,,black,1,1,0
1,35,0,111,40,asian,1,1,0
1,49,1,120,56,white,1,1,0
0,50,1,32,40,white,1,1,0
0,30,0,20,13,white,1,0,1
0,30,1,23.7,30,white,0,0,1
0,30,0,30,30,black,1,1,0
1,39,1,15,38,white,1,0,0
0,5,0,,,white,1,1,0
0,20,0,3.2,24,white,1,0,0
