age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
32,admin.,single,secondary,no,562,yes,no,unknown,28,may,116,6,-1,0,unknown,no
41,services,married,unknown,no,230,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
57,management,married,tertiary,no,1172,yes,no,cellular,20,nov,72,1,-1,0,unknown,no
36,technician,married,secondary,no,-158,yes,no,cellular,28,aug,1037,7,-1,0,unknown,no
30,self-employed,single,secondary,no,299,yes,no,unknown,16,may,679,17,-1,0,unknown,no
26,admin.,single,secondary,no,94,no,no,cellular,29,jan,171,1,-1,0,unknown,no
59,management,married,secondary,no,1321,no,no,unknown,9,jun,3881,3,-1,0,unknown,yes
30,technician,divorced,tertiary,no,-317,yes,no,unknown,7,may,381,2,-1,0,unknown,no
30,admin.,married,secondary,no,373,yes,no,cellular,30,jan,353,2,228,4,other,no
32,management,single,tertiary,no,3289,no,no,cellular,8,oct,375,2,179,2,failure,no
30,management,married,tertiary,no,5204,yes,no,cellular,19,nov,117,1,-1,0,unknown,no
33,management,single,tertiary,no,336,no,no,cellular,14,aug,220,2,-1,0,unknown,no
40,management,single,primary,no,1527,no,yes,cellular,20,nov,317,2,-1,0,unknown,no
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes
56,management,single,tertiary,no,4542,no,no,unknown,12,may,148,2,-1,0,unknown,no
39,technician,married,secondary,no,7137,yes,no,unknown,27,may,151,7,-1,0,unknown,no
49,entrepreneur,divorced,primary,yes,-736,no,no,cellular,31,jul,305,6,-1,0,unknown,no
53,self-employed,married,tertiary,no,730,yes,no,unknown,2,nov,18,1,368,2,failure,no
39,technician,married,secondary,no,425,yes,no,cellular,6,aug,562,3,-1,0,unknown,no
52,entrepreneur,married,primary,no,657,no,no,telephone,7,dec,91,2,217,1,other,no
41,blue-collar,divorced,primary,no,285,yes,no,cellular,20,apr,1272,2,-1,0,unknown,yes
37,admin.,single,secondary,no,569,yes,yes,unknown,6,may,126,2,-1,0,unknown,no
30,management,single,tertiary,no,635,yes,no,unknown,4,jun,29,2,-1,0,unknown,no
36,management,married,tertiary,no,11675,yes,no,cellular,20,nov,48,1,-1,0,unknown,no
33,blue-collar,single,primary,no,0,no,no,telephone,9,jul,83,1,-1,0,unknown,no
70,retired,divorced,primary,no,482,no,no,telephone,14,jul,413,1,181,3,success,yes
60,unemployed,married,primary,no,0,no,no,cellular,22,jul,1193,1,412,1,other,yes
28,technician,single,tertiary,no,387,yes,no,cellular,28,jan,455,1,-1,0,unknown,no
43,self-employed,married,tertiary,no,3003,no,no,cellular,8,aug,358,3,-1,0,unknown,no
52,services,married,secondary,no,497,yes,no,telephone,15,jul,265,5,-1,0,unknown,no
48,management,divorced,tertiary,no,1144,yes,no,cellular,17,nov,78,1,-1,0,unknown,no
51,admin.,married,primary,no,943,yes,no,unknown,29,may,620,1,-1,0,unknown,no
35,technician,single,tertiary,no,7546,yes,no,cellular,28,dec,137,1,122,3,failure,no
41,technician,married,secondary,no,11,yes,no,telephone,1,sep,150,1,-1,0,unknown,no
27,technician,married,secondary,no,2460,yes,no,cellular,15,may,600,2,-1,0,unknown,no
42,entrepreneur,married,primary,no,198,yes,no,unknown,8,may,314,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,-211,yes,no,cellular,29,jan,135,2,184,5,failure,no
36,technician,single,tertiary,no,251,yes,no,cellular,8,may,91,4,-1,0,unknown,no
50,blue-collar,married,primary,no,82,no,no,telephone,5,apr,456,1,-1,0,unknown,yes
53,admin.,divorced,secondary,no,-112,no,no,unknown,19,jun,394,1,-1,0,unknown,no
51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown,yes
40,management,divorced,tertiary,no,858,no,no,cellular,26,oct,202,2,-1,0,unknown,yes
40,blue-collar,married,secondary,no,-438,no,no,cellular,11,may,1017,1,-1,0,unknown,yes
36,management,married,tertiary,no,2161,no,no,cellular,8,sep,708,2,183,5,success,yes
30,management,single,tertiary,no,275,yes,no,cellular,20,apr,52,2,-1,0,unknown,no
28,admin.,married,secondary,no,22171,yes,no,unknown,28,may,85,3,-1,0,unknown,no
35,management,single,tertiary,no,0,no,yes,cellular,11,jul,71,3,-1,0,unknown,no
27,services,married,unknown,no,-209,yes,yes,cellular,29,jan,128,1,-1,0,unknown,no
52,management,married,tertiary,no,11650,yes,no,cellular,17,nov,48,1,-1,0,unknown,no
35,management,single,tertiary,no,2306,no,no,cellular,18,aug,86,7,-1,0,unknown,no
41,admin.,divorced,secondary,no,1967,yes,no,cellular,18,may,115,1,341,1,failure,no
58,blue-collar,married,secondary,no,1894,no,no,cellular,11,aug,153,6,-1,0,unknown,no
32,management,single,secondary,no,301,yes,no,cellular,16,apr,383,3,345,1,failure,no
54,admin.,divorced,secondary,no,7089,no,no,telephone,17,nov,40,1,-1,0,unknown,no
49,blue-collar,married,secondary,no,1854,yes,no,unknown,19,may,173,5,-1,0,unknown,no
58,management,married,secondary,no,1112,yes,no,telephone,20,apr,21,3,-1,0,unknown,no
27,student,single,unknown,no,468,no,no,cellular,4,feb,270,2,-1,0,unknown,no
27,admin.,married,tertiary,no,73,no,no,cellular,10,feb,159,1,-1,0,unknown,yes
33,technician,single,secondary,no,1746,yes,no,unknown,26,may,152,2,-1,0,unknown,no
45,self-employed,married,secondary,no,-30,yes,yes,unknown,6,jun,165,2,-1,0,unknown,no
40,technician,married,secondary,no,351,no,yes,cellular,7,jul,139,1,-1,0,unknown,no
52,technician,married,secondary,no,-1,no,yes,cellular,31,jul,166,1,-1,0,unknown,no
45,technician,married,tertiary,no,31630,no,no,cellular,30,apr,209,1,-1,0,unknown,no
57,retired,married,secondary,no,975,no,no,cellular,16,jul,166,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,0,yes,yes,cellular,10,jul,1399,1,-1,0,unknown,yes
35,management,single,tertiary,no,3137,yes,no,unknown,23,may,72,3,-1,0,unknown,no
32,technician,single,tertiary,no,418,no,yes,cellular,14,jul,138,3,-1,0,unknown,no
46,admin.,single,unknown,no,2273,no,no,cellular,14,jul,187,3,-1,0,unknown,no
53,unemployed,divorced,secondary,no,0,no,no,unknown,20,jun,101,2,-1,0,unknown,no
32,blue-collar,single,primary,no,3595,yes,no,cellular,21,nov,171,2,-1,0,unknown,no
37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
45,blue-collar,married,unknown,no,909,yes,no,cellular,30,jan,166,1,262,1,other,no
47,management,married,tertiary,no,682,no,no,cellular,18,aug,638,6,-1,0,unknown,yes
54,management,divorced,tertiary,no,205,no,no,cellular,21,aug,182,6,-1,0,unknown,no
41,technician,married,tertiary,no,-210,yes,yes,unknown,23,may,210,1,-1,0,unknown,no
30,services,single,secondary,no,21,yes,no,unknown,7,may,104,2,-1,0,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
39,technician,single,secondary,no,0,no,no,cellular,20,aug,332,4,-1,0,unknown,no
28,services,single,secondary,no,290,yes,no,cellular,18,may,128,1,-1,0,unknown,no
25,technician,single,secondary,no,0,no,yes,cellular,8,jul,634,1,-1,0,unknown,yes
56,technician,married,secondary,no,4063,no,yes,telephone,28,jul,31,4,-1,0,unknown,no
30,services,married,secondary,yes,-846,yes,no,unknown,13,may,117,1,-1,0,unknown,no
48,blue-collar,married,primary,no,643,yes,no,cellular,11,may,66,4,173,7,other,no
41,technician,married,secondary,no,248,no,no,cellular,20,aug,156,2,-1,0,unknown,no
30,unemployed,single,tertiary,no,463,no,no,cellular,22,aug,374,4,-1,0,unknown,no
41,blue-collar,married,secondary,no,-194,no,yes,cellular,10,jul,307,1,-1,0,unknown,no
29,management,married,tertiary,no,55,yes,no,cellular,10,jul,235,1,-1,0,unknown,no
69,retired,married,secondary,no,745,no,no,telephone,9,sep,595,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,157,yes,no,unknown,6,may,73,1,-1,0,unknown,no
31,unemployed,married,secondary,no,57,yes,yes,unknown,23,may,104,5,-1,0,unknown,no
39,admin.,single,secondary,no,163,yes,no,cellular,30,jan,107,2,-1,0,unknown,no
36,technician,divorced,secondary,no,556,yes,no,cellular,18,nov,154,3,189,1,failure,no
20,student,single,secondary,no,291,no,no,telephone,11,may,172,5,371,5,failure,no
26,services,divorced,secondary,no,1600,yes,yes,unknown,30,may,288,3,-1,0,unknown,no
30,blue-collar,single,secondary,no,6900,no,no,cellular,21,nov,816,1,-1,0,unknown,no
26,management,single,primary,no,71,no,no,unknown,17,jun,390,2,-1,0,unknown,no
28,management,single,tertiary,no,5474,no,no,cellular,28,jul,486,5,-1,0,unknown,yes
28,blue-collar,married,primary,no,115,yes,no,unknown,28,may,78,4,-1,0,unknown,no
48,blue-collar,married,unknown,no,279,yes,no,telephone,14,jul,211,3,-1,0,unknown,no
37,technician,single,unknown,no,7245,no,no,cellular,20,nov,143,6,-1,0,unknown,no
34,blue-collar,married,secondary,no,2137,no,no,unknown,9,may,245,4,-1,0,unknown,no
55,management,married,tertiary,no,685,yes,no,unknown,5,may,174,3,-1,0,unknown,no
44,admin.,divorced,secondary,no,161,yes,no,unknown,7,may,89,2,-1,0,unknown,no
70,retired,married,secondary,no,2064,no,no,cellular,22,oct,334,1,-1,0,unknown,no
41,unemployed,married,secondary,no,2081,yes,no,cellular,3,feb,53,3,-1,0,unknown,no
29,management,single,tertiary,no,536,no,no,cellular,29,jan,418,2,-1,0,unknown,no
35,management,single,tertiary,no,1750,yes,no,cellular,22,oct,422,1,175,4,success,no
32,student,single,tertiary,no,922,no,no,cellular,18,oct,338,2,-1,0,unknown,no
36,unemployed,single,primary,no,1729,no,no,cellular,21,nov,341,1,-1,0,unknown,no
60,retired,married,secondary,no,1339,no,yes,cellular,22,jul,137,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,400,no,no,cellular,4,may,268,3,-1,0,unknown,yes
29,student,single,secondary,no,1925,no,no,cellular,21,oct,150,3,149,5,success,yes
56,entrepreneur,divorced,tertiary,no,3846,no,no,cellular,31,jul,86,7,-1,0,unknown,no
41,management,married,tertiary,no,8553,yes,no,cellular,12,aug,304,12,-1,0,unknown,no
33,admin.,single,secondary,no,32,no,no,cellular,11,jul,43,1,-1,0,unknown,no
51,management,single,tertiary,no,417,yes,no,unknown,9,may,18,1,-1,0,unknown,no
28,blue-collar,married,primary,no,0,no,no,unknown,14,may,17,24,-1,0,unknown,no
55,entrepreneur,divorced,tertiary,no,903,yes,no,telephone,14,may,536,3,-1,0,unknown,no
26,blue-collar,single,secondary,no,2007,no,no,cellular,13,jul,272,3,182,2,success,yes
36,management,married,tertiary,no,8564,yes,no,unknown,23,may,125,1,-1,0,unknown,no
38,technician,married,tertiary,no,2453,yes,yes,cellular,18,nov,108,1,-1,0,unknown,no
31,technician,single,tertiary,no,26,no,no,cellular,21,aug,419,4,-1,0,unknown,no
46,services,married,secondary,no,198,no,yes,unknown,5,jun,49,1,-1,0,unknown,no
26,self-employed,single,tertiary,no,1078,no,no,cellular,30,apr,99,2,-1,0,unknown,no
28,services,single,secondary,no,94,yes,no,cellular,16,apr,300,1,-1,0,unknown,no
50,services,married,secondary,no,206,yes,no,unknown,6,may,154,1,-1,0,unknown,no
60,technician,divorced,secondary,no,615,yes,no,cellular,29,jan,130,1,-1,0,unknown,no
40,management,married,tertiary,no,-117,yes,no,cellular,17,jul,770,2,-1,0,unknown,no
32,unemployed,married,primary,no,309,yes,no,telephone,13,may,185,1,370,3,failure,no
54,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,156,1,-1,0,unknown,no
28,services,single,secondary,no,2954,yes,no,unknown,28,may,149,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,123,yes,no,cellular,2,feb,247,1,241,3,failure,no
40,self-employed,single,tertiary,no,41,no,no,telephone,29,aug,104,2,-1,0,unknown,no
59,unemployed,married,primary,no,0,no,no,cellular,30,jan,3025,2,-1,0,unknown,no
24,blue-collar,single,primary,no,758,yes,no,unknown,15,may,129,1,-1,0,unknown,no
35,management,married,tertiary,no,178,no,no,cellular,14,aug,76,2,-1,0,unknown,no
43,management,married,tertiary,no,1993,no,no,cellular,19,nov,37,1,174,1,failure,no
43,admin.,married,tertiary,no,1924,yes,no,unknown,7,may,244,7,-1,0,unknown,no
50,entrepreneur,divorced,tertiary,no,223,no,no,cellular,7,jul,264,5,-1,0,unknown,no
38,admin.,married,secondary,no,-295,no,no,cellular,14,jul,356,3,-1,0,unknown,no
30,blue-collar,divorced,primary,no,53,yes,no,cellular,18,may,116,1,-1,0,unknown,no
44,technician,married,secondary,no,533,yes,no,cellular,18,nov,127,1,110,2,failure,no
56,admin.,married,unknown,no,681,no,no,cellular,13,aug,900,2,-1,0,unknown,no
35,admin.,single,secondary,no,6554,no,no,cellular,29,jul,226,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,1143,yes,no,cellular,20,aug,93,3,-1,0,unknown,no
29,blue-collar,married,secondary,no,-49,yes,yes,cellular,21,jul,210,1,-1,0,unknown,no
50,management,married,secondary,no,2910,no,no,telephone,29,jul,790,1,-1,0,unknown,no
46,management,married,tertiary,no,583,yes,no,unknown,30,may,135,3,-1,0,unknown,no
29,admin.,single,secondary,no,460,yes,no,cellular,18,may,191,2,357,6,success,no
39,blue-collar,divorced,secondary,no,36,yes,no,unknown,12,may,109,2,-1,0,unknown,no
31,admin.,single,secondary,no,43,no,no,unknown,1,jul,484,1,-1,0,unknown,no
43,housemaid,divorced,tertiary,no,42,yes,no,cellular,19,aug,696,2,-1,0,unknown,no
45,blue-collar,married,primary,no,751,no,no,cellular,28,aug,151,4,-1,0,unknown,no
57,services,divorced,secondary,no,4664,no,no,cellular,30,jul,103,1,-1,0,unknown,no
32,management,married,tertiary,no,4761,yes,no,cellular,5,may,159,2,350,2,failure,no
38,services,married,secondary,no,311,no,yes,cellular,25,jul,114,12,-1,0,unknown,no
48,blue-collar,married,unknown,no,2201,yes,no,unknown,29,may,364,2,-1,0,unknown,no
45,management,married,tertiary,no,1034,no,yes,cellular,24,jul,1820,4,-1,0,unknown,no
41,blue-collar,married,secondary,no,13,yes,no,cellular,6,may,106,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,2202,yes,no,cellular,20,apr,372,2,-1,0,unknown,no
39,admin.,single,secondary,no,2749,yes,no,cellular,8,may,104,1,170,1,failure,no
45,blue-collar,married,secondary,no,240,no,no,cellular,18,aug,181,7,-1,0,unknown,no
40,blue-collar,married,secondary,no,755,no,no,cellular,17,nov,408,1,117,1,failure,no
36,admin.,married,secondary,no,2278,yes,no,cellular,15,may,200,3,298,1,failure,no
42,management,single,tertiary,no,145,no,no,cellular,26,aug,174,2,-1,0,unknown,no
51,entrepreneur,married,tertiary,no,83,no,no,cellular,20,apr,267,2,-1,0,unknown,yes
51,admin.,married,secondary,no,241,no,no,cellular,7,dec,308,2,-1,0,unknown,yes
21,student,single,secondary,no,794,no,no,cellular,5,jun,191,1,-1,0,unknown,yes
34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,227,4,failure,yes
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,yes
36,technician,married,secondary,no,-342,yes,no,cellular,28,jul,170,3,-1,0,unknown,no
25,student,single,unknown,no,839,no,no,cellular,15,mar,109,1,181,2,other,no
59,housemaid,married,tertiary,no,0,no,yes,cellular,29,jul,376,2,-1,0,unknown,no
58,retired,married,primary,no,0,no,no,cellular,11,aug,566,2,-1,0,unknown,no
35,technician,married,secondary,no,712,yes,no,unknown,27,may,266,4,-1,0,unknown,no
35,blue-collar,married,secondary,no,153,yes,no,cellular,18,nov,645,2,-1,0,unknown,no
34,blue-collar,married,primary,no,-398,yes,no,cellular,27,feb,47,8,-1,0,unknown,no
49,management,married,primary,no,267,yes,no,unknown,16,may,198,5,-1,0,unknown,no
51,housemaid,married,primary,no,1337,no,no,telephone,30,jul,74,6,-1,0,unknown,no
38,admin.,married,primary,no,464,no,yes,unknown,11,jun,86,2,-1,0,unknown,no
55,admin.,divorced,secondary,no,166,no,no,unknown,20,jun,84,4,-1,0,unknown,no
55,unemployed,married,primary,no,1212,no,no,cellular,31,aug,241,1,92,1,failure,no
37,management,married,tertiary,no,1265,no,yes,unknown,4,jul,101,1,-1,0,unknown,no
49,blue-collar,divorced,primary,no,24,yes,no,cellular,11,may,701,1,362,1,success,yes
37,management,married,tertiary,no,5065,no,no,cellular,27,aug,23,19,-1,0,unknown,no
29,blue-collar,single,secondary,no,0,yes,no,cellular,5,feb,16,9,253,1,failure,no
31,entrepreneur,married,tertiary,no,1216,no,no,cellular,8,aug,150,4,-1,0,unknown,no
27,management,single,tertiary,no,385,no,yes,cellular,31,jul,52,7,-1,0,unknown,no
50,blue-collar,married,unknown,no,2284,yes,no,telephone,31,jul,1088,17,-1,0,unknown,yes
35,admin.,married,secondary,no,34,yes,no,cellular,13,may,249,2,365,3,failure,no
35,technician,married,secondary,no,19,yes,no,unknown,9,may,130,2,-1,0,unknown,no
52,management,married,tertiary,no,809,no,no,cellular,4,aug,121,1,-1,0,unknown,no
43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
27,student,single,secondary,no,81,yes,no,unknown,8,may,238,1,-1,0,unknown,no
31,management,married,tertiary,no,491,yes,no,cellular,20,apr,15,1,326,1,other,no
32,blue-collar,single,secondary,no,476,yes,yes,unknown,19,may,503,2,-1,0,unknown,no
49,technician,married,tertiary,no,523,yes,no,cellular,2,jun,712,1,60,3,failure,yes
26,blue-collar,married,primary,no,40,no,yes,cellular,28,jul,49,3,-1,0,unknown,no
38,housemaid,single,primary,no,199,yes,no,cellular,12,may,1203,1,306,1,failure,yes
39,admin.,married,secondary,no,598,yes,no,unknown,15,may,444,1,-1,0,unknown,no
60,housemaid,divorced,secondary,no,2063,no,no,cellular,21,aug,54,5,86,3,failure,no
32,management,single,tertiary,no,1836,no,no,cellular,27,aug,96,9,-1,0,unknown,no
34,services,single,secondary,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
34,management,married,tertiary,no,1657,yes,no,cellular,18,may,566,2,356,4,failure,no
36,technician,married,tertiary,no,202,no,no,cellular,1,oct,237,1,122,2,failure,no
52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,161,no,yes,telephone,8,sep,298,3,-1,0,unknown,yes
33,admin.,divorced,secondary,yes,-18,yes,no,cellular,6,may,244,1,359,3,failure,no
50,blue-collar,married,primary,no,1179,no,no,unknown,19,jun,30,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,129,yes,no,cellular,29,jul,119,7,-1,0,unknown,no
47,admin.,married,secondary,no,0,no,no,cellular,9,apr,159,1,-1,0,unknown,no
50,services,single,secondary,no,294,no,no,cellular,23,jul,73,1,-1,0,unknown,no
63,retired,married,primary,no,0,no,no,cellular,20,aug,110,2,-1,0,unknown,no
26,admin.,married,secondary,no,0,yes,no,cellular,18,jul,788,6,-1,0,unknown,no
32,services,single,secondary,no,159,yes,yes,cellular,14,may,46,1,-1,0,unknown,no
95,retired,married,secondary,no,0,no,no,telephone,1,oct,215,1,-1,0,unknown,no
44,admin.,divorced,tertiary,no,558,yes,no,cellular,31,mar,262,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,1135,yes,no,unknown,27,may,35,1,-1,0,unknown,no
54,blue-collar,married,primary,no,946,no,no,cellular,27,aug,116,9,-1,0,unknown,no
37,technician,single,tertiary,no,971,no,no,cellular,19,aug,120,6,-1,0,unknown,no
57,management,married,tertiary,no,12048,no,no,telephone,19,nov,95,3,-1,0,unknown,no
35,management,single,tertiary,no,53,no,yes,cellular,12,aug,80,4,-1,0,unknown,no
57,housemaid,married,primary,no,411,yes,no,unknown,27,may,104,3,-1,0,unknown,no
37,management,single,tertiary,no,35,yes,no,cellular,18,jul,34,3,-1,0,unknown,no
31,housemaid,married,primary,no,203,yes,no,unknown,6,may,604,3,-1,0,unknown,no
40,technician,married,secondary,no,770,yes,no,unknown,14,may,200,1,-1,0,unknown,no
34,technician,single,secondary,no,1087,no,no,unknown,1,jun,7,1,-1,0,unknown,no
35,unemployed,married,secondary,no,330,no,no,cellular,30,jan,645,4,-1,0,unknown,no
81,retired,divorced,primary,no,519,no,no,telephone,9,sep,488,1,-1,0,unknown,no
51,blue-collar,divorced,primary,no,602,yes,no,cellular,11,may,347,1,284,2,failure,no
54,self-employed,married,tertiary,no,0,yes,no,cellular,20,aug,83,5,-1,0,unknown,no
62,blue-collar,married,secondary,no,272,no,no,cellular,11,aug,146,1,286,2,failure,yes
49,technician,divorced,secondary,no,229,no,no,cellular,8,aug,219,2,-1,0,unknown,no
52,blue-collar,divorced,primary,no,29,yes,no,cellular,21,jul,245,1,-1,0,unknown,no
35,services,married,primary,no,31,no,yes,cellular,19,nov,131,3,133,3,failure,no
29,blue-collar,married,unknown,no,135,yes,no,unknown,23,may,150,6,-1,0,unknown,no
34,admin.,single,secondary,no,88,yes,no,unknown,27,may,169,2,-1,0,unknown,no
35,management,single,secondary,no,329,no,no,cellular,23,jul,375,8,-1,0,unknown,no
35,admin.,married,tertiary,no,-272,no,yes,cellular,29,jan,309,1,197,13,other,no
37,technician,married,secondary,no,1120,yes,no,unknown,30,may,103,5,-1,0,unknown,no
80,retired,married,secondary,no,2354,no,no,telephone,4,aug,199,2,181,3,success,no
42,admin.,single,unknown,no,22,no,no,unknown,19,jun,246,3,-1,0,unknown,no
33,management,married,tertiary,no,0,yes,no,cellular,19,nov,295,1,170,1,failure,no
59,admin.,married,secondary,no,479,no,no,unknown,18,jun,326,1,-1,0,unknown,no
35,housemaid,single,tertiary,no,608,yes,yes,unknown,2,jun,227,1,-1,0,unknown,no
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,2,-1,0,unknown,yes
36,management,married,tertiary,no,93,no,no,cellular,11,jan,102,3,96,4,other,no
53,self-employed,married,tertiary,no,687,no,no,cellular,4,feb,319,5,-1,0,unknown,no
30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no
36,admin.,married,secondary,no,1314,yes,no,cellular,17,jul,330,3,-1,0,unknown,no
51,unknown,married,unknown,no,1585,no,no,telephone,30,oct,152,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,1134,yes,no,cellular,17,apr,408,1,329,2,failure,no
43,services,married,secondary,no,378,no,yes,cellular,12,aug,321,4,-1,0,unknown,no
54,admin.,divorced,secondary,no,459,no,yes,telephone,20,nov,132,3,-1,0,unknown,no
48,self-employed,married,tertiary,no,1223,yes,no,cellular,4,feb,193,1,-1,0,unknown,no
58,retired,married,secondary,no,3909,yes,no,unknown,3,jun,80,1,-1,0,unknown,no
35,admin.,single,secondary,no,507,yes,no,cellular,22,jul,560,2,-1,0,unknown,yes
57,retired,married,primary,no,3518,yes,no,cellular,25,aug,626,3,-1,0,unknown,yes
35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484,4,-1,0,unknown,no
52,housemaid,married,tertiary,no,554,no,no,cellular,31,jul,44,5,-1,0,unknown,no
46,blue-collar,single,primary,no,2851,yes,no,unknown,19,may,122,2,-1,0,unknown,no
31,technician,married,secondary,yes,-463,yes,no,unknown,28,may,210,1,-1,0,unknown,no
54,management,divorced,tertiary,no,0,yes,no,telephone,18,may,17,11,-1,0,unknown,no
30,technician,single,unknown,no,878,yes,no,cellular,15,may,173,3,298,3,other,no
35,services,divorced,secondary,no,532,yes,no,unknown,2,jun,375,1,-1,0,unknown,no
34,management,married,tertiary,no,498,yes,no,cellular,29,jan,84,1,251,2,failure,no
25,student,single,secondary,no,1790,no,no,unknown,30,may,242,3,-1,0,unknown,no
51,admin.,single,unknown,no,196,no,no,unknown,11,jun,98,1,-1,0,unknown,no
33,management,married,tertiary,no,0,yes,no,cellular,17,apr,378,1,-1,0,unknown,yes
42,technician,married,secondary,no,994,yes,no,cellular,12,nov,227,3,93,6,success,yes
59,blue-collar,divorced,secondary,no,4190,yes,no,cellular,20,nov,221,1,-1,0,unknown,no
52,blue-collar,married,primary,no,320,yes,no,cellular,6,feb,306,3,253,4,other,no
57,admin.,divorced,unknown,no,4012,no,no,cellular,20,nov,915,1,-1,0,unknown,no
34,technician,married,secondary,no,563,yes,yes,cellular,29,aug,32,15,-1,0,unknown,no
28,management,single,tertiary,no,-227,yes,no,unknown,4,jun,298,2,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,247,no,no,cellular,17,apr,351,1,-1,0,unknown,no
48,retired,married,primary,no,5173,yes,no,unknown,18,jun,88,8,-1,0,unknown,no
58,blue-collar,married,primary,no,66,yes,no,cellular,15,may,184,4,-1,0,unknown,no
27,admin.,single,secondary,no,1,yes,no,unknown,12,may,86,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,171,yes,no,cellular,15,may,178,1,359,2,failure,no
56,services,married,secondary,no,22196,yes,no,cellular,21,nov,189,1,-1,0,unknown,no
40,entrepreneur,married,secondary,no,264,yes,no,unknown,14,may,222,2,-1,0,unknown,no
70,retired,married,secondary,no,2815,no,no,cellular,26,apr,125,2,182,1,failure,no
45,blue-collar,married,primary,no,512,no,no,telephone,16,jul,98,1,-1,0,unknown,no
47,admin.,married,secondary,no,1934,no,yes,cellular,14,may,225,1,364,1,failure,no
28,services,single,tertiary,no,737,yes,yes,unknown,27,may,955,1,-1,0,unknown,no
33,admin.,married,secondary,no,730,yes,no,unknown,20,may,70,1,-1,0,unknown,no
32,technician,single,secondary,no,432,no,no,cellular,20,aug,559,3,-1,0,unknown,no
46,technician,married,secondary,yes,289,no,no,unknown,7,may,51,3,-1,0,unknown,no
31,admin.,single,secondary,no,423,no,no,cellular,11,aug,215,1,-1,0,unknown,no
31,admin.,married,secondary,no,468,yes,no,unknown,16,may,159,1,-1,0,unknown,no
42,technician,single,tertiary,no,171,no,no,cellular,14,aug,143,2,-1,0,unknown,no
27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,411,2,-1,0,unknown,no
34,blue-collar,single,secondary,no,0,yes,no,cellular,9,jul,130,1,-1,0,unknown,no
43,retired,married,primary,no,222,no,no,cellular,24,jul,203,2,-1,0,unknown,no
36,services,single,secondary,no,23,yes,no,cellular,28,dec,256,1,-1,0,unknown,no
37,management,married,tertiary,no,46,yes,no,cellular,15,apr,154,1,-1,0,unknown,no
58,technician,married,tertiary,no,4656,no,no,cellular,31,jul,119,6,-1,0,unknown,no
41,services,married,primary,no,299,yes,no,unknown,14,may,72,1,-1,0,unknown,no
42,unemployed,married,unknown,no,190,no,no,cellular,11,aug,704,2,-1,0,unknown,yes
37,housemaid,married,primary,no,0,no,no,cellular,29,aug,17,12,-1,0,unknown,no
41,technician,married,secondary,no,1344,no,no,cellular,22,aug,169,6,-1,0,unknown,no
26,self-employed,married,tertiary,no,10005,yes,no,cellular,17,jul,84,2,-1,0,unknown,no
46,admin.,divorced,secondary,no,3163,no,no,cellular,21,nov,128,3,-1,0,unknown,no
46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,unknown,no
28,blue-collar,married,secondary,no,751,yes,no,cellular,22,jul,598,5,-1,0,unknown,yes
43,admin.,married,secondary,no,372,yes,no,unknown,27,may,162,1,-1,0,unknown,no
38,services,married,primary,yes,1,yes,no,cellular,17,jul,169,7,-1,0,unknown,no
45,management,married,secondary,no,2897,no,no,cellular,2,jul,301,2,88,5,failure,no
31,technician,married,secondary,no,54,no,no,cellular,7,aug,137,2,-1,0,unknown,no
28,services,single,secondary,no,230,yes,yes,cellular,17,apr,181,2,-1,0,unknown,no
42,services,married,primary,no,91,yes,no,unknown,29,may,87,7,-1,0,unknown,no
