X,Y,OBJECTID,FOLIO,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,TYPE,CAPACITY,CAP_DESC,LAT,LON,POINT_X,POINT_Y,CREATEDBY
-80.28015005,25.72180572,129,3.413E+11,UM College of Engineering, ,1251 MEMORIAL DR,Suite 244,Coral Gables,33146,305-284-2404,U,0,Enrollment,25.7218,-80.28015,893160.4451,505225.6797,abreui
-80.16362892,25.92628612,130,7.2216E+11,Beauty Schools of America,North Miami Beach Campus,1813 NE 163RD ST,    ,North Miami Beach,33162,305-947-0832,T,0,Enrollment,25.92628,-80.16363,931051.1063,579774.4734,abreui
-80.45971127,25.68552186,131,3.04932E+12,CBT College - West Kendall Campus,West Kendall Campus, 8765 SW 165TH AVE,    ,Kendall,33193,305-273-4499,C,0,Enrollment,25.68552,-80.45971,834097.0021,491756.1255,abreui
-80.27537868,25.7217181,132,3.413E+11,UM School of Education, ,5202 UNIVERSITY DR,    ,Coral Gables,33146,305-284-3711,U,0,Enrollment,25.72171,-80.27538,894731.5289,505202.428,abreui
-80.30209325,25.86741082,133,4.3001E+11,CBT College - Hialeah Campus,Hialeah Campus,935 W 49TH ST,     ,Hialeah,33012,305-273-4499,C,0,        ,25.86741,-80.30209,885655.437,558108.8122,abreui
-80.27734811,25.92433359,134,3.42118E+12,"Sullivan & Cogliano Training Center, Inc", ,4760 NW 167TH ST,    ,Miami,33014,305-624-3030,T,0,Enrollment,25.92433,-80.27735,893678.5003,578842.4447,abreui
-80.20332771,25.9353473,135,3.42112E+12,Hebron Technical Institute of Health, ,160 NW 176TH ST,Suite 407,Miami Gardens,33169,305-493-1761,C,0,Enrollment,25.93534,-80.20333,917983.0553,582986.6695,abreui
-80.3286865,25.80933809,136,3.53027E+12,Polytechnic University of Puerto Rico, ,8180 NW 36TH ST,Suite 401,Doral,33166,305-592-7659,C,0,        ,25.80933,-80.32868,877018.4998,536955.9377,abreui
-80.28693947,25.80679649,137,3.0313E+12,Embry Riddle Aeronautical University ,Main Campus,5600 NW 36TH ST,Suite 590,Miami,33166,305-871-3855,U,15,Enrollment,25.80679,-80.28694,890758.0067,536104.4033,abreui
-80.21040132,25.79492495,138,1.3135E+11,Miami Dade College Medical Center,Medical Center Campus,950 NW 20TH ST,    ,Miami,33127,305-237-4000,C,2899,Enrollment,25.79492,-80.2104,915965.1878,531933.2504,abreui
-80.38962552,25.74617972,139,3.04912E+12,Florida National College (26th St),South Campus,11865  SW 26TH ST,Suite H-3,Miami,33175,305-226-9999,C,0,     ,25.74618,-80.38962,857076.4377,513902.938,abreui
-80.37621011,25.75737903,140,3.04007E+12,Florida International University MMC,Modesto A. Maidique Campus,11200 SW 8TH ST,    ,Miami,33174,305-348-2000,U,38000,Enrollment,25.75737,-80.37621,861473.0626,517994.0627,abreui
-80.25577156,25.92272798,141,3.42116E+12,St. Thomas University,Main Campus,16401 NW 37TH AVE,   ,Miami Gardens,33054,305-625-6000,U,3872,Enrollment,25.92272,-80.25577,900773.5316,578298.5412,abreui
-80.30447751,25.75991341,142,3.04011E+12,Beauty Schools of America,Miami Campus,1176 SW 67TH AVE,    ,Miami,33144,305-267-6604,T,0,Enrollment,25.75991,-80.30447,885077.9522,519033.3367,abreui
-80.41322126,25.71420991,143,3.04926E+12,Academy of Real Estate & Mortgage, ,5600 SW 135TH AVE,204,Miami,33183,305-408-8048,T,0,Enrollment,25.71421,-80.41322,849361.2351,502248.1388,abreui
-80.23935182,25.78963582,144,1.3134E+11,Center of Cinematography Arts & Television, ,1637 NW 27TH AVE,    ,Miami,33125,305-634-0550,T,0,Enrollment,25.78963,-80.23935,906450.5039,529954.7565,abreui
-80.32306598,25.88484184,145,4.2026E+11,American Advanced Technicians Institute (AATI ), ,6801 W 20TH AVE,    ,Hialeah,33169,305-362-5519,T,0,Enrollment,25.88484,-80.32306,878726.2494,564408.2794,abreui
-80.19125222,25.76185711,146,1.02101E+11,Strayer University - Brickell Campus,Brickell Campus,1201 BRICKELL AVE,Suite 700,Miami,33131,305-507-5800,U,0,Enrollment,25.76185,-80.19125,922339.7617,519952.4258,abreui
-80.22769823,25.92786366,147,3.42111E+12,ATI Career Training Center College of Health, ,1525 NW 167TH ST,Suite 300,Miami,33169,305-623-3255,T,0,Enrollment,25.92786,-80.2277,909989.7474,580218.6057,abreui
-80.31462719,25.79781297,148,3.03026E+12,ATI Career Training Center, ,7265 NW 25TH ST, ,Miami,33122,305-591-3060,T,0,Enrollment,25.79781,-80.31462,881665.7249,532790.8409,abreui
-80.30911514,25.6366021,149,3.35023E+12,Montessori Teacher Training Institute, ,14400 Old Cutler Road,    ,Miami,33158,305-282-3294,C,0,Enrollment,25.6366,-80.30911,883785.9284,474206.9543,abreui
-80.3048554,25.86578058,150,4.3001E+11,Beauty Schools of America,Hialeah - Main Campus,1060 W 49TH ST,    ,Hialeah,33012,305-362-9003,T,0,Enrollment,25.86578,-80.30485,884750.2871,557511.4582,abreui
-80.19273841,25.85220146,151,1.3207E+11,Traveling Angels Security Academy, ,8365 NE 2ND AVE,    ,Miami,33138,305-218-1878,T,0,Enrollment,25.8522,-80.19274,921649.1848,552786.7393,abreui
-80.36408309,25.68637043,152,3.05005E+12,Acupuncture and Massage College, ,10506 N KENDALL DR,    ,Miami,33176,305-595-9500,T,0,Enrollment,25.68637,-80.36408,865588.8058,492204.6577,abreui
-80.38429538,25.79490013,153,2.53031E+12,Keiser University, ,2101 NW 117TH AVE,    ,Miami,33172,305-596-2226,U,850,Enrollment,25.7949,-80.38429,858748.1965,531618.8737,abreui
-80.29775344,25.93306968,154,3.02012E+12,Southeastern College,       ,17395 NW 59TH AVE,    ,Miami Lakes,33015,305-820-5003,C,415,Enrollment,25.93306,-80.29775,886954.7394,581981.2791,abreui
-80.39152255,25.68917211,155,3.04936E+12,Nova Southeastern University - NSU,Kendall,8585 SW 124TH AVE,   ,Miami,33183,305-275-2601,U,450,Enrollment,25.68917,-80.39152,856547.4915,493180.3984,abreui
-80.31643418,25.68354931,156,3.05002E+12,City College, ,9300 S DADELAND  BLVD,Suite 200,Miami,33156,305-666-9242,C,0,      ,25.68354,-80.31643,881286.3751,491257.6254,abreui
-80.33743692,25.76859382,157,3.04004E+12,DeVry University,  ,8700 W FLAGLER ST ,Suite 100,Miami,33174,305-229-4833,U,0,Enrollment,25.76859,-80.33743,874214.1844,522132.4325,abreui
-80.32167305,25.8609301,158,4.30022E+11,Florida National College (20th Ave),Online Learning,4425 W 20TH AVE, ,Hialeah,33012,305-821-3333,C,2400,Enrollment,25.86093,-80.32167,879229.1253,555719.5621,abreui
-80.30273119,25.77035937,159,1.4001E+11,Active Health Review Training, ,6520 W FLAGLER ST, ,Miami,33144,305-648-3293,T,0,Enrollment,25.77035,-80.30273,885632.6328,522833.0684,abreui
-80.42741891,25.65627418,160,3.0591E+12,G-Force Protective Service, ,14331 SW 120TH ST,    ,Miami,33186,786-214-6562,T,0,Enrollment,25.65627,-80.42742,844777.8459,481170.8102,abreui
-80.27486415,25.82990464,161,4.3118E+11,La Esperanza Training Center, ,330 E 9TH ST,    ,Hialeah,33010,786-347-7711,T,0,Enrollment,25.8299,-80.27486,894684.513,544525.1053,abreui
-80.35771846,25.58976378,162,3.66005E+12,CBT College - Cutler Bay Campus,Cutler Bay Campus,19151 S DIXIE HWY,    ,Cutler Bay,33157,305-273-4499,C,0,         ,25.58976,-80.35772,867855.1841,457102.9348,abreui
-80.20443966,25.94402858,163,3.42101E+12,"Nursing Unlimited, inc",Headquarters,18405 NW 2ND AVE,    ,Miami Gardens,33169,305-651-1431,T,0,Enrollment,25.94402,-80.20444,917598.4481,586139.8711,abreui
-80.13231021,25.79043062,164,2.3234E+11,Florida International University Miami Beach,Miami Beach Urban Studios,420 LINCOLN RD,Suite 440,Miami Beach,33139,305-348-7500,U,0,Enrollment,25.79043,-80.13231,941671.0423,530461.412,abreui
-80.44625181,25.47587564,165,1.07917E+12,Beauty Schools of America,Homestead Campus,600 NE 22ND TER,Suite 108,Homestead,33030,305-231-2302,T,0,Enrollment,25.47587,-80.44625,838847.568,415579.5507,abreui
-80.21153484,25.91567334,166,3.02113E+12,Greencross School of Nursing, ,15383 NW 7TH AVE,    ,Miami,33169,305-687-7718,T,0,Enrollment,25.91567,-80.21153,915328.8148,575819.3955,abreui
-80.33960989,25.7918181,167,3.53033E+12,Miami Anatomical Research Center, ,8850 NW 20TH ST,    ,Doral,33172,305-716-0966,T,0,Enrollment,25.79181,-80.33961,873456.7326,530569.9286,abreui
-80.29629738,25.92266068,168,3.22013E+12,Dade Medical College - Miami Lakes,Miami Lakes Campus,5875 NW 163RD ST,    ,Miami Lakes,33014,786-363-3340 ,C,0,Enrollment,25.92266,-80.29629,887453.5933,578200.5022,abreui
-80.25876841,25.78097642,169,1.3132E+11,Dade Medical College - Miami Campus,Miami Campus,3721 NW 7TH ST,    ,Miami,33126,786-363-4910,C,0,Enrollment,25.78097,-80.25877,900079.1782,526770.9439,abreui
-80.42179149,25.64691736,170,3.05915E+12,Dean International Flight School, ,14150 SW 129TH ST,    ,Miami,33186,305-259-5611,T,0,Enrollment,25.64691,-80.42179,846646.4352,477778.1402,abreui
-80.20354259,25.9429476,171,3.42101E+12,Everest Institute - Miami,Miami Campus, 111 NW 183RD ST,Suite 200,Miami,33169,305-949-9500,C,0,Enrollment,25.94294,-80.20354,917895.6354,585748.7531,abreui
-80.21206271,25.82510231,172,1.31141E+11,Exceptional Development Corp of South Florida, ,991 NW 54TH ST,    ,Miami,33127,305-758-9910,T,0,Enrollment,25.8251,-80.21206,915352.8502,542898.4618,abreui
-80.32624615,25.80858464,173,3.53027E+12,Florida Medical Training Institute, ,7902 NW 36TH ST,Suite 215,Doral,33166,305-715-0377,C,0,Enrollment,25.80858,-80.32624,877822.7596,536686.1935,abreui
-80.25146405,25.76459712,174,1.41091E+11,Future Tech Institute Inc, ,3446 SW 8TH ST,Suite 211,Miami,33135,305-774-0227,C,0,Enrollment,25.76459,-80.25146,902516.6722,520831.2572,abreui
-80.20455302,25.94359695,175,3.42101E+12,Health Opportunity Technical Center Inc, , 18441 NW 2ND AVE,Suite 300,Miami,33169,305-249-2275,T,0,Enrollment,25.94359,-80.20455,917562.1465,585982.7583,abreui
-80.19103991,25.76316842,176,1.021E+11,Inlingua Language Center Brickell Avenue, , 1101 BRICKELL AVE,Suite 400,Miami,33131,305-579-0096,T,0,Enrollment,25.76316,-80.19104,922406.7167,520429.4701,abreui
-80.27568733,25.72257225,177,3.413E+11,Intensive Language Institute, ,5050 BRUNSON DR,    ,Coral Gables,33146,305-284-4000,C,0,Enrollment,25.72257,-80.27568,894628.2048,505512.3211,abreui
-80.28459355,25.92444899,178,3.42118E+12,CBT College - Miami Gardens Branch,Miami Gardens Branch,5190 NW 167th ST,,Miami Gardens,33014,305-273-4499,,,,25.92444,-80.28459,891296.8675,578871.3225,bincao
