Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
San Marino,0.060,0.031,516.7,,5.9,9.9,,,13.13,,50.8,117.0,,,5.4,,,,,,6.1,,,
Sao Tome and Principe,0.960,0.193,201.0,1610,36.1,34.7,,,5.58,,23.0,64.9,0.6,6.8,5.9,33.9,6.8,3.4,66.3,47.7,,,,
Saudi Arabia,2149.690,28.829,13.4,25962,17.3,19.9,0.16,,5.38,251.50,60.5,184.2,,5.0,23.9,19.4,3.2,2.9,75.7,21.3,5.6,6738,8161,3
Senegal,192.530,14.133,73.4,1047,56.9,38.1,1.72,,7.61,18.60,20.9,92.9,0.5,16.7,5.1,37.7,7.6,3.0,63.4,67.3,,264,187,1
Serbia,87.460,7.164,81.9,6354,44.6,9.3,1.78,5.34,14.09,28.15,51.5,119.4,0.1,,9.8,9.2,14.0,14.3,75.1,53.5,23.9,2237,4490,2
Seychelles,0.460,0.089,193.5,16186,46.8,18.6,,3.12,9.62,0.84,50.4,147.3,,,12.0,18.6,7.4,7.7,74.2,,,,,
Sierra Leone,72.180,6.092,84.4,679,60.8,37.1,1.05,0.00,11.41,10.50,1.7,65.7,1.6,25.5,3.8,36.6,17.2,2.7,45.6,67.7,,,,
Singapore,0.700,5.399,7712.9,55182,0,10.1,1.68,25.60,12.46,147.60,73.0,155.9,,,10.8,9.3,4.6,10.2,82.3,65.1,2.8,6452,8404,3
Sint Maarten (Dutch part),0.034,0.040,1176.5,,0,,,,,,,,,,12.8,,,,,,,,,
Slovak Republic,48.088,5.413,112.6,18049,46.1,10.3,1.98,3.18,14.86,15.85,77.9,113.9,,,7.2,10.1,9.6,13.0,76.3,62.2,13.9,3214,5348,3
Slovenia,20.140,2.060,102.3,23295,50.2,10.7,1.86,2.77,11.04,13.55,72.7,110.2,,,7.2,10.2,9.4,17.2,80.3,67.3,8.8,3531,6806,3
Solomon Islands,27.990,0.561,20.0,1954,78.6,31.5,,,12.70,,8.0,57.6,,12.5,16.1,30.8,5.9,3.4,67.7,55.5,,,,
Somalia,627.340,10.496,16.7,,61.4,44.2,,,,11.00,1.5,49.4,0.5,,7.3,43.8,12.3,2.8,55.0,38.8,,,,
South Africa,1213.090,53.157,43.8,6886,36.2,21.1,1.38,3.49,14.02,77.15,48.9,145.6,19.1,5.0,9.4,20.9,13.0,5.5,56.7,48.9,24.7,2742,4606,2
South Sudan,239.285,11.296,47.2,1045,81.6,36.5,1.97,,4.00,185.00,,25.3,2.2,,10.1,36.1,11.8,3.5,55.2,,,,,
Spain,498.800,46.618,93.5,29882,20.9,9.7,1.75,3.15,13.95,213.95,71.6,106.9,0.4,,7.9,9.1,8.3,17.8,82.4,68.3,24.8,2686,5530,3
Sri Lanka,62.710,20.483,326.6,3280,81.7,18.1,1.29,14.47,7.40,223.10,21.9,95.5,0.1,24.6,7.8,17.9,7.1,8.5,74.2,38.8,4.0,499,490,1
St. Kitts and Nevis,0.260,0.054,207.7,14133,68.1,,,,7.33,,80.0,142.1,,,12.6,,,,,,,,,
St. Lucia,0.610,0.182,298.4,7328,81.5,15.7,,,15.00,,35.2,116.3,,,8.3,15.4,7.2,8.8,74.8,68.7,19.1,,,
St. Martin (French part),0.054,0.031,569.9,,0,16.3,,,,,,,,,,16.0,4.0,,79.2,,,,,
St. Vincent and the Grenadines,0.390,0.109,279.5,6486,50.2,16.6,,,14.67,,52.0,114.6,,5.7,10.0,16.3,7.2,7.0,72.5,60.9,,,,
Sudan,2376.000,37.964,16.0,1753,66.5,33.9,0.75,,11.38,264.30,22.7,72.9,0.2,,17.9,33.5,8.4,3.2,62.0,32.6,,355,143,1
Suriname,156.000,0.539,3.5,9826,33.9,18,1.57,,11.00,1.94,37.4,161.1,0.9,8.4,10.8,17.7,7.3,6.7,71.0,44.8,,,,
Swaziland,17.200,1.250,72.7,3034,78.7,30.2,1.3,,18.08,,24.7,71.5,27.4,26.1,4.3,29.9,14.3,3.5,48.9,45.4,,,,
Sweden,407.340,9.600,23.6,60381,14.5,11.9,2.1,3.71,14.98,16.10,94.8,124.4,,,4.5,11.8,9.4,19.3,81.7,78.6,8.0,5190,14030,3
Switzerland,39.516,8.088,204.7,84748,26.2,10.3,1.88,,22.08,21.25,86.7,136.8,0.4,,5.6,10.2,8.0,17.7,82.7,78.0,4.2,3207,7928,3
Syrian Arab Republic,183.630,22.846,124.4,,43.1,24.4,0.79,,5.31,178.00,26.2,56.1,,,8.8,24.0,3.9,4.1,74.7,14.3,,910,1715,1
Tajikistan,139.960,8.208,58.6,1037,73.4,33.1,1.45,,7.33,16.30,16.0,91.8,0.3,32.3,6.4,33.0,6.6,3.2,67.4,61.7,,306,1714,1
Tanzania,885.800,49.253,55.6,913,69.8,39.7,1.31,4.84,11.17,28.40,4.4,55.7,5,34.6,9.2,39.2,8.5,3.2,61.5,89.9,,448,92,1
Thailand,510.890,67.011,131.2,5779,52.1,10.5,1.56,7.02,17.01,453.55,28.9,140.1,1.1,6.8,7.4,10.2,7.7,9.7,74.4,70.9,0.7,1790,2316,1
Timor-Leste,14.870,1.180,79.4,,68.5,35.9,1.65,,3.02,1.33,1.1,57.4,,28.8,6.8,35.8,5.7,3.3,67.5,25.2,,,,
Togo,54.390,6.817,125.3,636,61,36.8,1.16,,15.38,9.30,4.5,62.5,2.3,15.3,4.7,36.4,10.7,2.8,56.5,82.2,,427,,
Tonga,0.720,0.105,145.8,4427,76.4,26.1,,,13.71,,35.0,54.6,,,14.8,25.5,6.0,5.9,72.6,56.4,,,,
Trinidad and Tobago,5.130,1.341,261.4,18373,91.3,14.7,,,7.25,4.05,63.8,144.9,1.7,9.0,13.1,14.5,9.6,9.0,69.9,59.7,5.0,15691,6332,3
Tunisia,155.360,10.887,70.1,4317,33.5,19.3,0.93,5.09,13.33,47.80,43.8,115.6,0.1,5.0,9.4,19.8,6.3,7.2,73.6,27.3,17.6,890,1297,1
Turkey,769.630,74.933,97.4,10972,27.6,17.1,2.54,6.83,10.74,612.80,46.3,93.0,,5.0,14.8,16.8,5.7,7.4,75.2,32.2,9.2,1539,2709,2
Turkmenistan,469.930,5.240,11.2,7987,50.7,21.5,0.22,,8.68,22.00,9.6,116.9,,5.0,5.0,21.3,7.8,4.1,65.5,49.7,,4839,2444,1
Turks and Caicos Islands,0.950,0.033,34.7,,8.5,,,,,,,,,,,,,,,,,,,
Tuvalu,0.030,0.010,333.3,3880,42.2,,,,22.09,,37.0,34.4,,,15.3,,,,,,,,,
Uganda,199.810,37.579,188.1,657,84.6,43.7,,17.17,24.27,46.8,16.2,44.1,7.4,25.7,5.2,43.2,9.2,2.4,59.2,76.6,,,,
Ukraine,579.320,45.490,78.5,3900,30.7,11.4,1.35,6.38,12.17,121.5,41.8,138.1,0.8,,2.6,11.1,14.6,15.1,71.2,62.6,7.5,2766,3662,2
United Arab Emirates,83.600,9.346,111.8,43049,15,15.1,0.47,,9.38,63,88.0,171.9,,5.0,19.0,14.5,1.0,0.4,77.1,46.8,,7407,9389,3
United Kingdom,241.930,64.107,265.0,41781,17.9,12.8,2.17,5.31,16.18,159.15,89.8,124.6,0.3,,3.9,12.2,9.0,17.5,81.0,70.3,7.9,2973,5472,3
United States,9147.420,316.129,34.6,53042,18.7,12.6,0.97,17.65,20.71,1433.15,84.2,95.5,,,9.4,12.5,8.2,14.0,78.8,66.1,8.1,7032,13246,3
Uruguay,175.020,3.407,19.5,16351,5,14.6,1.97,6.20,20.43,25.45,58.1,154.6,0.7,5.0,5.8,14.5,9.3,14.1,77.1,67.4,6.5,1309,2810,2
Uzbekistan,425.400,30.243,71.1,1878,63.8,21,1.02,,9.68,68,38.2,74.3,0.2,5.8,6.4,22.5,4.8,4.3,68.2,51.0,,1628,1626,1
Vanuatu,12.190,0.253,20.8,3277,74.5,26.9,,,14.13,,11.3,50.3,,7.2,23.7,26.6,4.8,3.9,71.7,62.3,,,,
"Venezuela, RB",882.050,30.405,34.5,14415,11.1,20.1,0.02,,4.31,115,54.9,101.6,0.6,5.0,6.9,19.8,5.3,6.2,74.6,54.8,8.1,2380,3313,2
Vietnam,310.070,89.709,289.3,1911,67.7,15.9,1.15,,9.33,522,43.9,130.9,0.4,12.9,5.7,15.5,5.7,6.6,75.8,78.9,1.8,697,1073,1
Virgin Islands (U.S.),0.350,0.105,300.0,,4.9,10.9,,,,,45.3,,,,12.1,10.7,8.0,16.0,79.6,64.0,,,,
West Bank and Gaza,6.020,4.170,692.7,,25.2,30.6,1.87,,,,46.6,73.7,,,9.2,30.4,3.5,3.0,73.2,16.1,23.0,,,
"Yemen, Rep.",527.970,24.407,46.2,1473,66.6,31.5,0.58,,3.93,137.9,20.0,69.0,0.1,25.7,8.3,31.1,7.2,2.9,63.1,26.4,,312,193,1
Zambia,743.390,14.539,19.6,1845,60,43,1.48,,12.57,16.5,15.4,71.5,12.5,48.3,5.0,42.8,10.2,2.6,58.1,73.3,7.8,621,599,1
Zimbabwe,386.850,14.150,36.6,953,67.3,31.6,1.52,,,50.8,18.5,96.3,15,31.8,9.3,31.3,9.0,3.9,59.8,84.8,11.1,697,757,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
