news_date,news_title,news_summary
2022-03-01,Society of Women Engineers builds inclusive campus culture,The Florida Polytechnic University chapter of the Society of Women Engineers (SWE) prides itself on being a supportive and motivating group for students on campus.
2022-02-24,Florida Poly Writing Services certified as tutor training program,"Florida Polytechnic University announced this week that its Department of Arts, Humanities, and Social Sciences' Writing Services program has been awarded certification as a Level 1 tutor training program by the internationally recognized College Reading and Learning Association (CRLA)."
2022-02-23,Students shift into high gear to build Florida Poly's first solar vehicle,An interdisciplinary team of Florida Polytechnic University students is revving up to build the University's first competition-worthy solar vehicle and take on some of the biggest schools in the country.
2022-02-22,International autonomous vehicle conference set to roll into Florida Poly,"Connected and autonomous vehicle (CAV) technology will take center stage at Florida Polytechnic University on March 7-9 at an international conference focusing on advances in this rapidly evolving field. Global leaders in transportation, CAV innovation, and infrastructure will take part in the event."
2022-02-21,Financial aid makes dream a reality for first-generation student,"As Ivelisse Rodriguez progressed through high school and the time to enter college neared, she wondered how she'd pay for the education she always dreamed of. While she aspired to be the first in her family to go to college, the path toward her dreams was unclear."
2022-02-18,Florida Poly director named Bartow Chamber Board president,"Early in her career, Shannon Medley turned to Leadership Bartow, a program of the Greater Bartow Chamber of Commerce, to help her enhance her civic participation as an emerging community leader."
2022-02-17,Polk County leader joins Florida Poly Foundation Board,"Ana Wood, waste and recycling director for the Polk County Board of County Commissioners for more than 20 years, has joined the Florida Polytechnic University Foundation Board of Directors. Her appointment was confirmed unanimously by the Florida Poly Board of Trustees during its meeting on Wednesday, Feb. 16."
2022-02-16,"Tech, business leader urges students to ""go big""","The adaptability, technological know-how, and big dreams of Florida Polytechnic University students make them poised to be the creators of the world's next big thing. That was the message Adrian Muhammad, managing partner of Jackson | Shah & Company, had for students during the return of the Innovation Speaker Series at the University on Tuesday, Feb. 15."
2022-02-14,Middle schoolers discover STEM possibilities at Florida Poly,"Addisen Cannoy, an eighth grader at Academy Prep Center of Lakeland, was excited to learn about the possibilities available to her one day as a student at Florida Polytechnic University."
2022-02-09,Students find exciting opportunities at spring career fair,"Resume in hand and decked out in a slick business suit, Florida Polytechnic University senior Zane Sheets worked to make a great first impression on potential employers during the Spring 2022 Career and Internship Fair on Tuesday, Feb. 8."
2022-02-08,Florida Poly sees 30% surge in applications for the second year in a row,The number of freshmen applying to Florida Polytechnic University has leapt 30% ahead of the same point in 2021 while out-of-state applications are up 61%. The surge comes as many higher education institutions across the country continue to struggle with enrollment.
2022-02-02,Florida Poly Women's Powerlifting readies for national title,"Florida Polytechnic University's Women's Powerlifting team is killing it in its inaugural year, and has already earned a spot on the national stage."
2022-02-01,"NSBE offers connection, opportunity to budding Black engineers at Florida Poly","As the leader of the Florida Polytechnic University chapter of the National Society of Black Engineers (NSBE), Catherine Abraham is thrilled to play a role in helping Black students on campus feel welcome and supported."
2022-01-31,"Students build fun, opportunities with Legoland Florida",Students who have always wanted to be Lego master builders got their shot on National Lego Day at Florida Polytechnic University.
2022-01-28,Florida Poly president makes Tampa Bay's Power 100 list,"Dr. Randy K. Avent, president of Florida Polytechnic University, was named one of the most influential businesspeople in the Tampa Bay area by the Tampa Bay Business Journal. The publication recently revealed its annual Power 100 list recognizing the region's most impactful business leaders."
2022-01-27,Intramural sports offer Phoenixes fun competition,"When Cadreeo Hudson '20 arrived as a freshman to the Florida Polytechnic University campus, he was excited to sign up for intramural sports as a way to meet people, enjoy a little competition, and have fun."
2022-01-25,Florida Poly department chair joins prestigious journal's editorial board,"Dr. Bruce Jacob, an internationally recognized researcher and chair of the Department of Electrical and Computer Engineering at Florida Polytechnic University, has joined the editorial board of IEEE Access."
2022-01-19,Students to gain career momentum at Saddle Creek Day on Campus,"One of the most daunting parts of the college experience is looking for a job to step into after graduation. Saddle Creek Logistics Services, Florida Polytechnic University's largest corporate partner, will host Saddle Creek Day on Campus on Thursday, Jan. 20, to engage with students and share ways to successfully begin their careers."
2022-01-18,Rotaract Club of Florida Poly works to help University community and beyond,"The mission that drives the Rotaract Club of Florida Poly is rooted in service to community and to others. Student members can help others and be of service while expanding their networking circle, developing leadership skills, and enjoying mentorship and peer camaraderie."
2022-01-13,Sophomore becomes first US Navy Officer Candidate from Florida Poly NUPOC program,"As Patrick Cole works toward his bachelor's degree at Florida Polytechnic University, he is now secure in the knowledge that he will have a steady income for the remainder of his education and a well-paying career waiting for him after graduation."
2022-01-11,FIPR secures $150K grant to create U.S. source of critical rare earth elements,"The production of computers, solar panels, smartphones, electric cars, and more all rely on a steady supply of rare earth elements. China currently supplies most of the world's rare earth elements, but a new Department of Energy grant awarded to Florida Polytechnic University's Florida Industrial and Phosphate Research Institute (FIPR) aims to change that."
2022-01-10,New online tool helps bolster STEM careers from Florida Poly,"Talented high school students who aim to pursue high-wage careers in science, technology, engineering, and math can now easily learn how Florida Polytechnic University can help them achieve their goals through an innovative online tool."
2022-01-07,Positivity and commitment to service drive Florida Poly police officer,Officer Bobby Neil brings a specific mindset to his daily work with the Florida Polytechnic University Police Department.
2021-12-30,Here are Florida Poly's top 10 stories of 2021,"The end of 2021 marks a year filled with national recognition, exceptional growth, and incredible achievements. Amid a changed global landscape, the Florida Polytechnic University community worked hard to continue growing and moving forward. The year's highlights included impressive U.S. News and World Report and other rankings, international accolades for stellar faculty members, and innovative opportunities for hands-on learning. Read the list of Florida Poly's top 10 stories of 2021."
2021-12-16,Student food pantry gets boost from corporate donor,The food pantry at Florida Polytechnic University aims to take a big burden from the shoulders of students who may not know exactly where their next meal will come from.
2021-12-13,Winter break campus services and closures,"The 2021 winter break begins on Saturday, Dec. 17. We hope you have a relaxing winter break and a happy holiday season. The list below outlines the closures and services available at Florida Polytechnic University through the winter break. We look forward to seeing you back on campus on Monday, Jan. 10."
2021-12-09,Annual toy drive benefits children in Lakeland and Honduras,"The Florida Polytechnic University community mustered its spirit of charity and goodwill this season and stepped up to donate toys, books, and other gifts to children who could use a little extra cheer this holiday season. The donations will be delivered to pediatric patients at Lakeland Regional Health Medical Center and to children in an impoverished community in Honduras."
2021-12-07,Three Florida Poly professors among world's top 2% of scientists,"With research interests in nanomedicine, energy systems, and rare earth element recovery, three Florida Polytechnic University professors have been named to the prestigious global list of top scientists compiled annually by Stanford University."
2021-12-06,Student-created video games draw big crowds,"For the first time in two years, the Florida Polytechnic University Fall Game EXPO returned to in-person gameplay on Saturday, Dec. 4, energizing student game developers and attracting hundreds of game-loving high schoolers to campus."
2021-11-30,Autonomous car arrives at Florida Poly to enhance research at new facility,"Researchers at Florida Polytechnic University's Advanced Mobility Institute are beginning a new phase in their work on autonomous vehicle testing and verification. The research is shifting gears from software to hardware testing at a new simulation facility on campus, funded in part by a $350,000 grant from the National Science Foundation."
2021-11-29,Capstone design team brings bionic physical therapy machine to life,"Physical therapist Mike Ryan had a bright idea to improve his industry, so he turned to Florida Polytechnic University students to make his dream of a bionic physical therapy machine a reality."
2021-11-23,Thanksgiving holiday campus services and closures,"Florida Poly wishes the entire University community a happy Thanksgiving. As students and employees reflect on what they're thankful for, it's important to remember there will be no classes from Wednesday, Nov. 24 through Friday, Nov. 26. Classes will resume on Monday, Nov. 29."
2021-11-22,Florida Poly grows international opportunities with Fulbright Spain pact,Florida Polytechnic University has signed an agreement with the U.S.-Spain Fulbright Commission to expand educational opportunities for American and Spanish scholars.
2021-11-17,Inaugural Impact Summit and Presidential Speaker Series take flight,"Business and community leaders joined Florida Polytechnic University leadership, faculty, students, and alumni on Tuesday, Nov. 16, to discuss the state of cybersecurity during the inaugural Florida Poly Impact Summit and Presidential Speaker Series."
2021-11-16,Alum builds his future as burgeoning tech entrepreneur,"Doran Alberti '20 is determined to make a difference in the world. The award-winning Florida Polytechnic University alumnus has founded Alberti Revolutionary Creations, or ARC LLC, to advance the progress of technologies aimed at making life better."
2021-11-15,International master's student flourishes at Florida Poly,"Graduate student Somayeh Sadeghizadeh is no stranger to going after what she wants. The international student from Tehran, Iran, holds a master's degree in urban management, and enjoyed a 10-year career working in sales and marketing in her home country."
2021-11-10,Florida Poly police sergeant unwavering in her service,"As a teen growing up in Brooklyn, New York, Florida Polytechnic University Police Sgt. Jeannette Leonard knew military service was her way to a better future."
2021-11-08,Twin software engineers carve path together at global fintech leader,"Identical twins Carl-Edwin and Marc-Edwin Rigaud have a bond that can't be broken. The Florida Polytechnic University alumni have spent their entire lives side by side, and now as software engineers at FIS Global in St. Petersburg, Florida, their path continues - together."
2021-11-04,New research on hydrophobic insects could improve future of robotics,"The natural adaptations that enable tiny, water-walking insects to withstand the assault of torrential rainstorms could one day make the leap to advances in biomimetic robots thanks to research by a Florida Polytechnic University professor."
2021-11-03,First-generation scholars driven to exceed expectations,Florida Polytechnic University students Ahna Cecil and Justin Sanchez know firsthand that being the first in a family to pursue higher education comes with special responsibilities to do well and be successful.
2021-11-01,Electrical engineering alum thriving in career with IT services company,"When Luis Garcia '19 was choosing a university major, he aimed for a discipline that was sure to challenge him - electrical engineering."
2021-10-26,VEX U robotics team ready to smash the competition,The Florida Polytechnic University VEX U robotics team is stronger than ever and preparing to repeat and surpass its success at upcoming national robotics competitions.
2021-10-25,Cybersecurity Club combines enhanced digital learning with social fun,"As more devices, systems, and governments become tightly enmeshed and reliant on online networks, cybercriminals are finding new ways to exploit vulnerabilities, steal data, and make money."
2021-10-22,Florida Poly president celebrates University's winning streak,"Florida Polytechnic University's continuing streak of successes was celebrated by Dr. Randy K. Avent, University president, in Florida Politics. From Florida Poly's No. 1 ranking in U.S. News and World Report to the University's progress on developing a high-tech research park around campus, the University is on a roll. Read the story."
2021-10-21,German Fulbright scholar explores novel optical fibers at Florida Poly,"Michael Petry is a world away from his hometown of Karlsruhe, Germany, but he says he's exactly where he needs to be."
2021-10-20,Students get hands-on STEM experience at inaugural freshman hackathon,"Armed with bags of parts, general directions, and a lot of enthusiasm, nearly 400 Florida Polytechnic University freshmen got to work building and coding a functional robotic arm during the first Career Design course hackathon on Friday, Oct. 15."
2021-10-19,Florida Poly again achieves top ranks for performance and value,"Florida Polytechnic University continues to stand out as it maintains its No. 3 ranking within the State University System for offering a top-notch education at an affordable price, according to WalletHub's 2022's Best Universities Ranking. The University also ranked No. 4 among all higher education institutions in Florida."
2021-10-19,Florida Poly launches new Women's Club Soccer team,A new and excited Florida Polytechnic University Women's Club Soccer team has taken the field and is ready to take on the competition.
2021-10-18,"Transfer student finds personal, academic success","Alex Whitworth is having the college experience he always wanted at Florida Polytechnic University. He's involved in multiple organizations, plays lacrosse, works in the admissions office, and is taking courses that challenge and inspire him."
2021-10-14,Renowned engineering academic joins Florida Poly as department chair,"When introducing students to electrical and computer engineering, Dr. Bruce Jacob has an eye-catching visual aid that grabs their attention."
2021-10-13,"New applied mathematics chair brings wealth of research, curriculum experience","As the new chair of Florida Polytechnic University's Department of Applied Mathematics, Dr. Michael Brilleslyper is working on a formula to elevate the department to the next level."
2021-10-12,Florida Poly Men's Lacrosse accepted to major conference,"Only seven months after playing its first game, the Florida Polytechnic University Men's Lacrosse team has been accepted into the Men's Collegiate Lacrosse Association (MCLA) and the group's SouthEastern Lacrosse Conference (SELC)."
2021-10-11,Family values and Hispanic culture inspire sophomore's drive for success,"Born and raised in a Cuban American family, the values of hard work, courage, and dedication are an integral part of sophomore Ani Unzueta's heritage. She also inherited a profound thirst to succeed that carries her every day through the Florida Polytechnic University campus."
2021-10-08,"Students, employers connect at hybrid fall career fair","Ryan Sobolewski donned his sharpest business wear and set out to impress the recruiting representatives from high-tech companies looking for team members at the Fall 2021 Career and Internship Fair at Florida Polytechnic University on Thursday, Oct. 7."
2021-10-04,Florida Poly president three-peats as one of Florida's most influential leaders,"Dr. Randy K. Avent, president of Florida Polytechnic University, has been recognized as one of Florida's most influential business leaders for the third consecutive year by Florida Trend magazine. The publication released its annual Florida 500 list on Monday, Oct. 4, highlighting the state's top leaders in several economic sectors."
2021-09-29,THRIVE celebrates and supports Florida Poly women in STEM,"While STEM professions are becoming more inclusive, women entering these traditionally male-dominated fields can still benefit from some extra support."
2021-09-28,Alumna rises to successful engineering career at global corporation,"As a first-generation American, Florida Polytechnic University alumna Jamie Blanco '18 is driven to excel in every aspect of her life. It's a motivation to succeed inspired by her parents."
2021-09-23,"Phoenix Family Day offers fun, exploration for students and their families","Florida Polytechnic University students will welcome their families to campus this Saturday, Sept. 25, at the annual Phoenix Family Day."
2021-09-22,"Family, thirst for knowledge drive Phoenix to succeed","With a passion for helping people, a love of figuring out how things work, and a deep interest in medicine, Florida Polytechnic University sophomore Moisés Elías Muñoz Salazar hopes to one day design the world's next lifesaving medical device."
2021-09-21,Florida Poly wins NSF grant to research durability of 3D-printed jet engine materials,"With the advanced technology of today's rockets and jet engines, these powerful devices require metal parts that are stronger than ever. An engineering professor at Florida Polytechnic University has received a National Science Foundation grant to research the durability and longevity of the critical metals now used in these ever-changing machines."
2021-09-15,"Florida Poly Foundation Board welcomes members with finance, governmental expertise","Investment executive Cady Johnson and government relations professional Justin Hollis have joined the Florida Polytechnic University Foundation Board of Directors. Their membership was confirmed unanimously by the Florida Poly Board of Trustees during its meeting on Wednesday, Sept. 15."
2021-09-15,Lifelong love of learning inspires Dr. Sanchez-Arias to help students succeed,"Growing up in Cali, Colombia, Dr. Rei Sanchez-Arias was laser focused on succeeding in school and building a successful career in bustling the South American city."
2021-09-13,Florida Poly debuts as #1 public college in the South in US News ranking,Florida Polytechnic University has been ranked the number one public college in the Southern region of the United States by U.S. News and World Report. It is Florida Poly's first appearance on that list.
2021-09-10,Budding game designer embraces his passion on Video Games Day,Mark Ellis was only in kindergarten when he picked up a Nintendo GameCube controller and discovered a technology that would shape his life. He embraced the world of Lego Star Wars and soon dove headfirst into new and exciting games every chance he could get.
2021-09-07,Six steps to prepare for the peak of hurricane season,"As hurricane season nears its peak on Sept. 10 and the National Hurricane Center continues monitoring potential storm systems in the Atlantic, it's important for everyone at Florida Polytechnic University to make sure they are prepared. September is National Preparedness Month, and the annual campaign encourages all Americans to prepare for disasters and other emergencies through the end of hurricane season on Nov. 30 and beyond."
2021-09-02,Students find their niche at annual Club Row event,"New and returning students explored opportunities to get involved, build connections, and make a difference during the annual Club Row event on Wednesday, Sept. 1, at Florida Polytechnic University."
2021-09-01,Florida Poly gets approval for high-tech research partner on campus,"The Florida Board of Governors has given the green light to a public-private partnership between Florida Polytechnic University and Fortune 500 company International Flavors & Fragrances (IFF) during its meeting on Wednesday, Sept. 1, at Florida International University."
2021-08-31,Chemistry practice wins national award for lab innovation,An effort to shift chemistry lab practices and reduce the amount of hazardous waste produced during the completion of student lab experiments has won Florida Polytechnic University Environmental Health and Safety a national award for innovation.
2021-08-30,"Focused on student involvement, new SGA president is ready to lead","With an agenda that includes strengthening student organizations, increasing student resources, and helping the University community move beyond the COVID-19 pandemic, Samantha Ashby has hit the ground running in her new position as Student Government Association president at Florida Polytechnic University."
2021-08-27,"New dining options, leadership invigorate campus food choices","Phoenixes seeking to satisfy a craving for tasty, healthy food are finding a pleasant slate of updates across the Florida Polytechnic University campus."
2021-08-26,Florida Poly incoming class skyrockets 25% becoming largest class yet,"The fall 2021 class of incoming students is the largest in Florida Polytechnic University's history with more than 625 new students joining the University from an applicant pool of almost 2,000."
2021-08-25,Purple Fire rallies students during first week of class,"When Rikkote Benfele made his way across Florida Polytechnic University's campus on the first day of class on Tuesday, Aug. 24, he said he knew he'd made the right decision when it came to choosing a college."
2021-08-23,Move-in and orientation weekend sets successful tone for new semester,"New and returning Florida Polytechnic University students took part in busy move-in and orientation activities on campus on Aug. 21-23 just before classes begin on Tuesday, Aug. 24. "
2021-08-18,Student leadership takes center stage at weeklong U Lead events,"Presidential Ambassadors, orientation leaders, peer health educators, education assistants, and other student leaders at Florida Polytechnic University are gaining a deep understanding of leadership skills and techniques during the inaugural Florida Poly U Lead student leadership initiative."
2021-08-17,President Randy Avent welcomes students to campus,"With the start of the fall 2021 semester around the corner, Florida Polytechnic University President Randy Avent has a message for new and returning students."
2021-08-12,Florida Poly computer engineering program in top 25 in the nation for affordability,"LAKELAND, Fla. - Florida Polytechnic University has been ranked as No. 25 in the United States among the 100 most affordable computer engineering programs by University HQ, an independent educational organization."
2021-08-04,Phoenix takes flight in fast-paced Amazon internship,Ricardo Kenzo Ota's summer internship at one of the world's largest tech companies is opening his eyes to a world of possibilities.
2021-08-02,Duke Energy grant to bolster cybersecurity engineering at Florida Poly,"The new cybersecurity engineering program at Florida Polytechnic University has received a $25,000 grant from the Duke Energy Foundation to fund a portion of a new cyber-physical systems lab."
2021-07-29,Florida Poly named to global list of top 10 analytics institutes,Florida Polytechnic University's Data Science and Business Analytics Department has been named to an international list of the 10 Most Prominent Analytics Institutes 2021 by Analytics Insight Magazine.
2021-07-28,Phoenix puts her skills to the test in engineering internship,"Florida Polytechnic University senior Skylar Rupert is making the most of every educational and professional opportunity available to her this summer as a mechanical intern at TLC Engineering Solutions in Fort Myers, Florida."
2021-07-27,State University System letter to students,"State University System Students: We are excited to welcome you to our campuses next month! To help us provide high-quality classes, student services, extracurricular activities, and athletic programs in a healthy environment, we strongly recommend that all students get vaccinated for the COVID-19 virus before arriving on campus."
2021-07-26,"Lifelong pursuit of adventure, speed fuels President Avent's dirt bike racing","Thick Florida wildland with steep, muddy slopes and rough, rocky terrain is the perfect setting for Dr. Randy K. Avent to strap on his helmet and indulge in his lifelong passion."
2021-07-20,NSF research experience readies Phoenix for graduate school success,"A summer research internship experience is allowing Florida Polytechnic University senior Andre Archer to gain close-up, real-world insight into the field of computational mechanics, a specialized area that he would like to pursue as a career."
2021-07-16,Students' solar-powered drone idea takes flight,A team of Florida Polytechnic University students is working to transform the common hobby drone into a solar-powered craft that can remain continuously aloft throughout the daylight hours.
2021-07-14,Florida Poly professor makes cover of nationwide diversity magazine,"Dr. Grisselle Centeno, a professor at Florida Polytechnic University, is featured on the cover of the July 2021 edition of Diverse: Issues in Higher Education. The reputable nationwide publication is exclusively dedicated to providing news and information about issues concerning diversity in American higher education."
2021-07-13,FedEx position sets the stage for alumna's long-term professional success,"As Megan Morano '21 prepares for the start of her master's degree program in applied intelligence with a focus on homeland security at Georgetown University, she is spending her summer building a record of professional success in an internship-to-hire research and development position with delivery services giant FedEx."
2021-07-07,"NSF research experience puts Phoenix on path to high-tech, entrepreneurial future","As part of the National Science Foundation's Research Experience for Undergraduates, Florida Polytechnic University junior Jabari Acre is spending the summer working on improving stereolithography (SLA) though the use of the two-photon absorption phenomena at the Georgia Tech Manufacturing Institute in Atlanta, Georgia."
2021-07-05,Tropical Storm Elsa Updates,"Florida Poly is closely watching the trajectory of Tropical Storm Elsa as it approaches the state of Florida. At this time, all University operations will continue as normal. However, we know things can change quickly and the safety of our University community is always our top priority."
2021-06-29,Phoenix harnesses social media data in machine learning internship,A summer internship at the University of Tennessee at Chattanooga is allowing Florida Polytechnic University senior Nicole Ely to use machine learning to gain a better understanding of data shared on Twitter.
2021-06-23,Alumna flying high in Lockheed Martin engineering career,"As a software engineer associate at Lockheed Martin Aeronautics and an on-air technology podcast host, Daniele Mendez '19 is fulfilling her dreams and pursuing passions for engineering and journalism."
2021-06-22,Florida Poly professor shaping the future of rhinoplasty,"LAKELAND, Fla. - Dr. Oguzhan Topsakal, assistant professor of computer science at Florida Polytechnic University, is employing cutting-edge technology to help plastic surgeons achieve better outcomes when performing rhinoplasty."
2021-06-17,New grant to help Florida Poly attract more girls to STEM,A new grant awarded to Florida Polytechnic University will help the University connect with and inspire more high school girls with an interest in STEM.
2021-06-15,New members add tech-industry insight to Florida Poly Foundation Board,"LAKELAND, Fla. - Three new members have been appointed to the Florida Polytechnic University Foundation Board. Michael Tschanz, Adrian Muhammad, and Ryan Whittemore contribute their expertise in engineering, technology, industry, and entrepreneurism to the Foundation's Board of Directors."
2021-06-14,Phoenix Flight helps students turn business ideas into reality,"An entrepreneurial internship program at Florida Polytechnic University has helped guide about 70 students toward greater business innovation during its first year. With a structured method of support, the Phoenix Flight program helps student teams develop their entrepreneurial ideas and advance them toward potential business success."
2021-06-10,Alum finds success with major solar technology company,"As an engineer for solar technology company CED Greentech, Zachary ""Zeus"" Unson '20 helps consumers safely implement the use of solar energy in their homes."
2021-06-08,Florida Poly again spurns national trends with new application surge,"LAKELAND, Fla. - Defying national trends in higher education, Florida Polytechnic University is enjoying a significant increase in the number of students applying to and committing to attend the University."
2021-06-03,Florida Poly set to enhance the student dining experience,"Those dining at Florida Polytechnic University this fall will find tasty new offerings, expanded service hours, and a new face for the culinary team charged with making this part of the on-campus experience a deliciously satisfying one."
2021-06-02,"Fully funded, Florida Poly's new research building moves full steam ahead",The new Applied Research Center (ARC) being built at Florida Polytechnic University has received full funding by the state Legislature to complete its construction by next spring. The state-of-the-art facility will serve as a research hub for the Central Florida region and a magnet for economic development around campus.
2021-06-01,Prepare now for the 2021 Atlantic hurricane season,"Forecasters predict a very busy 2021 Atlantic hurricane season, which began June 1 and ends on Nov. 30. Florida Polytechnic University urges its students and employees to take early actions to prepare for possible storm impacts.  "
2021-05-27,Florida Poly graduate project aims to transform traffic in Brazilian city,"LAKELAND, Fla. - A new partnership between Florida Polytechnic University and the prestigious Centro Universitário Facens in Brazil is off to a strong start with the completion of a project that promises to improve traffic congestion in the bustling Brazilian city of Sorocaba."
2021-05-25,New state-of-the-art 3D printers await returning students at Florida Poly,Florida Polytechnic University's fleet of 3D printers is getting a high-tech boost. The MakerBot Replicators that have long brought student ideas to life are being phased out and replaced with advanced Prusa MK3S+ and Prusa MINI+ printers.
2021-05-21,"Grounded in family, Phoenix strives for high-tech success","Growing up in The Villages, Florida, Benjamin Dinal found himself straddling two worlds. Before he was born, his parents had immigrated to the United States from the Philippines in search of better opportunities for their family."
2021-05-19,Florida Poly president appointed to prestigious European academy of doctors,"LAKELAND, Fla. - Dr. Randy K. Avent, president of Florida Polytechnic University, has been selected as a correspondent academician to the Royal European Academy of Doctors. He will travel to Barcelona, Spain, this fall for an inauguration ceremony, during which he will deliver an inaugural address."
2021-05-17,Alum thrives in successful career with major supply chain company,"Early in his college days at Florida Polytechnic University, Travis Hills '19 began an internship at Saddle Creek Logistics Services that changed the trajectory of his professional life."
2021-05-14,New SGA leadership gears up for active 2021-22 academic year,"After an academic year stymied by COVID-19 restrictions and limits on in-person events, the Florida Polytechnic University Student Government Association (SGA) is ready to go big in the coming academic year."
2021-05-12,Florida Poly scholars program receives $1.5 million gift,"LAKELAND, Fla - A scholarship program, supporting talented students in achieving their technology-fueled goals at Florida Polytechnic University, received a significant boost from the family of one of the school's first and biggest advocates."
2021-05-11,High-tech education drives Haitian student's dreams for his homeland,The computer engineering degree sophomore Widler Noel is pursuing at Florida Polytechnic University is a world away from the computer education he received as a young student in Haiti.
2021-05-06,New class of Presidential Ambassadors prepared to lead,"Dedicated, motivated students with a passion for supporting their University are ready to take on the job of advancing the success of Florida Polytechnic University as the 2021-2022 cohort of Presidential Ambassadors."
2021-05-05,Engineering alumna puts skills to work in ARC construction,"As a project engineer with Albireo Energy, Mehgan O'Connor '18 is getting to make her mark on Florida Polytechnic University in a way that is unrivaled by the rest of her graduating class."
2021-05-02,Florida Poly celebrates classes of '20 and '21 commencement,"LAKELAND, Fla. - Florida Polytechnic University celebrated the graduation of its classes of 2020 and 2021 on Sunday, May 2, at Publix Field at Joker Marchant Stadium. The long-awaited in-person commencement ceremony marked the culmination of four years of hard work for more than 325 graduates who earned high-demand STEM degrees."
2021-04-30,"Q&A: Grit, perseverance speed Jace Cooper to 3-year degree achievement","Jace Cooper '21 set his sights on an early college degree while he was still a student at Palmetto High School in Palmetto, Florida. With discipline, determination, and hard work, Cooper racked up college credits while still in high school and pressed forward with the same enthusiasm toward his mechanical engineering degree from Florida Polytechnic University, earning the bachelor's degree more quickly than his peers."
2021-04-29,IEEE-HKN students get their hands dirty to beautify Lakeland,"Just off Interstate 4 near the Florida Polytechnic University Campus, a group of students is working to ensure a long stretch of road remains clean and reflects the University's commitment to the community."
2021-04-28,Industry projects impress at Florida Poly's largest Capstone Showcase,"Dozens of Florida Polytechnic University seniors presented their impressive, high-tech projects at the annual Capstone Design Showcase on Friday, April 23. With more than 40 projects on display, the event was the largest in the University's history."
2021-04-27,Florida Poly meets industry demands with state's first bachelor's in cybersecurity engineering,"LAKELAND, Fla. - Florida Polytechnic University will offer the state's first bachelor's degree in cybersecurity engineering beginning in the fall 2021 semester. The degree was recently approved by the State University System's Board of Governors."
2021-04-26,Q&A: Isabela Rangel ready to take on the future of AI,"When Isabela Rangel '21 receives her bachelor's degree in computer science this May, she will be ready to charge toward the next chapter of her life, pursuing a career in project management. The graduate of West Orange High School in Winter Garden, Florida, has been active on campus during her time at Florida Polytechnic University participating in organizations such as InterVarsity, Baptist College Ministry, and the Art Club. Rangel, who was born in Brazil, now hopes to find new ways to use automation and artificial intelligence (AI) to benefit society."
2021-04-23,Spring Game Expo brings Florida Poly projects to gamers around the world,"Innovative, student-designed video games were showcased to the world on April 23 at the semi-annual student Game Expo at Florida Polytechnic University."
2021-04-22,Students cook up new way for Red Lobster to access recipes,Chefs inside Red Lobster kitchens across the country may one day be able to easily access the restaurant chain's latest recipes with a simple voice or touchscreen command thanks to work started by a team of Florida Polytechnic University senior capstone design students.
2021-04-22,Q&A: Dynamic student life primes Phelippe Souza-Herod for career success,"Beginning his freshman year, Phelippe Souza-Herod '21 networked across campus, expanding his skills inside and outside the classroom. The Sarasota Military Academy graduate followed his passion for math and engaged with his professors as mentors. He also invested himself in clubs, programs, and organizations that helped him learn from others and become a better communicator and leader. The computer engineering graduate was an SGA justice and senator, as well as a Presidential Ambassador. And as a member of IEEE, he led workshops to help other students improve their programming skills."
2021-04-21,Former Sen. LeMieux visits Florida Poly and inspires next generation of trailblazers,Former U.S. Sen. George LeMieux visited Florida Polytechnic University in Lakeland and encouraged students to become the next generation of impactful leaders charged with driving Florida's economy forward.
2021-04-20,Music Club strikes a chord within Florida Poly students,Students at Florida Polytechnic University who make their way to the Wellness Center on Friday afternoons can quickly find themselves swaying to the energetic melodies pouring from the Nest as the Music Club hones its funky rhythms.
2021-04-20,Q&A: Cindy Nguyen finds confident self and sets to conquer big data field,"Cindy Nguyen '21 joined Florida Polytechnic University as a brilliant, but timid student who was only interested in learning in class. She quickly realized that stepping out of her comfort zone would give her a more fun, well-rounded college experience. The graduate of Seacoast Collegiate High School in Santa Rosa Beach, Florida, became an Admissions Ambassador and discovered a new passion by joining the Archery Club. And as she earns her bachelor's degree in data science with a concentration in big data analytics, she is excited to make her family proud."
2021-04-16,2021 Ablaze awards honor outstanding employee contributions at Florida Poly,"LAKELAND, Fla. - Florida Polytechnic University celebrated its fourth annual Ablaze awards ceremony to honor the hard work, determination, and perseverance of its employees in helping the University achieve its academic goals."
2021-04-14,Q&A: Charisma Clarke builds a future with engineering know-how,"Charisma Clarke '21 graduates with a bachelor's degree in mechanical engineering this May. Originally from Nassau, Bahamas, Clarke has stepped up to leadership positions at Florida Polytechnic University, including serving as vice president for the University's chapter of the National Society of Black Engineers (NSBE). He also has been active in Baptist College Ministries (BCM) and looks forward to fulfilling his childhood dream of becoming an engineer."
2021-04-12,Florida Poly students win prestigious X-Force fellowships,Florida Polytechnic University students Karun Mackoon '20 and Vanessa Townsend '21 will spend their summer helping the military devise solutions to real-world problems as part of the 2021 cohort of National Security Innovation Network (NSIN) X-Force fellows.
2021-04-07,Q&A: Jaimie Davis readies for a high-voltage career,"Jaimie Davis '21 embraced every opportunity that came his way at Florida Polytechnic University. The electrical engineering major is a graduate of Florida SouthWestern Collegiate High School in Fort Myers, Florida. He is the founding president of the Mu Omega Chapter of the Institute of Electrical and Electronics Engineers Eta Kappa Nu (IEEE-HKN) academic honor society and the Florida Poly chapter of SPIE, the international society for optics and photonics."
